scout_target_id,lane_id,municipality,state,target_unit_type,known_counterpart_id,period,match_priority_tier,same_city_match_status,overlapping_cycle_status,candidate_only
TS4-1-fe8a77939646e0a2,lane_1,Newton,MA,non_safety_comparator,ma_newton_police_2015,2015-2018,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-3b25eeabdfa9d810,lane_1,Somerville,MA,non_safety_comparator,ma_somerville_police_spea_2012,2012-2015,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-c563fe0ca6e8ab82,lane_1,Somerville,MA,non_safety_comparator,ma_somerville_police_spsoa_2012,2012-2018,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-1ac8622167c0e80e,lane_1,Newark,NJ,non_safety_comparator,nj_newark_fire_2013,2013-2015,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-1a0035ea9b2cc4a7,lane_1,San Antonio,TX,non_safety_comparator,tx_san_antonio_fire_2024,2024-2027,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-ab8594900c394513,lane_1,San Antonio,TX,non_safety_comparator,tx_san_antonio_police_2022,2022-2026,tier_1_core_known_safety_cycle_gap,unmatched_safety_unit,same_or_overlapping_cycle_required,true
TS4-1-b48bd2c683c5d44c,lane_1,Cleveland,OH,non_safety_comparator,oh_cleveland_fire_2025,2025-2028,tier_1_core_known_safety_cycle_gap,exploratory_adjacent_only,same_or_overlapping_cycle_required,true
TS4-1-ac5a5e4ec364e4e2,lane_1,Denver,CO,non_safety_comparator,NSCQ-CO-20260720-0004,2021-2022,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-f6f8ca5199539bb1,lane_1,Oklahoma City,OK,non_safety_comparator,NSCQ-OK-20260720-0001,2023-2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-96a67be842029337,lane_1,Nashville-Davidson County,TN,non_safety_comparator,NSCQ-TN-20260720-0001,2023,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4a1e280c7ed373c4,lane_1,Boston,MA,non_safety_comparator,NSCQ-MA-20260720-0005,"July 1, 2014 – June 30, 2017",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-95d9ea9171a3b30f,lane_1,Memphis,TN,non_safety_comparator,NSCQ-TN-20260720-0003,"July 1, 2022 through June 30, 2025",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-1debe54cd8c59c45,lane_1,Milwaukee,WI,non_safety_comparator,NSCQ-WI-20260720-0001,2018-2019,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3c3d71be7971a94f,lane_1,Atlanta,GA,non_safety_comparator,NSCQ-GA-20260720-0001,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-c20a8e81df938237,lane_1,Omaha,NE,non_safety_comparator,NSCQ-NE-20260720-0001,2015-2020,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-572854261d8b8d43,lane_1,Aurora,CO,non_safety_comparator,NSCQ-CO-20260720-0001,2023-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4b7176fc4f9b032f,lane_1,Corpus Christi,TX,non_safety_comparator,NSCQ-TX-20260720-0017,"October 1, 2020 thru September 30, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-83de2a162462e3d6,lane_1,Pittsburgh,PA,non_safety_comparator,NSCQ-PA-20260720-0006,2014-2024 target window,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-234069385ee80ad8,lane_1,Madison,WI,non_safety_comparator,NSCQ-WI-20260720-0005,2016-2017,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-d5af3b1e19d915bd,lane_1,Chandler,AZ,non_safety_comparator,NSCQ-AZ-20260720-0009,2023-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-e06976717542dc23,lane_1,Buffalo,NY,non_safety_comparator,NSCQ-NY-20260720-0001,"July 1, 2017 to June 30, 2025",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-0e51a46cf907c2f6,lane_1,Boise City,ID,non_safety_comparator,NSCQ-ID-20260720-0002,2022-2026,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-1f6ea5e331e2ffc0,lane_1,Fremont,CA,non_safety_comparator,NSCQ-CA-20260720-0037,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-e675f6076fced394,lane_1,Frisco,TX,non_safety_comparator,NSCQ-TX-20260720-0028,FY24,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-fb169f49b80c8e98,lane_1,Tallahassee,FL,non_safety_comparator,NSCQ-FL-20260720-0022,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-dfac63e9b0182cc2,lane_1,Peoria,AZ,non_safety_comparator,NSCQ-AZ-20260720-0006,2018-2021,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8dca1993422abb65,lane_1,Huntington Beach,CA,non_safety_comparator,NSCQ-CA-20260720-0070,"July 1, 2023 – June 30, 2026",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-6542f6fbc71d7ff5,lane_1,Brownsville,TX,non_safety_comparator,NSCQ-TX-20260720-0038,FY 2022-23 through FY 2025-26,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-800c4746648f748e,lane_1,Elk Grove,CA,non_safety_comparator,NSCQ-CA-20260720-0079,2023-2027,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a6c67cbeb3d88e92,lane_1,Shreveport,LA,non_safety_comparator,NSCQ-LA-20260720-0001,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-e8c1043a26580360,lane_1,Aurora,IL,non_safety_comparator,NSCQ-IL-20260720-0005,2017-2020,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-d1515912241d416a,lane_1,Pembroke Pines,FL,non_safety_comparator,NSCQ-FL-20260720-0026,2019-2022,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-bad6784044c57b27,lane_1,Fort Collins,CO,non_safety_comparator,NSCQ-CO-20260720-0011,2022-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4f5ff8824962f705,lane_1,Springfield,MO,non_safety_comparator,NSCQ-MO-20260720-0001,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-c1f4e012d191585f,lane_1,Killeen,TX,non_safety_comparator,NSCQ-TX-20260720-0039,"Sep 30, 2023 (base term); extension possible until Mar 1, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-82046183328a5402,lane_1,Kansas City,KS,non_safety_comparator,NSCQ-KS-20260720-0003,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-be66707bee19939b,lane_1,Savannah,GA,non_safety_comparator,NSCQ-GA-20260720-0002,2018-2022,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-b96511aa40965c17,lane_1,Pasadena,TX,non_safety_comparator,NSCQ-TX-20260720-0045,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3b52e1ea947b5121,lane_1,Thornton,CO,non_safety_comparator,NSCQ-CO-20260720-0005,2018-2019,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-5f7790b738284fb7,lane_1,Coral Springs,FL,non_safety_comparator,NSCQ-FL-20260720-0039,"October 1, 2021 through September 30, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-d0ea5e56117363bc,lane_1,Abilene,TX,non_safety_comparator,NSCQ-TX-20260720-0057,2024-2029,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3e7db45a62c013d6,lane_1,Allentown,PA,non_safety_comparator,NSCQ-PA-20260720-0009,2014-2024 target window,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-14feaba90fd3d059,lane_1,Lafayette,LA,non_safety_comparator,NSCQ-LA-20260720-0006,2026 (document shows 2026.02 general increase; award/cycle years otherwise unclear),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-402ad0e9ff269acb,lane_1,Broken Arrow,OK,non_safety_comparator,NSCQ-OK-20260720-0006,2023-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8baabc693d86926a,lane_1,Menifee,CA,non_safety_comparator,NSCQ-CA-20260720-0152,2024-2027,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-534a5997022bc087,lane_1,Greeley,CO,non_safety_comparator,NSCQ-CO-20260720-0012,"January 1, 2022 - December 31, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-7e2c55f0db4b550c,lane_1,Goodyear,AZ,non_safety_comparator,NSCQ-AZ-20260720-0014,"July 1, 2023–June 30, 2025",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-770c792635319d17,lane_1,Allen,TX,non_safety_comparator,NSCQ-TX-20260720-0061,"October 1, 2024 through September 30, 2028",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-ad59b6dc74394a0e,lane_1,Buckeye,AZ,non_safety_comparator,NSCQ-AZ-20260720-0016,"FY 2018-2019 (effective July 1, 2018)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
