scout_target_id,lane_id,canonical_target_key_sha256,prior_seen_status,duplicate_risk,retained_after_duplicate_avoidance,avoidance_reason
TS4-1-fe8a77939646e0a2,lane_1,acde4454fa18c388ea3be7b523df1670926ee545c47f0742971df8a06e2f2427,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-3b25eeabdfa9d810,lane_1,cd9fe8b9ef5e1823a3345ed8d32e1f6c3f2e60cd7061dd066e01f4c7ec24a2fb,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-c563fe0ca6e8ab82,lane_1,d85223f8c7279925d351da0ace361989b88407e5a338fa3ffde6c37198ae008f,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-1ac8622167c0e80e,lane_1,72300371487a2b13ab64c8fa07264e71cf35aa44a74599b4876c776474576715,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-1a0035ea9b2cc4a7,lane_1,d21796402ecc8bd361f4bfb5d1420844f257544cfc27c05c2e3396bdab3a2ddd,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-ab8594900c394513,lane_1,7cf241cfffd222e3e945b7a0939215a49bfc27d460ae739cb238f355f77260a8,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-b48bd2c683c5d44c,lane_1,c3f253eee21d6647cdcc736dc4c5f0d0d98624065560696e48c7995a1e42bf3a,known_safety_row_counterpart_target_not_satisfied,low,true,new counterpart/mechanism target
TS4-1-ac5a5e4ec364e4e2,lane_1,770ffb734b1f1b75027605bf6fb6d5ef0731992879e9573289893694b10f3b0e,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-f6f8ca5199539bb1,lane_1,e4090607530463d703321997d56f0c7e2fd41defd81ab7275c02e0c901bee4dd,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-96a67be842029337,lane_1,ecadc774dccf62c58152f5877db51e29bd9287e7978cb80e7e9e6549768c8b72,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-4a1e280c7ed373c4,lane_1,df4f2923d24c4eeae5d4deee8a3d63cf8aae3e91d9938b3864fb89e790c81f62,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-95d9ea9171a3b30f,lane_1,2fa4ce7b06bc19be589eeedc547fc097f3a075d9550c01c62059525705afcc9c,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-1debe54cd8c59c45,lane_1,cbc7995a5d6c26572a57284aa3395e1da2e9b5b168014c1c66d00576dd5853d4,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-3c3d71be7971a94f,lane_1,247eaaf80c568c813f66b660360af72b07cdbca952e640f1b7cf29f7e39911f6,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-c20a8e81df938237,lane_1,a6f689fef33c620a9137c7f9a9220a6ae7f3650d81a257da914fd911f9876b7a,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-572854261d8b8d43,lane_1,7255d1ba87e9ff4107768ab2ad14cba461f49a43dc3099879ece89ea0616e7bd,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-4b7176fc4f9b032f,lane_1,c4bd100c8788bab1ada24667a3cc74405fa176bcf442388764e7b627bb938744,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-83de2a162462e3d6,lane_1,6e73ed26629e6e16d76b128290e895a2b5934681d83383f67f4fb2281969706e,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-234069385ee80ad8,lane_1,7b675be9815c1a7c2a569973b440ef60ad658d7df4b1c9950b7e91ddf45076ed,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-d5af3b1e19d915bd,lane_1,a040d82f00c3798d9d51f31119c9df63c10ab10b7b79275b67086b631bee6f4f,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-e06976717542dc23,lane_1,8d9e16d04de9b8cc0a26bd4a9f242157ca3300d31f9225abe42c51f813438874,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-0e51a46cf907c2f6,lane_1,e24c741e48a23d294f273b0b5511b245aac8dd49e4917403b6a17175ebb525ed,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-1f6ea5e331e2ffc0,lane_1,91daed8b511e3cbad3fb8eb26fa6973fb72bbda1124bc193fb285ad85e41e586,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-e675f6076fced394,lane_1,9cabd246acf3b18e759b3b4eabf26c58739d2f21c0996c842cdcbcb2d0750400,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-fb169f49b80c8e98,lane_1,7ef8d3af025bafdfd873a08c78d8c9f4a6ad7516c0a3a2ce37b5028e87c2595c,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-dfac63e9b0182cc2,lane_1,d03a0de55c4a8558e67a634dd5762811598e381ae57d75fd2c2855a33957d852,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-8dca1993422abb65,lane_1,a243125a89dac075264a1df8788bfbf840f38a6ebfa28a5e41caeaae7e1ce0ad,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-6542f6fbc71d7ff5,lane_1,ee120f41b1470b9719977e7e9de29493f8a0820b1eff6ea5c7351e19db82009c,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-800c4746648f748e,lane_1,d3f602821d5ef3d04779382189fcee1d53645370f39f9a74f481b58c5f2ef97e,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-a6c67cbeb3d88e92,lane_1,372eb7a7d733613eb58685c96d4313987464a3d0df1f5d6b2ac543a567485fda,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-e8c1043a26580360,lane_1,a6f75bda2c539fc353749a6c1d1f05baac4a7e328aa684dcc4ac42da1fdf57d3,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-d1515912241d416a,lane_1,c955139b0cab38b2d7ec2f2c0fae2514bf7f0a26e3c17db567fd982c04bd47f0,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-bad6784044c57b27,lane_1,932442791d41c7b5bbd4e2ce5efe597e539d5e9b82361b2c6fff02cc02abd0ee,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-4f5ff8824962f705,lane_1,af4fd05932375ce4f1edf2cb72fbc4a121b880cc2a57af8cf0b74edbf9319fa0,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-c1f4e012d191585f,lane_1,53138fca2a2f39e5283209b3e11503010a59b96b369199d5642b97d0aafc0e22,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-82046183328a5402,lane_1,3cc06be0a3faee3fa40d68004e8f3e2ea0550580d062029050a69289c8f08c8c,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-be66707bee19939b,lane_1,4bad7045e64c87868b4b29f25829feee97d6bb431d042d79669bb781dcad8117,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-b96511aa40965c17,lane_1,78e7dee5d1f4ca1a8612a111f2302c6cba67a6ba87b2060a5c4cdeda2168bc98,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-3b52e1ea947b5121,lane_1,238b84d49a47996ef16d175f2c06534793469d874853ace35cfc326869f514f4,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-5f7790b738284fb7,lane_1,8bbd68adfd576123e9f0e432579722854c8e7657e423677600892efc6fca24a3,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-d0ea5e56117363bc,lane_1,6a04e95cd7ef105671e471d04db676fe5e48008bf348a82b469c911468b4328d,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-3e7db45a62c013d6,lane_1,f20fe4101eb55eabb90b7c5066540a8b408eeadbf19044d4079f75275cf7b93f,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-14feaba90fd3d059,lane_1,20b141b05bd3b5703cfd6a6bbf04c36d936a2b3d2ec0a9d84ca77bf92acda62b,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
TS4-1-402ad0e9ff269acb,lane_1,3884d0aeaa9ff78d75a47d839a6af42fefe203ea54f11f7cc1de346b63c69a58,municipality_seen_safety_lead_target_unit_not_seen,low,true,new counterpart/mechanism target
