scout_target_id,lane_id,required_fields_complete,mechanism_populated,prior_seen_populated,duplicate_check,dry_run_status,live_run_status
TS4-1-fe8a77939646e0a2,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-3b25eeabdfa9d810,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-c563fe0ca6e8ab82,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-1ac8622167c0e80e,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-1a0035ea9b2cc4a7,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-ab8594900c394513,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-b48bd2c683c5d44c,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-ac5a5e4ec364e4e2,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-f6f8ca5199539bb1,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-96a67be842029337,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-4a1e280c7ed373c4,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-95d9ea9171a3b30f,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-1debe54cd8c59c45,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-3c3d71be7971a94f,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-c20a8e81df938237,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-572854261d8b8d43,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-4b7176fc4f9b032f,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-83de2a162462e3d6,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-234069385ee80ad8,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-d5af3b1e19d915bd,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-e06976717542dc23,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-0e51a46cf907c2f6,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-1f6ea5e331e2ffc0,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-e675f6076fced394,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-fb169f49b80c8e98,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-dfac63e9b0182cc2,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-8dca1993422abb65,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-6542f6fbc71d7ff5,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-800c4746648f748e,lane_1,true,true,true,passed,validated_no_call,not_started
TS4-1-a6c67cbeb3d88e92,lane_1,true,true,true,passed,validated_no_call,not_started
