quantitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,compensation_type,occupation_unit_classification_rank,rate_value,salary_value,hourly_rate,annual_salary,pay_band,step,grade,percentage_increase,effective_date,currency_or_unit,bounded_evidence_pointer,confidence,reason_code,qa_status
qobs_4e3a944d4a47082d14efb63f,cexrem_7976b7bc63e1f1714e7c9fd9,,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,3,percentage_increase,,,,,,,,,3%,"January 1, 2025",pay grade tables (Appendix A) increased,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=3,medium,WAGE_INCREASE_PAY_GRADE_TABLES_2025,provisional_unverified
qobs_a7f1f0d0cc20ecd99ea44610,cexrem_7976b7bc63e1f1714e7c9fd9,,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,3,percentage_increase,,,,,,,,,5%,"January 1, 2026",pay grade tables (Appendix A) increased,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=3,medium,WAGE_INCREASE_PAY_GRADE_TABLES_2026,provisional_unverified
qobs_3cb388e7bf161b15f24ac89e,cexrem_7976b7bc63e1f1714e7c9fd9,,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,percentage_increase,,,,,,,,,5%,"January 1, 2027",pay grade tables (Appendix A) increased,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,medium,WAGE_INCREASE_PAY_GRADE_TABLES_2027,provisional_unverified
qobs_3378828a361f0bb9113cd41f,cexrem_7976b7bc63e1f1714e7c9fd9,,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,step,,,,,,,"V, W, and X",,,upon the date this Agreement is ratified and fully executed,Steps added to wage table,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,low,STEP_ADDITION_TO_WAGE_TABLE,needs_review
qobs_432d3c921361784a2e723820,cexrem_7976b7bc63e1f1714e7c9fd9,,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,4,percentage_increase,,,,,,,,,at least 8%,,promoted/transferred placement salary increase requirement,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,low,PROMOTIONAL_PLACEMENT_SALARY_INCREASE_AT,needs_review
qobs_2b484fb6b0199b3e04a0d393,cexrem_e2e583869452f274736fbf86,,doc_37f96ee78c60d0e69b37e6ae,ttd_21b99bd278e79d487bf4e48c,sr_8685c843b921e528f02463ba,NSCQ-AL-20260720-0007,AL,Tuscaloosa,CITY OF TUSCALOOSA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,grade 1 step 1,,"32,558.57",,"32,558.57",,1,1,,October 2025,annual amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0471_sr_8685c843b921e528f02463ba.pdf#page=1,high,PAY_GRADE_AND_STEP_SCHEDULE_ANNUAL_AMOUN,provisional_unverified
qobs_8afc79057f61d3837b404cfe,cexrem_fc1c4886f0b9cb3ed32d8198,,doc_83cce29a224428fb85372ba4,ttd_eaed26a75145d881225f4f89,sr_d73c9a81583ea67b229040c7,NSCQ-AL-20260720-0010,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,,,2,annual_salary,13,,"43,014.40",,43014.40,,STEP 1,,,10/01/2025,USD (annual hours 2080),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf#page=2,high,EXEC_SAL_SCHEDULE_STEP_ANNUAL_SALARY,provisional_unverified
qobs_77e6442840e6fae0ebe25922,cexrem_06a6c2f877d5523991bffc4e,,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,1,hourly_rate,1FD,$16.29,,$16.29,,,,A/ Entry,,,$/hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf#page=1,medium,DAILY_TABLE_FIRE_DEPARTMENT_PAY_PLAN_202,provisional_unverified
qobs_e6b8461be96955d38a9f4a25,cexrem_06a6c2f877d5523991bffc4e,,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,1,hourly_rate,2FD,$20.61,,$20.61,,,,A/ Entry,,,$/hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf#page=1,medium,DAILY_TABLE_FIRE_DEPARTMENT_PAY_PLAN_202,provisional_unverified
qobs_f681d581c934d3b02dce828d,cexrem_06a6c2f877d5523991bffc4e,,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,1,hourly_rate,3FD,$24.59,,$24.59,,,,A/ Entry,,,$/hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf#page=1,medium,DAILY_TABLE_FIRE_DEPARTMENT_PAY_PLAN_202,provisional_unverified
