"candidate_id","city","source_owner","unit","approximate_date","document_title","source_url","document_type","public_access_status","wage_reasoning_signal","comparability_signal","likely_corpus_destination","priority","next_action","notes"
"newton_nta_2024_package_comparison","Newton","Newton Teachers Association","educators","2024-01-30","Negotiations Update - Comparison of Packages","https://www.newteach.org/_files/ugd/68adaf_af3bb4926cdc415fb52aa005cbada744.pdf","bargaining_update","direct_pdf","high","general_wage_rationale","mechanism_proxy","P1","Retain as mechanism-proxy lead; do not ingest into contracts.csv.","Compares union and school-committee packages, not peer districts."
"newton_nps_2024_mediation_package","Newton","Newton Public Schools / School Committee","educators","2024-01-30","NPS Package Proposal for Mediation Cover Sheet","https://www.newteach.org/_files/ugd/68adaf_83e95a049645432296846586288eaa39.pdf","proposal","direct_pdf","high","general_wage_rationale","mechanism_proxy","P1","Retain as proposal evidence; do not ingest.","Public mediation proposal with wage terms but no explicit peer-wage comparison."
"newton_nta_2024_proposed_moa","Newton","Newton Teachers Association","educators","2024-01-28","NTA Proposed Memorandum of Agreement on all Proposals","https://www.newteach.org/_files/ugd/68adaf_15d047e82980471bb646cb946e426c70.pdf","proposal","direct_pdf","high","general_wage_rationale","mechanism_proxy","P2","Do not ingest unless later verified as final and unit-mappable.","Proposed MOA rather than final signed agreement."
"newton_sc_2024_mediation_outline","Newton","Newton School Committee","educators","2024-01-19","School Committee Outline of Proposals for Mediation","https://www.newteach.org/_files/ugd/68adaf_e189c737666a461b88d21020df848bb5.pdf","proposal","direct_pdf","high","general_wage_rationale","mechanism_proxy","P1","Retain as mechanism-proxy lead; do not ingest.","Rich proposal history and cost structure; no clean peer-wage table found."
"newton_nta_nps_2024_final_moa","Newton","Newton Teachers Association / Newton School Committee","educators","2024-02-02","Memorandum of Agreement Between NTA and NPS School Committee","https://www.newteach.org/_files/ugd/68adaf_eb39b3f966644745bea13e7fbd4c04a9.pdf","moa","direct_pdf","high","general_wage_rationale","causal_candidate","P1","Manual first-page, signature, unit-scope, and schema verification before future process_inbox ingestion.","Potential causal row or rows, but multi-unit scope makes immediate ingestion risky."
"newton_nta_2024_strike_victory_summary","Newton","Newton Teachers Association","educators","2024","NTA Strike Contract Victory Summary","https://www.newteach.org/_files/ugd/68adaf_fbfbdef737384c0dba4c62d7cff0d20e.pdf","settlement_summary","direct_pdf","high","general_wage_rationale","mechanism_proxy","P1","Retain as public settlement-summary lead; do not ingest.","Plain-language wage and settlement rationale, not a final agreement."
"newton_nta_2024_2027_unit_contracts","Newton","Newton Teachers Association / Newton Public Schools","educators","2024-2027","NTA Unit A/B/C/D/E contracts and salary schedules","https://www.newteach.org/contracts","cba","public_html","medium","contract_cost_only","causal_candidate","P3","Defer unless future educator CBA expansion is requested.","Useful public contracts, but not the mechanism-source gap."
"newton_nesa_cba_folder","Newton","Newton Public Schools","administrative assistants / secretaries","current public folder","NESA collective bargaining materials","https://www.newton.k12.ma.us/human-resources/collective-bargaining-agreements","cba","public_index_only","low","unclear","acquisition_lead_only","P3","Bounded manual review only if Newton non-safety CBA expansion becomes priority.","Public folder route observed; not reviewed deeply."
"newton_sc_meeting_materials_index","Newton","Newton School Committee","educators","2023-2024","School Committee meetings and related documents index","https://www.newton.k12.ma.us/sc-meetings","meeting_packet","public_index_only","low","unclear","acquisition_lead_only","P2","Target specific July 2023-February 2024 packets only if authorized.","Index route, not a document."
"somerville_seu_2025_ratification_release","Somerville","Somerville Educators Union","educators / paraprofessionals","2025-07-14","SEU Press Release Contract Ratification","https://drive.google.com/uc?id=1o4iiXs0F3cWqqfG6bnk_tdKGgE9B9JuI&export=download","settlement_summary","public_google_drive","high","general_wage_rationale","mechanism_proxy","P1","Retain as public settlement-summary lead; do not ingest.","Strong wage-rationale and regional campaign framing, but not a formal peer-wage exhibit."
