city_id,city_name,jlmc_docket,occupation_unit,occupation_class,award_date,award_url,settled_or_awarded,safety_cba_status,matched_nonsafety_target,cba_source_url,notes
ma_boston,Boston,JLM-12-2078,Boston Police Detectives Benevolent Society,police,2015-12-22,https://www.mass.gov/doc/jlm-12-2078-city-of-boston-and-boston-police-detectives-benevolent-society-december-22-2015/download,awarded,verified_portal,Boston Teachers Union (BTU),https://www.boston.gov/departments/labor-relations,"Template city. OLR central portal hosts ~21 bargaining units' CBAs as PDFs (safety + BTU teachers + clerical). Large city; rare arbitration. Two police awards on record."
ma_boston,Boston,JLM-12-32P,Boston Police Patrolmen's Association,police,2013-09-27,https://www.mass.gov/doc/jlm-12-32p-city-of-boston-and-boston-police-patrolmens-association-september-27-2013/download,awarded,verified_portal,Boston Teachers Union (BTU),https://www.boston.gov/departments/labor-relations,"Template city. OLR central portal hosts CBAs as PDFs. Patrol unit; pairs with detectives award for same city."
ma_newton,Newton,JLMC-23-10055,Newton Police Association,police,2025-04-22,https://www.mass.gov/doc/jlmc-23-10055-award/download,awarded,verified_portal,Newton Teachers Association (Unit A),https://www.newtonma.gov/government/human-resources/union-contracts,"Verified 2026-06: City HR union-contracts portal hosts safety + non-safety CBAs (browser/manual download; 403 to scrapers). NTA teachers via Newton Public Schools HR. Recent award (2025); good current-cycle case."
ma_newton,Newton,JLM-17-6002,Newton Superior Officers Association MASSCOP Local 401,police,2019-10-29,https://www.mass.gov/doc/jlm-17-6002-newton-superior-officers-association-masscop-local-401-october-29-2019/download,awarded,verified_portal,Newton Teachers Association (Unit A),https://www.newtonma.gov/government/human-resources/union-contracts,"Verified 2026-06: City HR portal hosts CBAs (incl. AFSCME Local 3092 clerical 2014-2017). Superior officers; same city different cycle — within-city time variation."
ma_quincy,Quincy,JLM-17-5884,Quincy Police Patrol Officers Association,police,2019-02-08,https://www.mass.gov/doc/jlm-17-5884-city-of-quincy-and-quincy-police-patrol-officers-association-february-8-2019/download,awarded,verified_portal,Quincy Education Association (teachers),https://www.mass.gov/info-details/jlmc-interest-arbitration-decisions,"Verified 2026-06: safety = JLMC arbitration awards on mass.gov (signed police CBA would need c.66 request; city HR page does not post). QEA teacher CBAs posted (quincypublicschools.com / quincyeducationassociation.org). Patrol unit. NB: Quincy IL decoys excluded."
ma_quincy,Quincy,JLM-13-2932,Quincy Police Superior Officers Association,police,2014-11-21,https://www.mass.gov/doc/jlm-13-2932-city-of-quincy-and-quincy-police-superior-officers-association-november-21-2014/download,awarded,verified_portal,Quincy Education Association (teachers),https://www.mass.gov/info-details/jlmc-interest-arbitration-decisions,"Verified 2026-06: safety via JLMC awards on mass.gov; QEA teacher CBAs posted. Superior officers; earlier cycle."
ma_arlington,Arlington,JLMC-22-9174,Arlington Police,police,2024-08-05,https://www.mass.gov/doc/jlmc-22-9174-arlington-police-award/download,awarded,verified_portal,Arlington Education Association (Unit A),https://www.arlingtonma.gov/departments/human-resources/for-employees,"Verified 2026-06: TOWN. Fire CBA posted on town HR page; police arbitration-prone (JLMC award). AEA teacher contracts on arlington.massteacher.org (2018-21; 2022-24); AFSCME Local 680 also posted. 403 to scrapers; manual download. Town (not city) — size variation vs Boston."
ma_arlington,Arlington,JLM-19-7773,Arlington Police Patrol Association,police,2021-02-10,https://www.mass.gov/doc/jlm-19-7773-arlington-police-patrol-association-february-10-2021/download,awarded,verified_portal,Arlington Education Association (Unit A),https://www.arlingtonma.gov/departments/human-resources/for-employees,"Verified 2026-06: TOWN. Town HR page + AEA teachers (massteacher.org) + AFSCME Local 680. Patrol; earlier cycle same town."
ma_somerville,Somerville,JLM-16-5501,Somerville Firefighters Association Local 76,fire,2018-11-02,https://www.mass.gov/doc/jlm-16-5501-city-of-somerville-and-somerville-firefighters-association-local-76-november-2-2018/download,awarded,verified_portal,Somerville Educators Union (Unit A),https://www.muckrock.com/foi/somerville-8/police-union-contractcollective-bargaining-agreement-somerville-police-department-101228/,"Verified 2026-06: NO central city CBA portal. Police CBAs via completed MuckRock FOIA release + MA DLR repository; city verified on police. Fire Local 76 itself not posted (c.66 request to obtain). SEU Unit A teachers posted (somervilleschools.org / DESE). Scanned PDFs -> ocr_messy. FIRE unit — balances police-heavy sample."
ma_somerville,Somerville,JLM-17-6072,Somerville Police Superior Officers Association,police,2018-10-03,https://www.mass.gov/doc/jlm-17-6072-city-of-somerville-and-somerville-police-superior-officers-association-october-3/download,awarded,verified_portal,Somerville Educators Union (Unit A),https://www.muckrock.com/foi/somerville-8/police-union-contractcollective-bargaining-agreement-somerville-police-department-101228/,"Verified 2026-06: SPSOA CBA (through 6/30/2018) in completed MuckRock FOIA release + MA DLR. No city portal; SEU teachers posted. Police + fire same city same era — intra-safety comparison."
ma_worcester,Worcester,JLM-15-4632,Worcester Firefighters Union Local 1009 IAFF,fire,2016-11-29,https://www.mass.gov/doc/jlm-15-4632-city-of-worcester-and-worcester-firefighters-union-local-1009-iaff-november-29-2016/download,awarded,verified_portal,NAGE Local 490 (clerical) or Teamsters Local 170 (DPW),https://www.worcesterma.gov/human-resources/collective-bargaining-agreements,"Verified 2026-06: central HR portal hosts fire+police+clerical+DPW CBAs as PDFs, multiple in-window cycles (2013-16, 2016-17, 2017-20, 2020-23). EAW teachers NOT on portal (separate school employer; would need c.66) — switched matched non-safety to portal-hosted clerical/DPW. 2nd-largest MA city; fire award."
