lane_id,shard_id,worker_id,shard_sequence,scout_target_id,municipality_id,municipality,state,region,parse_status,success_status,failure_type,attempt_count,candidate_count,target_input_sha256,target_output_dir,input_tokens,reasoning_tokens,output_tokens,total_tokens,response_id_present
lane_002,broad_shard_002,worker_lane_002,1,B4X1000-20260727-1001,cog_2025_212010,Bloomfield,IA,Midwest,parseable,completed_parseable,,1,2,0652a16fb8f4e671ca10c45c4563571db8f3d559395fb3d719c7924ed337b6d6,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0001_B4X1000-20260727-1001/run,33943,867,1591,35534,yes
lane_002,broad_shard_002,worker_lane_002,2,B4X1000-20260727-1002,cog_2025_207991,Centerville,IA,Midwest,parseable,completed_parseable,,1,0,f30a43551f792727bc837376e617e02c3cca1aebb49ae4b5af7d94ed8882bf19,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0002_B4X1000-20260727-1002/run,26156,795,825,26981,yes
lane_002,broad_shard_002,worker_lane_002,3,B4X1000-20260727-1003,cog_2025_164482,Chariton,IA,Midwest,parseable,completed_parseable,,1,3,e230f024299a42031841a9acfc5637715cd0a3400fa4158dab75e508d32ce7ef,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0003_B4X1000-20260727-1003/run,27948,1105,2294,30242,yes
lane_002,broad_shard_002,worker_lane_002,4,B4X1000-20260727-1004,cog_2025_126734,Eagle Grove,IA,Midwest,parseable,completed_parseable,,1,3,aa1d3cf95e803cefeb6ce66720b5268d1cdb025c4f50285fe1ffbc57a47690b6,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0004_B4X1000-20260727-1004/run,22669,1211,2344,25013,yes
lane_002,broad_shard_002,worker_lane_002,5,B4X1000-20260727-1005,cog_2025_126615,Estherville,IA,Midwest,parseable,completed_parseable,,1,2,f46d4c804a75e848928528633bc0a99c06f50ddd3b080c3288885b338e7902c1,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0005_B4X1000-20260727-1005/run,33616,1399,2244,35860,yes
lane_002,broad_shard_002,worker_lane_002,6,B4X1000-20260727-1006,cog_2025_208045,Glenwood,IA,Midwest,parseable,completed_parseable,,1,2,4f4b739e318c30532ab648c063cfa565d83f9ffe6ae69c269855a619f933a4be,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0006_B4X1000-20260727-1006/run,19789,939,1796,21585,yes
lane_002,broad_shard_002,worker_lane_002,7,B4X1000-20260727-1007,cog_2025_204476,Hiawatha,IA,Midwest,parseable,completed_parseable,,1,5,9b7dc0bcdcb21910ef96762e01cf0bea3bad9ae8347e4456c02a7ad955e1905d,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0007_B4X1000-20260727-1007/run,42907,1612,3499,46406,yes
lane_002,broad_shard_002,worker_lane_002,8,B4X1000-20260727-1008,cog_2025_138246,Kalona,IA,Midwest,parseable,completed_parseable,,1,0,a5621ea88d279ed1403cdf93903cf3b798ce63e9639881b09196ec08c586f02a,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0008_B4X1000-20260727-1008/run,22235,618,648,22883,yes
lane_002,broad_shard_002,worker_lane_002,9,B4X1000-20260727-1009,cog_2025_208041,Knoxville,IA,Midwest,parseable,completed_parseable,,1,4,7444224e1cbe4bed4273006a877221aad4a5f0ade0e6cc7a6f7a79211c41618c,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0009_B4X1000-20260727-1009/run,17462,950,2724,20186,yes
lane_002,broad_shard_002,worker_lane_002,10,B4X1000-20260727-1010,cog_2025_208061,Le Claire,IA,Midwest,parseable,completed_parseable,,1,0,1c90166aabac8bd9ad9275e219b4c6d60c470ba04a2a762b85914ad84ca41877,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0010_B4X1000-20260727-1010/run,34653,1161,1191,35844,yes
lane_002,broad_shard_002,worker_lane_002,11,B4X1000-20260727-1011,cog_2025_208028,Maquoketa,IA,Midwest,parseable,completed_parseable,,1,5,3f53b0e8d56c09193fdaa88164d390e694c3be37416dfa9645bb428ee9d05304,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0011_B4X1000-20260727-1011/run,30014,1214,2901,32915,yes
lane_002,broad_shard_002,worker_lane_002,12,B4X1000-20260727-1012,cog_2025_164473,Mount Vernon,IA,Midwest,parseable,completed_parseable,,1,2,61a50e9960727dd3e8ccf45994ca29906405daf9790be346f2e0898682cbcf11,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0012_B4X1000-20260727-1012/run,31761,1046,1738,33499,yes
lane_002,broad_shard_002,worker_lane_002,13,B4X1000-20260727-1013,cog_2025_138210,Perry,IA,Midwest,parseable,completed_parseable,,1,2,2e4e43e52fa35c7af1fbb57bc7e29ed58a41dfd3461f91e9f87b44969cf44e9e,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/targets/0013_B4X1000-20260727-1013/run,31741,1379,2071,33812,yes
