qualitative_observation_id,extraction_case_id,document_identity_id,source_review_id,text_table_detection_id,raw_retained_content_hash,mechanism_type,page_number,bounded_evidence_pointer,bounded_packet_manifest_sources,bounded_page_pointer_exact_match,bounded_text_payload_available,literal_verbatim_evidence_span,span_start,span_end,span_length,span_sha256,span_capture_status,span_capture_reason_code,span_qa_pass
lobs_d506ecdba49defa12e0e8b6c,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,implementation_or_effective_date_logic,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_ca089076a19f73b174532b8f,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,memorandum_or_settlement_terms,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_09ef3fafa4e8d99440cd7329,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,sr_440fd5a0042b486017759ca5,ttd_13926f4d65d55b318a6273b8,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,implementation_or_effective_date_logic,20,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=20,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_4d560df30b6a38d7f38351d0,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,implementation_or_effective_date_logic,33,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_67b0ac3d5ac5a2ea83d19275,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,implementation_or_effective_date_logic,33,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_3927f2ce7f61932d8c996d04,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,arbitration_or_factfinding_reasoning,32,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=32,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_a92440905e9762cfdf93f485,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,implementation_or_effective_date_logic,34,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=34,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_1547f92c49fc4ce216b399eb,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,sr_dcae25c8b0630a7188cd55ee,ttd_0e0352dcf82b4949b4b31cb0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,collective_bargaining_agreement_terms,42,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=42,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_84fc020578c1abc7e7fb9b88,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,sr_66f1bcfc906b687ba2b5f6b1,ttd_8e861bd2c1a8288eb2f035d4,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,fiscal_constraint_or_budget_logic,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_a1a46b41b1556d96375afe6a,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,sr_66f1bcfc906b687ba2b5f6b1,ttd_8e861bd2c1a8288eb2f035d4,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,implementation_or_effective_date_logic,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=1,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_5cf8584bed708bddc4310931,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,sr_66f1bcfc906b687ba2b5f6b1,ttd_8e861bd2c1a8288eb2f035d4,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,collective_bargaining_agreement_terms,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_cb78147efffe3fe28737b910,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,sr_f37d0cfb4d8b1c9f28a3ae8f,ttd_7b1876cfb898d2995dbe9c63,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,collective_bargaining_agreement_terms,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=1,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_acd7d59aaab55c8d142375c6,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,sr_f37d0cfb4d8b1c9f28a3ae8f,ttd_7b1876cfb898d2995dbe9c63,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,collective_bargaining_agreement_terms,4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=4,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_24d4b840799b0808ad196e9e,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,sr_f37d0cfb4d8b1c9f28a3ae8f,ttd_7b1876cfb898d2995dbe9c63,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,implementation_or_effective_date_logic,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_673e6f469f6383819adafc05,cex_98090552e5e889272128f1bd,doc_a0b4ee29350014c974598d0c,sr_7779b0eddb1962bddabfa357,ttd_e6600be726ca65db81b0c494,d57b130f86b211bb2323ef9512a9d86376b9fce2db563ff27e675cdb084e4eca,implementation_or_effective_date_logic,16,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf#page=16,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
lobs_ac77bd3dea6ab8d7d6c0b514,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,sr_5c336396ca5dee10f7c15151,ttd_47afca94785efa8720695f20,f3c5110b05874d3a417767c17e70c35b3a240df060bc2d5629de4e4a2b3b4009,implementation_or_effective_date_logic,12,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,packet_1000|packet_500,true,false,,,,0,,span_unavailable_or_unverified,bounded_packet_page_metadata_matched_but_no_retained_text_payload,false
