document_identity_id,candidate_queue_row_id,text_table_detection_id,state,municipality,government_name,unit_type,contract_period_start,contract_period_end,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,cycle_bridge_status,cycle_source_fields,exact_period_pair_count,residual_cycle_bridge_status,residual_cycle_support_fields,residual_cycle_exact_evidence,residual_cycle_exact_evidence_sha256
doc_0024bda1e1f67c8f7d82669e,NSCQ-OH-20260720-0127,ttd_62cffe1e02ca181bf501d4f9,OH,Massillon,CITY OF MASSILLON,police,2021-07-01,2024-06-30,cycle_85c68114fa77d7d1b6ef694f,cuc_1c568de54cec8cd95d45e663,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_00a5e237175d41f61fb0fe40,NSCQ-NE-20260720-0028,ttd_00db69e7e7d1ac5ff95dc5ad,NE,Beatrice,CITY OF BEATRICE,fire,2021-10-01,2027-09-30,cycle_43f9b004fea5343757b559f2,cuc_91702001d3c1389b6cca001f,match_43f9b004fea5343757b559f2,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_00acf134cd4257ec3d0ac58c,NSCQ-OH-20260720-0138,ttd_6717935084b924dc797a86fe,OH,Tallmadge,CITY OF TALLMADGE,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_00b636f73a6d528a99e81753,NSCQ-MI-20260720-0005,ttd_d9d754b0958cc37c630bbe20,MI,Lansing,CITY OF LANSING,non_safety,2007-08-01,2011-07-31,cycle_a3f6eefb819c80c133167340,cuc_38226b784c6d494cca7a357d,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_00be60d682965c00bfcd91bb,NSCQ-MI-20260720-0070,ttd_9921b2589d3628c67f979a10,MI,Saginaw,CITY OF SAGINAW,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_00f189ad9659a24159a223b5,NSCQ-FL-20260720-0112,ttd_b20d67e96806f6c0ccaf488a,FL,Pensacola,CITY OF PENSACOLA,fire,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_00fac5f0ec5ee8b4b524ff51,NSCQ-CA-20260720-0163,ttd_65fdfcaf9fe1d45ef30de14d,CA,San Buenaventura (Ventura),CITY OF SAN BUENAVENTURA,non_safety,2026-07-01,2029-06-30,cycle_0e7b258572096e3852546dce,cuc_c5f916293c7eb3efb4dfc6f1,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_013e9c1d707e0c73beef1965,NSCQ-CA-20260720-0588,ttd_bf73c96f4af581f4ff119cab,CA,Moorpark,CITY OF MOORPARK,non_safety,2023-07-01,2025-06-30,cycle_c423912a2eb8583bc6947d27,cuc_a82daf142c2e38a3c0fae43a,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_0147d87fff81eb085fe3a2f4,NSCQ-WA-20260720-0004,ttd_e986f313f5792685d40cef44,WA,Spokane,CITY OF SPOKANE,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_019a03c8d3744a366ff9f74f,NSCQ-WA-20260720-0063,ttd_7ea70d04711ded8991d6508f,WA,Redmond,CITY OF REDMOND,police,2025-01-01,2027-12-31,cycle_f1a4d35f99519257c32cd8c5,cuc_f046f9b0268dd258745c956f,match_f1a4d35f99519257c32cd8c5,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_01b2528720ce9606b96bb571,NSCQ-CA-20260720-0309,ttd_6c2c804a796685f485064f67,CA,Yuba City,CITY OF YUBA CITY,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_01c1ce0d9bc4370e282e7277,NSCQ-MI-20260720-0080,ttd_6cc00b79c5b2e342c6134752,MI,Jackson,CITY OF JACKSON,non_safety,2025-07-01,2029-06-30,cycle_4ed3fa8035df2f1d4568e123,cuc_95d8841ce5ca6e227704b5e2,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_01f15067dc9af7378e09749b,NSCQ-OH-20260720-0467,ttd_63029065a962639c42a6eb49,OH,Wilmington,CITY OF WILMINGTON,fire,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
