state,region,municipality,retained_source_count,text_ready_count,corrupt_or_unreadable_count,encrypted_or_locked_count,html_text_later_count,needs_review_count,ocr_later_or_defer_count,other_document_text_later_count,oversized_for_text_pass_count,parse_text_layer_later_count,readiness_error_count,shell_or_navigation_only_count,unsupported_for_text_extraction_count
AK,West,Akutan,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Aleknagik,1,1,0,0,1,0,0,0,0,0,0,0,0
AK,West,Anaktuvuk Pass,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Angoon,2,2,0,0,0,0,0,0,0,2,0,0,0
AK,West,Atqasuk,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Cordova,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Delta Junction,2,2,0,0,0,0,0,0,0,2,0,0,0
AK,West,Dillingham,1,0,0,1,0,0,0,0,0,0,0,0,0
AK,West,Elim,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,False Pass,2,2,0,0,0,0,0,0,0,2,0,0,0
AK,West,Fort Yukon,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Gambell,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Gustavus,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Huslia,1,0,0,0,0,0,1,0,0,0,0,0,0
AK,West,Kachemak,3,1,0,0,0,2,0,0,0,1,0,0,0
AK,West,Kake,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,King Cove,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Kivalina,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Kotlik,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Kotzebue,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Manokotak,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Nenana,3,1,0,0,1,1,0,0,0,0,0,1,0
AK,West,Nome,2,2,0,0,0,0,0,0,0,2,0,0,0
AK,West,Pilot Station,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Point Hope,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Quinhagak,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Sand Point,3,3,0,0,0,0,0,0,0,3,0,0,0
AK,West,Seward,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Tanana,1,1,0,0,1,0,0,0,0,0,0,0,0
AK,West,Teller,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Togiak,2,2,0,0,1,0,0,0,0,1,0,0,0
AK,West,Toksook Bay,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,White Mountain,1,1,0,0,0,0,0,0,0,1,0,0,0
AK,West,Whittier,2,1,0,0,0,1,0,0,0,1,0,0,0
AL,South,Alabaster,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Andalusia,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Anniston,3,3,0,0,0,0,0,0,0,3,0,0,0
AL,South,Athens,1,0,0,0,0,1,0,0,0,0,0,0,0
AL,South,Attalla,1,1,0,0,1,0,0,0,0,0,0,0,0
AL,South,Calera,3,3,0,0,0,0,0,0,0,3,0,0,0
AL,South,Chickasaw,2,2,0,0,2,0,0,0,0,0,0,0,0
AL,South,Demopolis,1,0,0,0,0,1,0,0,0,0,0,0,0
AL,South,Foley,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Fort Payne,3,3,0,0,0,0,0,0,0,3,0,0,0
AL,South,Gadsden,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Glencoe,3,3,0,0,3,0,0,0,0,0,0,0,0
AL,South,Gulf Shores,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Hartselle,2,2,0,0,2,0,0,0,0,0,0,0,0
AL,South,Hueytown,1,0,0,0,0,0,0,0,1,0,0,0,0
AL,South,Irondale,3,2,0,0,0,0,1,0,0,2,0,0,0
AL,South,Jasper,5,5,0,0,1,0,0,0,0,4,0,0,0
AL,South,Lake View,2,0,0,0,0,0,2,0,0,0,0,0,0
AL,South,Lanett,1,1,0,0,1,0,0,0,0,0,0,0,0
AL,South,Lincoln,1,1,0,0,1,0,0,0,0,0,0,0,0
AL,South,Loxley,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Margaret,3,3,0,0,0,0,0,0,0,3,0,0,0
AL,South,Millbrook,3,3,0,0,2,0,0,0,0,1,0,0,0
AL,South,Montevallo,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Muscle Shoals,3,1,0,0,0,0,2,0,0,1,0,0,0
AL,South,Oneonta,3,2,0,1,2,0,0,0,0,0,0,0,0
AL,South,Ozark,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Pell City,3,3,0,0,3,0,0,0,0,0,0,0,0
AL,South,Pleasant Grove,2,2,0,0,0,0,0,2,0,0,0,0,0
AL,South,Prichard,1,1,0,0,1,0,0,0,0,0,0,0,0
AL,South,Rainsville,4,4,0,0,1,0,0,0,0,3,0,0,0
AL,South,Roanoke,1,1,0,0,0,0,0,0,0,1,0,0,0
AL,South,Robertsdale,2,2,0,0,0,0,0,0,0,2,0,0,0
AL,South,Satsuma,3,3,0,0,0,0,0,0,0,3,0,0,0
