state,retained_source_count,text_ready_count,corrupt_or_unreadable_count,encrypted_or_locked_count,html_text_later_count,needs_review_count,ocr_later_or_defer_count,other_document_text_later_count,oversized_for_text_pass_count,parse_text_layer_later_count,readiness_error_count,shell_or_navigation_only_count,unsupported_for_text_extraction_count
AK,46,39,0,1,4,4,1,0,0,35,0,1,0
AL,78,69,0,1,24,2,5,2,1,43,0,0,0
AR,74,56,0,0,18,7,8,1,0,37,0,3,0
AZ,79,64,0,0,11,7,7,2,1,51,0,0,0
CA,170,134,0,3,21,4,19,0,9,113,0,1,0
CO,63,55,0,1,15,2,2,0,3,40,0,0,0
CT,106,72,0,1,10,5,26,0,2,62,0,0,0
DE,50,43,0,0,11,0,7,0,0,32,0,0,0
FL,69,58,0,0,11,0,6,0,5,47,0,0,0
GA,104,87,0,1,24,1,6,0,9,63,0,0,0
IA,115,79,0,0,19,0,32,0,4,60,0,0,0
ID,65,60,0,0,22,1,4,0,0,38,0,0,0
IL,255,187,0,0,23,8,45,0,14,164,0,1,0
IN,149,119,0,6,18,2,21,0,1,101,0,0,0
KS,89,77,0,0,21,0,10,0,2,56,0,0,0
KY,105,75,0,0,22,2,26,0,2,53,0,0,0
LA,98,84,0,1,13,4,6,1,3,70,0,0,0
MA,98,77,0,0,19,2,18,0,1,58,0,0,0
MD,69,47,0,0,13,0,18,0,3,34,0,1,0
ME,138,80,0,2,17,2,53,0,1,63,0,0,0
MI,194,170,0,3,27,1,16,0,4,143,0,0,0
MN,126,105,0,2,11,2,6,0,11,94,0,0,0
MO,88,73,0,1,10,5,5,0,4,63,0,0,0
MS,27,23,0,0,14,2,2,0,0,9,0,0,0
MT,92,81,0,0,41,1,6,4,0,36,0,4,0
NC,118,104,0,0,25,1,4,1,9,78,0,0,0
ND,94,89,0,0,32,0,3,12,2,45,0,0,0
NE,86,73,0,1,16,1,10,2,1,55,0,0,0
NH,73,64,0,0,8,0,7,0,2,56,0,0,0
NJ,152,113,0,1,8,0,35,0,3,105,0,0,0
NM,55,44,0,0,12,1,10,0,0,32,0,0,0
NV,17,15,0,0,0,0,2,0,0,15,0,0,0
NY,154,127,0,0,10,4,19,0,4,117,0,0,0
OH,205,176,0,3,20,2,22,0,2,156,0,0,0
OK,86,73,0,0,17,2,7,2,3,54,0,1,0
OR,73,61,0,0,9,0,6,0,5,52,0,1,0
PA,209,171,0,9,30,2,25,1,2,140,0,0,0
RI,64,20,0,0,4,0,44,0,0,16,0,0,0
SC,84,76,0,0,34,0,4,1,3,41,0,1,0
SD,90,78,1,0,22,3,7,5,0,51,0,1,0
TN,92,75,0,1,10,2,9,0,5,65,0,0,0
TX,143,122,1,0,31,1,7,0,12,91,0,0,0
UT,61,44,0,0,7,3,9,1,2,36,0,3,0
VA,81,74,0,0,23,1,5,0,1,51,0,0,0
VT,109,92,0,0,13,0,17,0,0,79,0,0,0
WA,109,99,0,0,13,0,8,0,2,86,0,0,0
WI,149,145,0,0,13,0,3,0,1,132,0,0,0
WV,51,49,0,0,19,0,1,0,1,30,0,0,0
WY,59,53,0,0,19,0,6,5,0,29,0,0,0
