readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_path,retained_file_type,retained_file_size_bytes,retained_file_sha256,file_extension,detected_file_type,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
CBRDY-20260728-5686638ecedc82e73c60,CBSRD-20260728-7ffdcbfdf3bb4793ea5f,CBCR-20260728-01979,B4XPAR-20260727-002142,BCV-20260728-00099,broad_4x1000_deduped,readiness_lane_003,1,WI,Midwest,Belleville,Dane County (55025; primary); Green County (55045),2025 Pay Grades - Belleville (PDF),https://www.bellevillewi.gov/sites/g/files/vyhlif15896/files/media/human-resources/file/9431/2025%20Pay%20Grades%20-%20Belleville.pdf,https://bellevillewi.gov/sites/g/files/vyhlif15896/files/media/human-resources/file/9431/2025%20Pay%20Grades%20-%20Belleville.pdf,bellevillewi.gov,wage_schedule,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-7ffdcbfdf3bb4793ea5f.pdf,pdf,131177,59fe5c835c706eae0b977707328d2618e486564f6174cd280099b76771b35999,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-74cbb38eb32ef3d85539,CBSRD-20260728-038eb31c252ca3a2efc4,CBCR-20260728-01983,B4XPAR-20260727-002146,BCV-20260728-08499,broad_4x1000_deduped,readiness_lane_003,2,WI,Midwest,Bloomer,Chippewa County (55017; primary),"City of Bloomer (Police Department), WERC MA-6367 (McLaughlin, 05-20-91)",https://werc.wi.gov/grievance_awards/4171.pdf,https://werc.wi.gov/grievance_awards/4171.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-038eb31c252ca3a2efc4.pdf,pdf,103011,92c3b2c261585a4480b9c813c11a72e6fc0c1a5d03ccfa55f35f1732b87a1674,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-0dc6e54683810d21bb16,CBSRD-20260728-c0fb44f0c75907be8cc4,CBCR-20260728-01984,B4XPAR-20260727-002147,BCV-20260728-02071,broad_4x1000_deduped,readiness_lane_003,3,WI,Midwest,Bloomer,Chippewa County (55017; primary),"City of Bloomer, WERC MA-13136 (McLaughlin, 4/21/06)",https://werc.wi.gov/grievance_awards/6973.pdf,https://werc.wi.gov/grievance_awards/6973.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-c0fb44f0c75907be8cc4.pdf,pdf,153002,9b0d2935aa2b41b8f68089e4980d30f0bc26b93fa4441369f48ed6e68a3dd269,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-06945962bce28380d6b3,CBSRD-20260728-4c8cea7ef9d44a420f97,CBCR-20260728-05223,B4XPAR-20260727-005703,BCV-20260728-02067,broad_4x1000_deduped,readiness_lane_003,4,WI,Midwest,Boscobel,Grant County (55043; primary),"STATE OF WISCONSIN BEFORE THE WISCONSIN EMPLOYMENT RELATIONS COMMISSION: City of Boscobel Employees, WCCME, AFSCME, AFL-CIO v. City of Boscobel (Decision No. 10618-A)",https://werc.wi.gov/decisions/10618-A.pdf,https://werc.wi.gov/decisions/10618-A.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-4c8cea7ef9d44a420f97.pdf,pdf,469467,68270fc08d6a20b47d6ddbbc3ebfd36762ce0d814a48dbc5aa8dca655b10af55,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-6ca7bd9799330ef12075,CBSRD-20260728-c167f2a61f4166190396,CBCR-20260728-05225,B4XPAR-20260727-005705,BCV-20260728-04219,broad_4x1000_deduped,readiness_lane_003,5,WI,Midwest,Chilton,Calumet County (55015; primary),City of Chilton Police Department Employees Union Local 1362 (AFSCME) — Final and Binding Arbitration Decision (Dec. No. 26478-A),https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia26478.pdf,https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia26478.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-c167f2a61f4166190396.pdf,pdf,416744,14f30cb929432c46142ec14cbd8efe1bb140208b12ca3d88602a20ca112a1501,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-04b4db3b27359153b141,CBSRD-20260728-a48e58595d46bd357f60,CBCR-20260728-01991,B4XPAR-20260727-002154,BCV-20260728-08502,broad_4x1000_deduped,readiness_lane_003,6,WI,Midwest,Cross Plains,Dane County (55025; primary),"Arbitration Award (WERC) — Wisconsin Professional Police Association v. Village of Cross Plains (MA-13506, Case 8)",https://werc.wi.gov/grievance_awards/7305.pdf,https://werc.wi.gov/grievance_awards/7305.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-a48e58595d46bd357f60.pdf,pdf,149346,3c5bba9eef7fa62c7124e5eb5b4ddd456b093b7e21e977853d643c514d509533,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-b0947c5df029de42711d,CBSRD-20260728-0d709d279f3a2884dffd,CBCR-20260728-01992,B4XPAR-20260727-002155,BCV-20260728-07125,broad_4x1000_deduped,readiness_lane_003,7,WI,Midwest,Cross Plains,Dane County (55025; primary),"Annual Pay Scale Amendment Policy — Policy 2026-01 (includes pay grade minimum/maximum ranges for multiple Village positions, incl. non-safety grades)",https://www.cross-plains.wi.us/AgendaCenter/ViewFile/Agenda/_01262026-688?packet=true,https://cross-plains.wi.us/AgendaCenter/ViewFile/Agenda/_01262026-688,cross-plains.wi.us,other_local_government_pay_policy,ordinance_or_policy,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-0d709d279f3a2884dffd.pdf,pdf,2823,9aae97b9d7ae40c52a0304ab5668480bf32d8413980800e514fc6a0edc8e1b9f,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-33111b1d19ad6729e799,CBSRD-20260728-8bb343b753b910d1d5bb,CBCR-20260728-00398,B4XPAR-20260727-000441,BCV-20260728-04217,broad_4x1000_deduped,readiness_lane_003,8,WI,Midwest,Cuba City,Grant County (55043; primary); Lafayette County (55065),"City of Cuba City (craft), Dec. No. 32346-A (Honeyman) - Arbitration Award; WERC Case No. 67444, Int/Arb - 11028",https://werc.wi.gov/interest_awards/int32346.pdf,https://werc.wi.gov/interest_awards/int32346.pdf,werc.wi.gov,arbitration_award,arbitration_award,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-8bb343b753b910d1d5bb.pdf,pdf,44702,d257715b8483c80d4c6f32c65e938f3b1d8f5a80f0d29344e284ddc86b3a6c96,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-7ab3f5e8df230e3da80b,CBSRD-20260728-6dabe7ac44f14dffdd24,CBCR-20260728-07666,TS4L-03e51be4b832c58e291b,BCV-20260728-05042,targeted_prior_unrouted,readiness_lane_003,9,WI,Midwest,De Pere,,Document Center browse page showing “Firefighter 2024-2026 Contract” entry (De Pere),https://www.deperewi.gov/egov/apps/document/center.egov?act=&action=&app=4&eGov_searchCategory=&eGov_searchDepartment=&eGov_searchTitle=&eGov_searchTopic=&eGov_searchType=&eGov_searchYear=&fCS=&fDD=17-100&id=&l2=100&order=&orderBy=2-0&page=4_9&path=&sect=content&view=browse,https://deperewi.gov/egov/apps/document/center.egov,deperewi.gov,collective_bargaining_agreement_or_moa_or_wage_schedule,collective_bargaining_agreement_or_moa_or_wage_schedule,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-6dabe7ac44f14dffdd24.html,html,77903,d0f0e642f43a36380abbd2f9672bb8ff9da0fe281e64cb52074be6008504562c,.html,html,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
CBRDY-20260728-ca38daddf4a817ebe0ae,CBSRD-20260728-6af188d8d6c7761da199,CBCR-20260728-00401,B4XPAR-20260727-000444,BCV-20260728-04609,broad_4x1000_deduped,readiness_lane_003,10,WI,Midwest,Delafield,Waukesha County (55133; primary),Common Council Minutes — Discussion/Action Approving Terms of Tentative Agreement (2015–2017) with City of Delafield Police Union,https://www.cityofdelafieldwi.gov/Archive.aspx?ADID=2170,https://cityofdelafieldwi.gov/ArchiveCenter/ViewFile/Item/2170,cityofdelafieldwi.gov,agenda_packet_or_minutes,meeting_minutes,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-6af188d8d6c7761da199.pdf,pdf,507468,b6280652a652e164ca2c765fde3ebc3e25bf203d147d6fc954289779e8503178,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis."
