scope,expected_count,registered_count,reconciliation_status,registered_treatment,restriction
accepted_usage_layer,643,643,pass,registered_bounded_literal_mechanism_evidence,no_analysis
restricted_exact_span,116,116,pass,quarantine_metadata_only,excluded
ambiguous_navigation,614,614,pass,navigation_only,excluded
unavailable_navigation,581,581,pass,navigation_only,excluded
navigation_only_total,1195,1195,pass,navigation_only,excluded
strict_primary_manifest,56,56,pass,narrow_non_analytic_manifest,no_statistics
quantitative_candidates,862,862,pass,separate_manifest_only,not_qualitative_evidence
quantitative_exceptions,1045,1045,pass,separate_exception_manifest,not_qualitative_evidence
non_base_companion,4733,4733,pass,separate_companion_manifest,not_base_wage_outcome
reference_control,345,345,pass,separate_control_manifest,not_outcome_evidence
unresolved_conflict_observations,5,5,pass,quarantined_in_two_groups,unresolved
