linkage_id,quantitative_evidence_id,qualitative_evidence_id,linkage_status,linkage_confidence,linkage_reason,city,state,unit_type,bargaining_unit_name,contract_or_cycle_period,source_family,quantitative_value_kind,quantitative_value_unit,quantitative_claim_readiness,raw_quantitative_value_string,qualitative_mechanism_family,qualitative_claim_relevance,qualitative_direction_of_pressure,qualitative_evidence_strength,qualitative_claim_boundary,same_source_match,same_city_match,same_unit_match,same_cycle_match,value_normalized,value_imputed,value_annualized,wage_gap_calculated,regression_used,treatment_effect_estimated,causal_claim_made,population_or_national_claim_made,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
QQL513-7f7b70c835f4937ff37f3b,quantitative:qobs_00404927aa0bcef6e91e9a53,legacy:qualitative:lobs_4a1c3ca7714c258dd0a0454e:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Laguna Hills,CA,non_safety,,2023-07-01 to 2025-06-30,cba,annual_salary_value,dollars_per_year,direct_text_quantitative_claim_ready,"annual_salary=6,989.62 | normalized_scalar_value=6989.62",automatic_raise_mechanism,direct_text_claim,gap_narrowing,moderate,"Text explicitly describes a cost of living adjustment (COLA) and its magnitude, indicating an automatic/scheduled pay adjustment mechanism.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-fc6d9015f1a814d15c26ef,quantitative:qobs_00dcd4d701faa49826d0585f,legacy:qualitative:lobs_00dcd4d701faa49826d0585f:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Santa Rosa,CA,fire,,2021-07-01 to 2024-06-30,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=7,546 | step=Step 1 | effective_date=September 26, 2021 | currency_or_unit=monthly | normalized_scalar_value=7546",implementation_or_retroactivity_advantage,provisional_causal_candidate,gap_narrowing,weak,Supports only that the pay increase/treatment is timed to an effective date; does not specify magnitude or whether the timing benefits safety vs non-safety.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-2150028b230e623dbab41c,quantitative:qobs_00dcd4d701faa49826d0585f,legacy:qualitative:lobs_2c61d48fabd207ac0fde9ebd:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Santa Rosa,CA,fire,,2021-07-01 to 2024-06-30,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=7,546 | step=Step 1 | effective_date=September 26, 2021 | currency_or_unit=monthly | normalized_scalar_value=7546",implementation_or_retroactivity_advantage,direct_text_claim,neutral_or_unclear,weak,Addresses timing/implementation wording only; no comparative advantage or wage effect stated.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-f6c8edb28b2518c27b8c60,quantitative:qobs_01fde53ca68eab05b472dac3,legacy:qualitative:lobs_01fde53ca68eab05b472dac3:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Whitehall,OH,fire,,2022-01-01 to 2024-12-31,cba,hourly_rate_value,dollars_per_hour,needs_normalization_later,rate_value=$23.18 | hourly_rate=$23.18 | step=1st Year | effective_date=2022-01-01 | currency_or_unit=$/hr (53-hr schedule) | normalized_scalar_value=23.18 | normalized_effective_date=2022-01-01,automatic_raise_mechanism,provisional_causal_candidate,gap_narrowing,weak,"Indicates a step progression tied to completing four years of active full-time service; does not specify the size, timing beyond the condition, or whether it is automatic via COLA/CPI vs a service-step rule.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-e8bd0a618e585fc200a10a,quantitative:qobs_0270ffac9188e1718609e5ac,legacy:qualitative:lobs_a746d0ac44fa19a7fd410fca:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Elgin,IL,fire,,2007-01-01 to 2010-12-31,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=0.5% | effective_date=July 1, 2008 | currency_or_unit=across-the-board increase | normalized_scalar_value=0.5",automatic_raise_mechanism,documentary_mechanism_claim,neutral_or_unclear,moderate,This supports only that step advancement eligibility exists after six months employment; it does not quantify wage effects or amounts.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-075948471db9809b186303,quantitative:qobs_02a7433f56918e8ac6df6a76,legacy:qualitative:lobs_69493378b3464d410eab1c73:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Lino Lakes,MN,police,,2025-01-01 to 2026-12-31,cba,hourly_rate_value,dollars_per_hour,needs_normalization_later,rate_value=$43.38 | hourly_rate=$43.38 | step=Step 2 | grade=180P | effective_date=1/1/2025 | currency_or_unit=hourly | normalized_scalar_value=43.38 | normalized_effective_date=2025-01-01,implementation_or_retroactivity_advantage,context_only,neutral_or_unclear,weak,"Identifies an effective date/time context but does not specify retroactivity, staged increases, or comparative implementation details.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-000b2b1f45bd5f4c8887e3,quantitative:qobs_02f1fb8ce0e04e63f8cc6fee,legacy:qualitative:lobs_59ee594079f1c30e06e8a54a:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Portland,ME,police,,2025-01-01 to 2027-12-31,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=8% | effective_date=Effective July 6, 2025 | normalized_scalar_value=8",automatic_raise_mechanism,direct_text_claim,gap_narrowing,strong,Longevity step increases are stated as eligibility for an anniversary-based automatic mechanism; no comparative gap or final wage effect is implied.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-8e59b2453148ab08cfcf37,quantitative:qobs_054fc765c1a168ac17a99b21,legacy:qualitative:lobs_973cc48d12376907f576cf13:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Oak Harbor,WA,fire,,2026-01-01 to 2027-12-31,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=$8,076 | step=4 | effective_date=January 1, 2026 | currency_or_unit=monthly salary | normalized_scalar_value=8076",implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"This span only indicates an effective date; it does not specify whether increases are retroactive, staged, or favorable relative to another date.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-91b4a0254eacea71d78317,quantitative:qobs_054fc765c1a168ac17a99b21,legacy:qualitative:lobs_a70dacb6a5afba7f21ea2093:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Oak Harbor,WA,fire,,2026-01-01 to 2027-12-31,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=$8,076 | step=4 | effective_date=January 1, 2026 | currency_or_unit=monthly salary | normalized_scalar_value=8076",automatic_raise_mechanism,context_only,gap_narrowing,moderate,Timing for step eligibility is stated; this supports an automatic step-increase mechanism only in a contextual sense without specifying amounts or comparative wage effects.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-5662da3cb20970dc956a4c,quantitative:qobs_05f57ac83b51374c78d201ad,legacy:qualitative:lobs_973cc48d12376907f576cf13:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Oak Harbor,WA,fire,,2026-01-01 to 2027-12-31,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=$8,445 | step=5 | effective_date=January 1, 2026 | currency_or_unit=monthly salary | normalized_scalar_value=8445",implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"This span only indicates an effective date; it does not specify whether increases are retroactive, staged, or favorable relative to another date.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
