qualitative_mechanism_family,result_row_count,linked_pair_count,linked_quantitative_row_count,no_link_quantitative_row_count
automatic_raise_mechanism,97,97,86,0
bargaining_power_signal,5,5,5,0
fiscal_constraint_signal,3,3,3,0
gap_narrowing_signal,0,0,0,0
implementation_or_retroactivity_advantage,126,126,110,0
market_or_comparability_pressure,9,9,9,0
non_base_compensation_signal,15,15,15,0
non_safety_constraint_signal,0,0,0,0
parity_or_internal_equity_signal,0,0,0,0
rank_or_specialization_premium,13,13,13,0
strike_or_no_strike_constraint,0,0,0,0
