relative_path,file_size_bytes,file_size_human,sha256_if_available,hash_status,retention_decision,cleanup_level
tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a.zip,704360,687.85 KiB,1f7c6ad299898bc1c9c11473fec0c8d688b6f91b071b2f8df83c49acb70159b8,computed,replace_with_compact_summary,1_or_2
tmp/push_only_repair_pdf_text_readiness_4961_relay_2026-07-28_push_failed.zip,10126,9.89 KiB,007387f0fe465f599db7c90a81d59e9256d115a18698fd26fd746578de42a3c7,computed,replace_with_compact_summary,1_or_2
tmp/parallel_worker_01_ca25_retry2_preflight_stop_2026-07-21_relay_a00cb19.zip,52702,51.47 KiB,cc6f58e6f0d8455fad5496f2f518d84bf5449d4ecfa795c364c060ed0f591c3b,computed,replace_with_compact_summary,1_or_2
tmp/broad_state_4x2500_pi_report_finalize_relay_2026-07-30_e8fa2bfa789fb79bd857562bb1f3cd91d6da128e.zip,97340,95.06 KiB,148e2fbd58f9aa2d292d78c8b2d9c985b2864ab7901e0ff2f271aa1bb2c01af7,computed,replace_with_compact_summary,1_or_2
tmp/tier1_wave2_coordinator_150row_serial_live_relay_2026-07-22_3f2f815.zip,4514776,4.31 MiB,bf29b81bf59480da0d2fa5470b80eb875f4f3c64a201e12520f7dfc1a3e98c7d,computed,replace_with_compact_summary,1_or_2
tmp/wave2_3x50_batch_prep_2026-07-22_relay_1265366.zip,482917,471.60 KiB,4726895f1b723ed5c952a62578b50c1cf57dba2aa294bc55ff157f97fa4f2336,computed,replace_with_compact_summary,1_or_2
tmp/create_broad_state_scout_relay.py,3356,3.28 KiB,a3aa97cc851aa15db387cd4dd98413e8f40aadf50644c2fc4ef05a809308afd1,computed,replace_with_compact_summary,1_or_2
tmp/source_review_batch3_3x500_live_collection_lite_relay_2026-07-24_46923a2.zip,3550142,3.39 MiB,12040f3d8045bde2d22fcf647c8c9756171928e28042fb0f24a71bc4e8084d30,computed,replace_with_compact_summary,1_or_2
tmp/national_batch01_il25_2_live_direct_sdk_2026-07-20_relay_0e710b7.zip,1313191,1.25 MiB,4bc27d3c637b12628988fe81d78164af7bbea37c313d291d800ffe67655ccc86,computed,replace_with_compact_summary,1_or_2
tmp/national_batch01_tx_live_scout_2026-07-16_relay_4824117.zip,398114,388.78 KiB,16c5f3c380cbc1f7322a8d8bd8b2a19c5542a18fbbb46648f9c6de6a86824be4,computed,replace_with_compact_summary,1_or_2
tmp/wave2_coordinator_150row_serial_live_relay_2026-07-22_bb0c5ea.zip,1886808,1.80 MiB,fa4c52f5800f308af52b8ad96e404a5d4e14fe508c24fd480a33d487364d56f5,computed,replace_with_compact_summary,1_or_2
tmp/gabriel_huit_code_packet_2026-07-17_relay_4a33388.zip,411585,401.94 KiB,01b7ee3aff8935d4f1c59322f372351311949f56bde22b247279e5d90e7cd682,computed,replace_with_compact_summary,1_or_2
tmp/parallel_round1_serial_merge_relay_2026-07-23_c4cf7d0.zip,2119003,2.02 MiB,e6cf55e1089b560510e4c694d317f70de6287862d9d944608d55c26f465908f0,computed,replace_with_compact_summary,1_or_2
tmp/gabriel_scout_timeout_relay_bundle_2026-07-15.zip,358192,349.80 KiB,e133b7f9a7df88ff2e1ff349fa3c1e70ef0d09fc61772df023ba7449ce67a604,computed,replace_with_compact_summary,1_or_2
tmp/national_scout_coverage_setup_2026-07-15_relay_b516140.zip,398927,389.58 KiB,3f0b59c6dc69726a9ef51dde902e7ad9ec0f374730642cc9ebd17e5b269de798,computed,replace_with_compact_summary,1_or_2
tmp/source_review_batch2_500_live_collection_relay_2026-07-24_4db4317.zip,911013190,868.81 MiB,,deferred_large_file,replace_with_compact_summary,1_or_2
tmp/broad_state_remaining_municipalities_verification_relay_2026-08-01_1cd17e642c6644a2537a1e266de2317993828bf8.zip,17886,17.47 KiB,359f1edaa818f279f3f88acc3f2b7d12f1ca091b528fefa5b60674f229088e2f,computed,replace_with_compact_summary,1_or_2
tmp/national_municipality_universe_crosswalk_2026-07-16_relay_4c2db6c.zip,2561933,2.44 MiB,3c42ad890b38839142bb182ab1d5f29fb14ef3fd01c588854839bc822e957887,computed,replace_with_compact_summary,1_or_2
tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5.zip,744913,727.45 KiB,253412cadacd238175dc0c74ea81a4a2195dd1fa4de05f778e538b6d3eb03066,computed,replace_with_compact_summary,1_or_2
tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280.zip,59987,58.58 KiB,1e9dcf0bac51173d9098aa95526bbc361f8b50ab02e66922f63552e27b17dbe4,computed,replace_with_compact_summary,1_or_2
tmp/source_review_pilot1_httpx_serial_merge_relay_2026-07-24_ed042c1.zip,769737,751.70 KiB,2d2009ad2788aebf90a01f006ee138ccc2baaf0ef6eaaa0460d4f6911e956ffb,computed,replace_with_compact_summary,1_or_2
tmp/aggressive_parallel_scaling_framework_relay_2026-07-23_d015800.zip,875307,854.79 KiB,96d5f9557b27059dbb56a40f79b5e09ea70aeb5a5f230332c8a21a933205e0ff,computed,replace_with_compact_summary,1_or_2
tmp/quantitative_direct_text_claim_triage_862_relay_2026-07-26_7d3a69a.zip,13220,12.91 KiB,4a4b186c11a776aae4be9a670e1da9ee8716ef8717a28169f2521e54ffeb8fc2,computed,replace_with_compact_summary,1_or_2
tmp/broad_state_whole_corpus_rating_span_synthesis_claim_readiness_relay_2026-08-03_6e3292d4c619b951556a1b3da9f350e23f58fe1a.zip,12259,11.97 KiB,0c283587360335203d4c4ae208664d50082af7d6302dd93360dee17a981ab8da,computed,replace_with_compact_summary,1_or_2
tmp/national_batch01_il_filter_contract_dry_run_2026-07-20_relay_5e75390.zip,391530,382.35 KiB,76e9da7f9dc7c2c9662778c0a861929ce43c3afefb9b866bbbd4a0df5a78ac08,computed,replace_with_compact_summary,1_or_2
