artifact_family,relative_path,decision,bytes,reason,physical_action_this_task
script,scripts/run_targeted_scouting_four_lane_candidate_review.py,retain_if_essential,46047,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_combined_broad_pdf_text_layer_readiness_4961.py,retain_if_essential,59501,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/source_review_sources.py,retain_if_essential,46912,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_broad_state_whole_corpus_claim_package_prep.py,retain_if_essential,61856,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/build_broad_state_4x2500_verification_relay.py,retain_if_essential,3726,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/prepare_text_table_detection_pilot.py,retain_if_essential,25454,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_available_external_data_non_ocr_extraction.py,retain_if_essential,112282,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_compensation_extraction_readable_parse_text_1826_independent_bounded_review.py,retain_if_essential,6689,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_whole_corpus_external_data_hosted_search_scout.py,retain_if_essential,102394,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/build_national_batch01_il25_2_scout_input.py,retain_if_essential,15977,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_broad_state_4x2500_verification.py,retain_if_essential,1950,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/build_broad_state_4x2500_pdf_text_readiness_relay.py,retain_if_essential,7112,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/prepare_scaled_verification_batches.py,retain_if_essential,52816,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_scout_preflight_gate.py,retain_if_essential,9915,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/audit_text_table_detection_lanes.py,retain_if_essential,18349,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/build_whole_corpus_evidence_correction.py,retain_if_essential,99504,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/prepare_text_table_calibration_subset.py,retain_if_essential,31886,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_whole_corpus_visual_production.py,retain_if_essential,91640,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_remaining_municipality_candidate_review.py,retain_if_essential,46244,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_quantitative_to_qualitative_mechanism_linkage_513.py,retain_if_essential,44455,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/build_national_batch01_il25_2_live_candidate_handoff.py,retain_if_essential,4514,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_broad_state_4x2500_source_review_download.py,retain_if_essential,59946,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_targeted_source_verification_tier_a_b.py,retain_if_essential,49283,Candidate for clean-repository reproducibility and onboarding.,none
script,ingest/relevance_filters.py,retain_if_essential,4724,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_broad_state_4x2500_verification.py,retain_if_essential,49925,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_text_table_calibration_review.py,retain_if_essential,12499,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_compensation_evidence_limited_qualitative_usage_layer_acceptance.py,retain_if_essential,35497,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_combined_broad_candidate_review.py,retain_if_essential,49427,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_compensation_extraction_readable_parse_text_1826_targeted_conflict_qa.py,retain_if_essential,37666,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/review_compensation_evidence_final_provisional_schema_readiness.py,retain_if_essential,23816,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/validate.py,retain_if_essential,7981,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_broad_state_by_state_source_scout_wave.py,retain_if_essential,5912,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_broad_state_4x1000_scout_dry_run_prep.py,retain_if_essential,8594,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/test_compensation_extraction_readable_parse_text_1826_targeted_conflict_qa.py,retain_if_essential,6651,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/audit_parallel_scout_lanes.py,retain_if_essential,24786,Candidate for clean-repository reproducibility and onboarding.,none
