inventory_id,relative_path,artifact_family,artifact_subfamily,file_size_bytes,clean_repo_decision,source_library_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_level,lane_id,lineage,absolute_path_hash,filename,extension,tracked_status,ignored_status,untracked_status,symlink_status,file_size_human,modified_time,created_time_if_available,SHA256_if_available,existing_hash_source,exact_duplicate_group_id,near_duplicate_group_id_if_available,canonical_source_id_if_available,task_id_if_available,source_type_if_available,municipality_if_available,state_if_available,period_if_available,original_URL_pointer_if_available,extraction_status_if_available,claim_or_report_dependency,current_use_status,superseded_status,sensitive_material_risk,machine_specific_path_risk,redistribution_risk,cleanup_priority,estimated_reclaimable_bytes,replacement_summary_path,retention_reason,exclusion_reason,unresolved_question,logical_file_count
INV-58701482b6a69fc3ac85,docs/analysis/report_assets/arbitration_distinction_by_state_occupation_2026-07-10.png,rendered_visual,png,81063,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,81063,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-49d5e6b0e7b76d15c6d4,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f07.csv,visual_data,bounded_visual_input,633,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,633,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-64ccffb4b69197715629,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-none-identified_qa.json,visual_data,bounded_visual_input,264,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-9f5381c29716c6c04dc9,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-ordinance-council-adoption_caption.json,visual_data,bounded_visual_input,499,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-f94ae63eaeb1eb279b0e,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/assets/claims/final-claim-evidence-matrix.svg,rendered_visual,svg,117945,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,117945,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-0e7fa06fe408a869aa01,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/PDF_page_manifest.json,visual_data,bounded_visual_input,7514,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-35186c7b786da091e00e,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f12.jsonl,visual_data,bounded_visual_input,918,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,918,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-8f594c4604962dc7d849,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/assets/thumbnails/strict-bounded-evidence-lanes.png,rendered_visual,png,51039,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,51039,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-ee5ad9ff1866ac432b03,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EVIDENCE-CORRECTION-IMPLEMENTATION-EVENT-RECODING-AND-VISUAL-PREP-2026-08-04/lanes/lane_005_checkpoint.json,visual_data,bounded_visual_input,260,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,260,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-b43b4d2e9075f6ed6670,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/assets/claims/claim-card-unsup-05.svg,rendered_visual,svg,87858,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,87858,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-ea21f89ab4455b4d82fd,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/figures/F16/figure_metadata.json,visual_data,bounded_visual_input,3303,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-00700873fc16e983abf8,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/assets/limitations/extraction-limits.png,rendered_visual,png,91854,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,91854,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-d4b051f317cbf79f3417,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/final_safety_minus_non_safety_hex_table.csv,visual_data,bounded_visual_input,280792,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-f6d689cd6208a99b98b2,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-recurring_metadata.json,visual_data,bounded_visual_input,1425,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-fdc56a7045b52115bc46,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-no-direct-compensation-outcome_caption.json,visual_data,bounded_visual_input,524,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-830699c1572da9e49a70,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/visual_annotation_specification.json,visual_data,bounded_visual_input,176,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-791272afb23b7f8409ee,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/final_alaska_inset_table.jsonl,visual_data,bounded_visual_input,45029,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-8bfbb9c85494872c2872,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/PDF_qa.json,visual_data,bounded_visual_input,582,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-77563b13ed983547b161,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-fiscal-constraint_metadata.json,visual_data,bounded_visual_input,1492,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-7de52ac25ddc063e2a0c,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/data/bounded_visual_tables/f13.jsonl,visual_data,bounded_visual_input,73834,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,73834,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-ce2b03fc58f8898ca23e,docs/analysis/report_assets/pressure_conversion_mechanisms_by_occupation_2026-07-10.png,rendered_visual,png,166100,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,166100,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
INV-d829f7cbafe456c824b9,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/dashboard_deployment_validation.json,visual_data,bounded_visual_input,339,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,,
INV-7ed41a9019b8ada3c3cf,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/landing_page_metadata.json,visual_data,bounded_visual_input,278,exclude,exclude,retain,eligible_after_final_asset_selection,2,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,278,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,
