directory,file_count,bytes,size_human
next_task.md,1,1110,
.DS_Store,1,6148,
requirements.txt,1,285,
PROGRESS.md,1,1252973,
README.md,1,4794,
.gitignore,1,2375,
.env,1,82,
.gitattributes,1,521,
AGENTS.md,1,8523,
CLAUDE.md,1,7825,
tmp,14641,9740602570,
data,4,83633,
.git,116,14739883481,
.github,1,2131,
scripts,337,17385068,
.venv,23801,535680288,
logs,2,16663,
docs,236321,33647795187,
.claude,938,622331943,
ingest,15,140119,
corpus,79,216191337,
inbox,46,96704444,
artifacts,128601,69106891465,
artifacts,128601,69106891465,64.36 GiB
artifacts/local_retained_sources,25949,54511489491,50.77 GiB
docs,236321,33647795187,31.34 GiB
docs/analysis,234921,33512378297,31.21 GiB
docs/analysis/compensation_extraction,232948,33211519594,30.93 GiB
artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,14451,32212254769,30.00 GiB
artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf,5484,29902127442,27.85 GiB
.git,116,14739883481,13.73 GiB
.git/objects,12,14735670661,13.72 GiB
.git/objects/pack,12,14735670661,13.72 GiB
artifacts/local_structured_external_data,19831,13246108375,12.34 GiB
artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,19404,13134381252,12.23 GiB
docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28,5070,12516015500,11.66 GiB
artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28,4961,12475949771,11.62 GiB
artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources,4961,12475949771,11.62 GiB
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04,3279,10113702715,9.42 GiB
tmp,14641,9740602570,9.07 GiB
artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30,3672,6557753939,6.11 GiB
artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers,757,4734648763,4.41 GiB
tmp/source_review_pilots,4717,4524452506,4.21 GiB
artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers,586,3691294558,3.44 GiB
artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02,2865,3265531012,3.04 GiB
tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24,3051,3196733637,2.98 GiB
artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations,355,2761942602,2.57 GiB
artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html,8947,2310038403,2.15 GiB
tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs,25,2087039254,1.94 GiB
artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003,920,1766585622,1.65 GiB
artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004,914,1740094131,1.62 GiB
artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001,923,1567187135,1.46 GiB
artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002,915,1483887051,1.38 GiB
artifacts/local_extracted_text,51977,1312030768,1.22 GiB
tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1,995,1111127453,1.03 GiB
docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27,507,1087145671,1.01 GiB
tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1,997,1050943802,1002.26 MiB
tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1,997,1032357115,984.53 MiB
