relative_path,artifact_family,primary_decision,clean_repo,source_library,original_archive,post_acceptance_cleanup,cleanup_level,bytes,reason
scripts/run_targeted_scouting_four_lane_candidate_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,46047,Candidate for clean-repository reproducibility and onboarding.
scripts/run_combined_broad_pdf_text_layer_readiness_4961.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,59501,Candidate for clean-repository reproducibility and onboarding.
scripts/source_review_sources.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,46912,Candidate for clean-repository reproducibility and onboarding.
scripts/run_broad_state_whole_corpus_claim_package_prep.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,61856,Candidate for clean-repository reproducibility and onboarding.
scripts/build_broad_state_4x2500_verification_relay.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,3726,Candidate for clean-repository reproducibility and onboarding.
scripts/prepare_text_table_detection_pilot.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,25454,Candidate for clean-repository reproducibility and onboarding.
scripts/run_available_external_data_non_ocr_extraction.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,112282,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_extraction_readable_parse_text_1826_independent_bounded_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,6689,Candidate for clean-repository reproducibility and onboarding.
scripts/run_whole_corpus_external_data_hosted_search_scout.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,102394,Candidate for clean-repository reproducibility and onboarding.
scripts/build_national_batch01_il25_2_scout_input.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,15977,Candidate for clean-repository reproducibility and onboarding.
scripts/test_broad_state_4x2500_verification.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,1950,Candidate for clean-repository reproducibility and onboarding.
scripts/build_broad_state_4x2500_pdf_text_readiness_relay.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,7112,Candidate for clean-repository reproducibility and onboarding.
scripts/prepare_scaled_verification_batches.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,52816,Candidate for clean-repository reproducibility and onboarding.
scripts/run_scout_preflight_gate.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,9915,Candidate for clean-repository reproducibility and onboarding.
scripts/audit_text_table_detection_lanes.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,18349,Candidate for clean-repository reproducibility and onboarding.
scripts/build_whole_corpus_evidence_correction.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,99504,Candidate for clean-repository reproducibility and onboarding.
scripts/prepare_text_table_calibration_subset.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,31886,Candidate for clean-repository reproducibility and onboarding.
scripts/run_whole_corpus_visual_production.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,91640,Candidate for clean-repository reproducibility and onboarding.
scripts/run_remaining_municipality_candidate_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,46244,Candidate for clean-repository reproducibility and onboarding.
scripts/run_quantitative_to_qualitative_mechanism_linkage_513.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,44455,Candidate for clean-repository reproducibility and onboarding.
scripts/build_national_batch01_il25_2_live_candidate_handoff.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,4514,Candidate for clean-repository reproducibility and onboarding.
scripts/run_broad_state_4x2500_source_review_download.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,59946,Candidate for clean-repository reproducibility and onboarding.
scripts/run_targeted_source_verification_tier_a_b.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,49283,Candidate for clean-repository reproducibility and onboarding.
ingest/relevance_filters.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,4724,Candidate for clean-repository reproducibility and onboarding.
scripts/run_broad_state_4x2500_verification.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,49925,Candidate for clean-repository reproducibility and onboarding.
scripts/test_text_table_calibration_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,12499,Candidate for clean-repository reproducibility and onboarding.
scripts/run_compensation_evidence_limited_qualitative_usage_layer_acceptance.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,35497,Candidate for clean-repository reproducibility and onboarding.
scripts/run_combined_broad_candidate_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,49427,Candidate for clean-repository reproducibility and onboarding.
scripts/run_compensation_extraction_readable_parse_text_1826_targeted_conflict_qa.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,37666,Candidate for clean-repository reproducibility and onboarding.
scripts/review_compensation_evidence_final_provisional_schema_readiness.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,23816,Candidate for clean-repository reproducibility and onboarding.
scripts/validate.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,7981,Candidate for clean-repository reproducibility and onboarding.
scripts/test_broad_state_by_state_source_scout_wave.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,5912,Candidate for clean-repository reproducibility and onboarding.
scripts/test_broad_state_4x1000_scout_dry_run_prep.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,8594,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_extraction_readable_parse_text_1826_targeted_conflict_qa.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,6651,Candidate for clean-repository reproducibility and onboarding.
scripts/audit_parallel_scout_lanes.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,24786,Candidate for clean-repository reproducibility and onboarding.
scripts/test_mechanism_linkage_claim_review_268.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,10536,Candidate for clean-repository reproducibility and onboarding.
scripts/content_triage_sources.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,26491,Candidate for clean-repository reproducibility and onboarding.
scripts/diagnose_huit_openai_request_shapes.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,19828,Candidate for clean-repository reproducibility and onboarding.
scripts/build_codify_evidence_viewer.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,64703,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_evidence_limited_qualitative_usage_layer.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,16946,Candidate for clean-repository reproducibility and onboarding.
scripts/build_post_pi_wave1_worker_inputs.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,35716,Candidate for clean-repository reproducibility and onboarding.
scripts/run_global_analysis_readiness_gate.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,32332,Candidate for clean-repository reproducibility and onboarding.
scripts/proxy_pilot_must_have_sources.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,35171,Candidate for clean-repository reproducibility and onboarding.
scripts/test_combined_broad_candidate_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,8797,Candidate for clean-repository reproducibility and onboarding.
scripts/test_targeted_pdf_text_layer_readiness_387.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,15193,Candidate for clean-repository reproducibility and onboarding.
scripts/test_targeted_scouting_four_lane_prep_dry_run.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,18823,Candidate for clean-repository reproducibility and onboarding.
scripts/test_targeted_source_review_download_429.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,13217,Candidate for clean-repository reproducibility and onboarding.
scripts/test_remaining_municipality_text_extraction.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,2354,Candidate for clean-repository reproducibility and onboarding.
scripts/run_broad_candidate_verification_4x3000_resume_lane_004.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,38953,Candidate for clean-repository reproducibility and onboarding.
scripts/run_targeted_scouting_four_lane_fixed_stagger_live.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,54735,Candidate for clean-repository reproducibility and onboarding.
scripts/coordinate_external_data_exhaustive_pipeline.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,12660,Candidate for clean-repository reproducibility and onboarding.
scripts/run_compensation_evidence_limited_qualitative_usage_layer.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,48901,Candidate for clean-repository reproducibility and onboarding.
scripts/test_targeted_scouting_four_lane_staggered_live.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,11019,Candidate for clean-repository reproducibility and onboarding.
scripts/prepare_content_triage_batches.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,37858,Candidate for clean-repository reproducibility and onboarding.
scripts/finalize_broad_state_4x2500_and_review_candidates.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,48068,Candidate for clean-repository reproducibility and onboarding.
scripts/run_bounded_internal_mechanism_linkage_claim_memo.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,47499,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_evidence_bounded_schema_repair_followup.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,7661,Candidate for clean-repository reproducibility and onboarding.
scripts/repair_compensation_evidence_final_provisional_schemas.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,59565,Candidate for clean-repository reproducibility and onboarding.
scripts/test_targeted_tier_c_verification_from_bounded_memo_gaps.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,7121,Candidate for clean-repository reproducibility and onboarding.
scripts/run_compensation_extraction_targeted_qa.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,38700,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_evidence_final_provisional_merge.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,8790,Candidate for clean-repository reproducibility and onboarding.
