document,purpose,intended_reader,source_inputs,required_content,expected_length,clean_repo,source_library,original_archive
README.md,Entry point and concise project identity,all users,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",2–4 pages,True,False,True
START_HERE.md,Ordered first-day handoff path,new RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",2–3 pages,True,False,True
AGENT_STARTUP_INSTRUCTIONS.md,Safe agent briefing and claim-boundary protocol,new RA and agent,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",4–6 pages,True,False,True
PROJECT_HANDOFF.md,"Current state, deliverables, and ownership transfer",new RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",5–8 pages,True,False,True
FINDINGS_AND_CLAIM_BOUNDARIES.md,"Final claims, counterexamples, and prohibited conclusions",research team,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",8–12 pages,True,False,True
METHODS_AND_WORKFLOW.md,Complete reproducible workflow and evidence lanes,research team,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",10–15 pages,True,False,True
PROJECT_HISTORY_AND_LESSONS.md,"Timeline, failures, repairs, and durable lessons",new RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",8–12 pages,True,False,True
KNOWN_LIMITATIONS.md,"Specific discovery, storage, extraction, comparability, and inference limits",all users,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",6–10 pages,True,False,True
DATA_AND_ARTIFACTS.md,"Compact tables, large local layers, and dependency map",technical RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",6–10 pages,True,False,True
SOURCE_LIBRARY_GUIDE.md,"Source-only package structure, provenance, and checksums",source-library user,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",5–8 pages,True,True,True
REPO_MAP.md,Directory map and current-vs-archive status,new RA and agent,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",3–5 pages,True,False,True
NEXT_STEPS.md,Prioritized safe extensions and stop conditions,new RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",3–5 pages,True,False,True
ENVIRONMENT_SETUP.md,Pinned environment and local configuration,technical RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",3–5 pages,True,False,True
VALIDATION_GUIDE.md,Acceptance tests and count/checksum reconciliation,technical RA,final adjudication; atlas; pipeline manifests; inventory; incident logs,"truthful current state, evidence boundaries, source pointers, and validation steps",5–8 pages,True,True,True
