inventory_id,relative_path,artifact_family,artifact_subfamily,logical_file_count,file_size_bytes,file_size_human,task_id_if_available,current_use_status,clean_repo_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_level,estimated_reclaimable_bytes,retention_reason,lane_id,lineage
INV-1cdc88eff29860f85cae,scripts/run_broad_state_wage_growth_continuity_review.py,mathematical_analysis,analysis_output,,47158,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-894aa26d44aa8791bf6a,scripts/test_independent_text_table_adjudication_packet.py,claim_adjudication,claim_output,,10565,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-d6041983c0c8b3c183d1,scripts/run_whole_corpus_mathematical_analysis.py,mathematical_analysis,analysis_output,,91798,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-2c42b9d45df23935f0a0,scripts/prepare_independent_text_table_adjudication_packet.py,claim_adjudication,claim_output,,29514,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-3be383e87df3526df989,scripts/run_broad_state_4x2500_wage_growth_continuity.py,mathematical_analysis,analysis_output,,60479,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-600a52fa56ff63c83df1,scripts/run_whole_corpus_integration_claim_adjudication.py,claim_adjudication,claim_output,,85839,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-23dc5d1b9a56efc4f74b,docs/dashboard/data/wage_growth_continuity.json,mathematical_analysis,analysis_output,,33134,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c79c1660e62c3a4d21e5,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/staffing_wrong_side.jsonl,semantic_review,review_output,,0,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-3a3c61e1302a4f7d3c0c,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-MECHANISM-ATTRIBUTED-WAGE-GROWTH-CONTINUITY-2026-07-31/dashboard_wage_growth_claim_summary.json,mathematical_analysis,analysis_output,,4460,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-6a300d9c9cba99bde21a,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/growth_sparse_cell_review.jsonl,mathematical_analysis,analysis_output,,8333,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-d81c827423c3e7657256,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/aggressive_bounded_reanalysis_manifest.json,semantic_review,review_output,,32822,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-49d181472702afea9dc8,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/growth_countervailing_review.jsonl,mathematical_analysis,analysis_output,,2121,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-39cdc1d0f6f71758a8a4,docs/analysis/compensation_extraction/BROAD-STATE-WAGE-GROWTH-CONTINUITY-REVIEW-2026-07-31/mechanism_by_unit_growth_interpretation.csv,mathematical_analysis,analysis_output,,3997,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-2c7c331a902ae8efe2c1,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_exam_lane_003_claim_disposition_ledger.jsonl,semantic_review,review_output,,560183,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-d3abee6d295734fef0e1,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/mechanism_supported_only_claims.csv,claim_adjudication,claim_output,,22920,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
INV-685d0498ee9193f4a3bd,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/urban_rural_analysis.jsonl,mathematical_analysis,analysis_output,,137,,,,retain,retain,retain,none,0,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",handoff_inventory_lane_004,filesystem_stat_and_project_path_rules
