sample_family,inventory_id,relative_path,artifact_family,file_exists_or_logical,size_verified,retention_decision_present,cleanup_level,QA_status
tracked,INV-0004f68628445b4e918f,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/figure_title_subtitle_table.jsonl,visual_data,True,True,True,none,pass
tracked,INV-000cf454f6a25d7db3cc,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-NORMALIZATION-RESCUE-GAP-GROWTH-CLAIMS-2026-07-30/partial_repair_results.jsonl,normalization,True,True,True,3,pass
tracked,INV-000d40a507426ad12ee6,docs/analysis/compensation_extraction/COMBINED-BROAD-SPAN-EVIDENCE-EXTRACTION-3815-PARALLEL-LANES-2026-07-28/lanes/span_lane_001/lane_001_ambiguous_spans.csv,raw_span,True,True,True,3,pass
tracked,INV-000ebb7542160e677427,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/bounded_mathematical_repair_queue.csv,mathematical_analysis,True,True,True,none,pass
tracked,INV-001529dbf93f58b5ae8f,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-PDF-TEXT-READINESS-2026-08-02/geography_readiness_summary.json,documentation,True,True,True,2,pass
tracked,INV-001fd96764a8a153c415,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/Graphs V1/graph2_by_source_type.png,rating,True,True,True,none,pass
tracked,INV-002239967dcd78e5f15a,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/04_EXTERNAL-DATA-SOURCE-REVIEW-DOWNLOAD/staged_file_audit.json,validation,True,True,True,2,pass
tracked,INV-00376db210655a8e9d2d,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-0070dd1e115222d890f0.txt,extracted_text,True,True,True,4,pass
tracked,INV-003bb9b6ad67a137532e,docs/analysis/compensation_extraction/TARGETED-SCOUTING-FOUR-LANE-PREP-DRY-RUN-FROM-PROVISIONAL-CLAIM-REVIEW-2026-07-25/targeted_scouting_lane_1_queue_500.csv,queue,True,True,True,1,pass
tracked,INV-003c647abe20d2dbcd72,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-QUALITATIVE-USAGE-LAYER-ACCEPTANCE-REGISTRATION-2026-07-25/limited_qualitative_usage_layer_acceptance_validation_2026-07-25.md,validation,True,True,True,2,pass
tracked,INV-004b45f0c39152aa3aee,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/hosted_search_redaction_audit.json,validation,True,True,True,2,pass
tracked,INV-0054bb91c9501adeff3f,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-REMAINING-PARSE-TEXT-826-2026-07-25/lanes_new/mixed/mixed_extraction_ledger.csv,documentation,True,True,True,2,pass
tracked,INV-005b5da152085e8da581,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/10_EXTERNAL-DATA-RECONCILIATION-LINKAGE/reconciled_safety_non_safety_visual_index.csv,reconciliation,True,True,True,3,pass
tracked,INV-005be60a97c953ed2d23,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/06_EXTERNAL-DATA-EXTRACTION/html_extraction_results.part-002.csv,documentation,True,True,True,2,pass
tracked,INV-005e30467b0cc76429c1,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/09_EXTERNAL-DATA-INGESTION-CODIFICATION/canonical_external_ambiguity_layer_pointer_manifest.csv,ingestion,True,True,True,3,pass
tracked,INV-005fd0499798f241c380,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-2026-07-31/stopped_or_failed_lane_diagnostics.json,documentation,True,True,True,2,pass
tracked,INV-00634b46fde4adefe17c,docs/analysis/pdf_readiness_pilots/PDF-READINESS-PILOT1-150-2026-07-24/pdf_readiness_merge_prompt_stub.md,prompt,True,True,True,2,pass
tracked,INV-006acf2ca387a3daa8dd,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EVIDENCE-CORRECTION-IMPLEMENTATION-EVENT-RECODING-AND-VISUAL-PREP-2026-08-04/compensation_cycle_repair_layer.csv,visual_data,True,True,True,2,pass
tracked,INV-00700873fc16e983abf8,docs/dashboard/public/reports/whole_corpus_mechanism_claim_limitations_visual_atlas_2026-08-06/assets/limitations/extraction-limits.png,rendered_visual,True,True,True,2,pass
tracked,INV-00707283f12c76eec928,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29/lanes/scout_lane_004/lane_004_checkpoint.json,checkpoint,True,True,True,1,pass
tracked,INV-00798e401249bc4804f7,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/11_EXTERNAL-DATA-NORMALIZATION-MATCHING/local_comparison_match_type_summary.json,normalization,True,True,True,3,pass
tracked,INV-00885cb6b4fc64121f15,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-CANDIDATE-REVIEW-2026-08-01/candidate_review_lane_003_results.jsonl,documentation,True,True,True,2,pass
tracked,INV-008aae26a26c04c1e5f7,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/evidence_pipeline_attrition_table.jsonl,mathematical_analysis,True,True,True,none,pass
tracked,INV-00919a57a7678bfe05b3,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-REPO-DEEP-CLEAN-ARCHIVE-2026-08-03/next_task.md,documentation,True,True,True,2,pass
tracked,INV-009a1eed57d5ce2aae35,docs/analysis/compensation_extraction/BOUNDED-INTERNAL-MECHANISM-LINKAGE-CLAIM-MEMO-2026-07-26/bounded_internal_mechanism_linkage_claim_memo_repo_cleanup_plan.md,documentation,True,True,True,2,pass
tracked,INV-009a41c3881ec380e829,scripts/audit_parallel_scout_lanes.py,script,True,True,True,none,pass
tracked,INV-00a97be27e0eba9c8ead,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/external_search_lane_002_queue.jsonl,queue,True,True,True,1,pass
tracked,INV-00aeebd876f6dc90e00c,docs/analysis/pi_report_input_audit_2026-07-22.md,report,True,True,True,2,pass
tracked,INV-00b9dc594ad3cb29cc96,docs/analysis/compensation_extraction/COMBINED-BROAD-TEXT-EXTRACTION-4051-PARALLEL-LANES-2026-07-28/lanes/extraction_lane_003/lane_003_resume_state.json,documentation,True,True,True,2,pass
tracked,INV-00bbf573214fc57a037a,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-BLOCKER-RESCUE-ANALYSIS-READY-RECLASSIFICATION-2026-08-03/cleaned_major_blocker_resolved_summary.json,documentation,True,True,True,2,pass
tracked,INV-00be3668b9c6a4b0b10a,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/11_EXTERNAL-DATA-NORMALIZATION-MATCHING/paid_with_prior_adoption_queue.jsonl,normalization,True,True,True,3,pass
tracked,INV-00befa280d6daddfa2ee,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/claim_wording_boundary_registry.md,claim_adjudication,True,True,True,none,pass
tracked,INV-00c01b91fe4d034c0220,scripts/run_broad_state_whole_corpus_claim_package_prep.py,script,True,True,True,none,pass
tracked,INV-00c0a8bc895d0f7fe0f9,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/01_RESIDUAL-HOSTED-SEARCH-SCOUT/residual_search_lane_004_target_outcomes.csv,documentation,True,True,True,2,pass
tracked,INV-00c3285d7f6c94e712a5,docs/analysis/compensation_extraction/COMBINED-BROAD-SPAN-EVIDENCE-EXTRACTION-3815-PARALLEL-LANES-2026-07-28/lanes/span_lane_001/lane_001_positive_spans.csv,raw_span,True,True,True,3,pass
tracked,INV-00cbd6517730b70b33d7,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-2026-07-31/dashboard_remaining_live_scout_update_summary.json,dashboard,True,True,True,none,pass
tracked,INV-00d233e5026d02670992,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/human_ai_workflow_external_data_search_stage_note.json,documentation,True,True,True,2,pass
tracked,INV-00d58f9a722dd7c3430b,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-VERIFICATION-2026-08-01/lanes/verification_lane_002/resume_state.json,documentation,True,True,True,2,pass
tracked,INV-00d66f1242cd45d12fe3,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MATHEMATICAL-EXECUTION-AND-DESCRIPTIVE-ANALYSIS-2026-08-05/validation_report.json,mathematical_analysis,True,True,True,none,pass
tracked,INV-00e148917ea08431a585,docs/analysis/compensation_extraction/MECHANISM-LINKAGE-CLAIM-REVIEW-268-EXACT-SAME-SOURCE-LINKS-2026-07-26/mechanism_linkage_claim_review_268_repo_cleanup_considerations.md,documentation,True,True,True,2,pass
tracked,INV-010f1fc4cd1bd9e78ed0,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/lanes/source_review_lane_003/lane_003_source_review_download_results.csv,documentation,True,True,True,2,pass
tracked,INV-01114a990cc2f3bf1eb9,scripts/run_broad_state_4x2500_span_rating_dashboard_cleanup.py,rating,True,True,True,none,pass
tracked,INV-0113767bce9f3c8c3ee9,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/03_EXTERNAL-DATA-VERIFICATION/source_review_ready_queue_shard_manifest.json,queue,True,True,True,1,pass
tracked,INV-011a26218f62494412b9,docs/analysis/compensation_extraction/COMBINED-BROAD-EXACT-SPAN-RATING-17259-PARALLEL-LIVE-LANES-2026-07-28/lanes/rating_lane_004/lane_004_rating_results.csv,rating,True,True,True,none,pass
tracked,INV-011b7924688228ca0dbe,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanisms/mechanism-base-wage-change_caption.json,visual_data,True,True,True,none,pass
tracked,INV-0121a6275e56e3a47e37,docs/analysis/content_triage_round1_metadata_only_dashboard_status_note_2026-07-24.md,dashboard,True,True,True,none,pass
tracked,INV-0121e3d73a3ebad09b69,docs/analysis/compensation_extraction/BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27/lanes/lane_002/lane_002_checkpoint.json,checkpoint,True,True,True,1,pass
tracked,INV-0125aeaec69a8029b065,docs/analysis/text_table_auto_gabriel_adjudication_prompt_template_2026-07-24.md,rating,True,True,True,none,pass
tracked,INV-01276776566f54d12e9c,docs/analysis/compensation_extraction/COMBINED-BROAD-CANDIDATE-REVIEW-AFTER-4X3000-VERIFICATION-2026-07-28/combined_broad_candidate_review_deferred_unreachable_or_blocked_summary.json,documentation,True,True,True,2,pass
tracked,INV-012a25640590de44425f,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-bc5dc814edcf2071b654.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-00376db210655a8e9d2d,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-0070dd1e115222d890f0.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-012a25640590de44425f,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-bc5dc814edcf2071b654.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-0187d45fcd2dfa2a37c5,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-8a9248018b96b4c2eb1d.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-01fec2ecdd72e2577ea1,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-a2bf4fa928dbc7a5dd6a.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-02973184a72e48f617e0,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-f2f2ad71ef0210e86ab2.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-031597d8bd6e4d1594cf,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-4b6dd61f696ec546a58b.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-035f7254e8d859bcb192,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-39223bced05076659598.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-044d8f3ddc4b884b35c4,docs/analysis/compensation_extraction/TARGETED-TEXT-LAYER-EXTRACTION-321-READINESS-READY-SOURCES-2026-07-26/extracted_text/pdf/TXT321-0a4c2ac817706c787f47.txt,extracted_text,True,True,True,4,pass
extracted_text,INV-04902d89053376a0fa2b,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-f86d6bcb3ee0346b5c51.txt,extracted_text,True,True,True,4,pass
