inventory_id,relative_path,artifact_family,artifact_subfamily,file_size_bytes,clean_repo_decision,source_library_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_level,lane_id,lineage,absolute_path_hash,filename,extension,tracked_status,ignored_status,untracked_status,symlink_status,file_size_human,modified_time,created_time_if_available,SHA256_if_available,existing_hash_source,exact_duplicate_group_id,near_duplicate_group_id_if_available,canonical_source_id_if_available,task_id_if_available,source_type_if_available,municipality_if_available,state_if_available,period_if_available,original_URL_pointer_if_available,extraction_status_if_available,claim_or_report_dependency,current_use_status,superseded_status,sensitive_material_risk,machine_specific_path_risk,redistribution_risk,cleanup_priority,estimated_reclaimable_bytes,replacement_summary_path,retention_reason,exclusion_reason,unresolved_question
INV-7a8cd41e37a3169bad12,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/visual_atlas_human_ai_attribution_summary.md,report,report_support,315,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-9f324ac709e5686bcd8e,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/visual_atlas_project_wide_limitations_summary.md,report,report_support,366,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-d55635f6504aadad2516,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/public_deployment_qa.md,report,report_support,635,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-e3d813f21c19f00df226,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-VISUAL-PRODUCTION-AND-QA-2026-08-06/validation_report.md,report,report_support,198,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-6e0646f179c1d7437a42,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/visual_atlas_evidence_tier_explanation.md,report,report_support,270,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-6c816a84d5d07b0f960e,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/visual_atlas_methodology_summary.md,report,report_support,434,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-d96045410451d653c4ee,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/terminology_consistency_audit.md,report,report_support,103,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-12dbeb39420666db16fe,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/validation_report.md,report,report_support,263,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-a468cae271e099ae906c,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/mechanism_visual_coverage_audit.md,report,report_support,130,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
INV-6cacf6f40c8babee54fb,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-MECHANISM-CLAIM-LIMITATIONS-VISUAL-ATLAS-2026-08-06/jargon_exclusion_audit.md,report,report_support,86,retain,exclude,retain,retain,none,handoff_inventory_lane_004,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,"Current final-stage finding, boundary, figure, dashboard, or validation asset.",,
