artifact_family,file_count,bytes,size_human
original_source,26826,56592697696,52.71 GiB
unknown,8812,15066173873,14.03 GiB
log,42751,7853446912,7.31 GiB
documentation,3533,6625216353,6.17 GiB
raw_span,1270,5661436416,5.27 GiB
queue,1146,4809916528,4.48 GiB
reconciliation,1106,4307889126,4.01 GiB
rating,2241,2204753937,2.05 GiB
compact_observation,412,1789200420,1.67 GiB
relay,1376,1784013122,1.66 GiB
ingestion,885,1647545960,1.53 GiB
normalization,897,1525707421,1.42 GiB
extracted_text,52711,1416265996,1.32 GiB
semantic_review,519,1265077709,1.18 GiB
raw_field,53,939220163,895.71 MiB
visual_data,659,430808982,410.85 MiB
report,664,356721560,340.20 MiB
checkpoint,167,138386257,131.98 MiB
schema,84,70995477,67.71 MiB
QA,105,70501959,67.24 MiB
rendered_visual,588,60510010,57.71 MiB
mathematical_analysis,567,49428154,47.14 MiB
parsed_table,10,32252625,30.76 MiB
prompt,146,22207055,21.18 MiB
dashboard,431,17426064,16.62 MiB
validation,862,17244881,16.45 MiB
embedded_record,8720,8989695,8.57 MiB
script,216,6750411,6.44 MiB
claim_adjudication,311,3810763,3.63 MiB
archive,2,2712509,2.59 MiB
matching,23,2593315,2.47 MiB
temporary,1,5731,5.60 KiB
