inventory_id,relative_path,artifact_family,artifact_subfamily,logical_file_count,file_size_bytes,file_size_human,task_id_if_available,current_use_status,clean_repo_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_level,estimated_reclaimable_bytes,retention_reason,lane_id,lineage
INV-a970cca420006b2bbd9b,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/gabriel_proxy_web_connectivity_diagnostic_2026-07-01.csv,rating,rating_output,,778,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-cd9de3352a7d50063d4a,docs/archive/legacy_gabriel_pilot_2026-06/comparator_edges_from_v9_verified_excerpts_2026-06-29.md,rating,rating_output,,12863,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-9e4a40c124bc87908c57,tmp/gabriel_proxy_connection_diagnosis_2026-07-16/smoke_test_metadata.json,rating,rating_output,,773,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c0c9f012f09b2aae0a1f,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/run_gabriel_websearch_seed_demo.py,rating,rating_output,,1517,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-776f296ba4953bb6a731,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/console.log,rating,rating_output,,4107,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-ccd08870d1e1e675c83c,docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_ohio_source_ingestion_audit_2026-07-08.csv,ingestion,ingestion_output,,20722,,,,exclude,retain,eligible_after_reconstruction_validation,3,20722,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-244aa9523d1da98c5fe6,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_smoke_boston_extractions_2026-07-01.csv,rating,rating_output,,405,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-148e4ada10319e8260fd,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v7.csv,rating,rating_output,,10026,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-076ec217035e98df3ee4,tmp/gabriel_huit_code_packet_2026-07-17/validation/test_pipeline.txt,rating,rating_output,,75,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-43cf0cb70c2a52681d47,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v9.csv,rating,rating_output,,17228,,,,exclude,retain,retain,none,0,Preserve project lineage in the original archive.,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
