inventory_id,absolute_path_hash,relative_path,filename,extension,artifact_family,artifact_subfamily,tracked_status,ignored_status,untracked_status,symlink_status,file_size_bytes,file_size_human,modified_time,created_time_if_available,SHA256_if_available,existing_hash_source,exact_duplicate_group_id,near_duplicate_group_id_if_available,canonical_source_id_if_available,task_id_if_available,source_type_if_available,municipality_if_available,state_if_available,period_if_available,original_URL_pointer_if_available,extraction_status_if_available,claim_or_report_dependency,current_use_status,superseded_status,sensitive_material_risk,machine_specific_path_risk,redistribution_risk,clean_repo_decision,source_library_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_priority,cleanup_level,estimated_reclaimable_bytes,replacement_summary_path,retention_reason,exclusion_reason,unresolved_question,lane_id,lineage
INV-48fbd45041b979a608a5,,docs/hypotheses.md,,,documentation,project_documentation,,,,,5006,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,5006,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-a970cca420006b2bbd9b,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/gabriel_proxy_web_connectivity_diagnostic_2026-07-01.csv,,,rating,rating_output,,,,,778,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0552e5b51fee0f79d1f6,,scripts/run_targeted_scouting_four_lane_candidate_review.py,,,script,py,,,,,46047,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-cd9de3352a7d50063d4a,,docs/archive/legacy_gabriel_pilot_2026-06/comparator_edges_from_v9_verified_excerpts_2026-06-29.md,,,rating,rating_output,,,,,12863,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-a5c3b2fa23f97778c48c,,corpus/oh_cincinnati/oh_cincinnati_fop69_police_sup_cba_2024_2027.pdf,,,report,pdf,,,,,813453,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,813453,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-d6eb62814e72a0c8d82c,,tmp/national_batch01_ma_live_scout_validation_2026-07-16/py_compile_scout.txt,,,validation,validation_or_audit,,,,,0,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,0,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-3f1c088ae340d701da1e,,corpus/ma_worcester/worcester_local490_clerical_cba_2017-2020.pdf,,,report,pdf,,,,,13657,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,13657,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0bd25e3d9d783ba1609d,,scripts/run_dashboard_fix_and_tier_c_source_review_download_556.py,,,dashboard,py,,,,,59685,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-8292618b7537e6da4923,,corpus/ma_arlington/ma_arlington_afscme_cba_thru_june2024.pdf,,,report,pdf,,,,,1724092,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,1724092,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-9e4a40c124bc87908c57,,tmp/gabriel_proxy_connection_diagnosis_2026-07-16/smoke_test_metadata.json,,,rating,rating_output,,,,,773,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0a49ec396fde124ebbc3,,docs/archive/session_snapshots_2026-06/seekonk_and_match_tiers_2026-06-24.md,,,documentation,project_documentation,,,,,2984,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,2984,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-53f27996ca0f361a4a49,,inbox/foia/ma_seekonk_public_works_afscme_local_1701_2023_2026.pdf,,,report,pdf,,,,,755914,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,755914,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-428f560793c93fd31b62,,corpus/ma_wayland/ma_wayland_dpw_2020_2023.pdf,,,report,pdf,,,,,1390120,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,1390120,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c0c9f012f09b2aae0a1f,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/run_gabriel_websearch_seed_demo.py,,,rating,rating_output,,,,,1517,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-776f296ba4953bb6a731,,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/console.log,,,rating,rating_output,,,,,4107,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-14dec8ec2859b73b3ff4,,scripts/run_combined_broad_pdf_text_layer_readiness_4961.py,,,script,py,,,,,59501,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-ccd08870d1e1e675c83c,,docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_ohio_source_ingestion_audit_2026-07-08.csv,,,ingestion,ingestion_output,,,,,20722,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,20722,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-244aa9523d1da98c5fe6,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_smoke_boston_extractions_2026-07-01.csv,,,rating,rating_output,,,,,405,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-264cb8f97ea83eb8df01,,inbox/licensed/.gitkeep,,,unknown,extensionless,,,,,0,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-93922a6dbc42c2768317,,inbox/foia/ma_georgetown_afscme_dpw_clerical_2020_2023.pdf,,,report,pdf,,,,,684496,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,684496,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-148e4ada10319e8260fd,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v7.csv,,,rating,rating_output,,,,,10026,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-02d97fe29651adfc17bf,,.github/workflows/deploy-dashboard.yml,,,dashboard,yml,,,,,2131,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-9e6d843196beec421b7a,,scripts/source_review_sources.py,,,script,py,,,,,46912,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-00c01b91fe4d034c0220,,scripts/run_broad_state_whole_corpus_claim_package_prep.py,,,script,py,,,,,61856,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c3d5c605ccd2ca0b4dff,,docs/archive/early_occupation_scoping_2026-07/sanitation_city_service_structure_scan_2026-07-06.md,,,documentation,project_documentation,,,,,26352,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,26352,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-f833c0741b28c44164a7,,docs/archive/early_occupation_scoping_2026-07/police_fire_wage_mechanism_context_2026-07-02.md,,,documentation,project_documentation,,,,,28690,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,28690,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-076ec217035e98df3ee4,,tmp/gabriel_huit_code_packet_2026-07-17/validation/test_pipeline.txt,,,rating,rating_output,,,,,75,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-43cf0cb70c2a52681d47,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v9.csv,,,rating,rating_output,,,,,17228,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
