relative_path,artifact_family,primary_decision,clean_repo,source_library,original_archive,post_acceptance_cleanup,cleanup_level,bytes,reason
docs/hypotheses.md,documentation,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,5006,Superseded historical output; retain compact lineage and selected milestones.
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/gabriel_proxy_web_connectivity_diagnostic_2026-07-01.csv,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,778,Preserve project lineage in the original archive.
scripts/run_targeted_scouting_four_lane_candidate_review.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,46047,Candidate for clean-repository reproducibility and onboarding.
docs/archive/legacy_gabriel_pilot_2026-06/comparator_edges_from_v9_verified_excerpts_2026-06-29.md,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,12863,Preserve project lineage in the original archive.
corpus/oh_cincinnati/oh_cincinnati_fop69_police_sup_cba_2024_2027.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,813453,Superseded historical output; retain compact lineage and selected milestones.
tmp/national_batch01_ma_live_scout_validation_2026-07-16/py_compile_scout.txt,validation,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,0,Superseded historical output; retain compact lineage and selected milestones.
corpus/ma_worcester/worcester_local490_clerical_cba_2017-2020.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,13657,Superseded historical output; retain compact lineage and selected milestones.
scripts/run_dashboard_fix_and_tier_c_source_review_download_556.py,dashboard,retain_in_original_archive_only,exclude,exclude,retain,retain,none,59685,Preserve project lineage in the original archive.
corpus/ma_arlington/ma_arlington_afscme_cba_thru_june2024.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,1724092,Superseded historical output; retain compact lineage and selected milestones.
tmp/gabriel_proxy_connection_diagnosis_2026-07-16/smoke_test_metadata.json,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,773,Preserve project lineage in the original archive.
docs/archive/session_snapshots_2026-06/seekonk_and_match_tiers_2026-06-24.md,documentation,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,2984,Superseded historical output; retain compact lineage and selected milestones.
inbox/foia/ma_seekonk_public_works_afscme_local_1701_2023_2026.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,755914,Superseded historical output; retain compact lineage and selected milestones.
corpus/ma_wayland/ma_wayland_dpw_2020_2023.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,1390120,Superseded historical output; retain compact lineage and selected milestones.
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/run_gabriel_websearch_seed_demo.py,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,1517,Preserve project lineage in the original archive.
tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/console.log,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,4107,Preserve project lineage in the original archive.
scripts/run_combined_broad_pdf_text_layer_readiness_4961.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,59501,Candidate for clean-repository reproducibility and onboarding.
docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_ohio_source_ingestion_audit_2026-07-08.csv,ingestion,post_acceptance_cleanup_candidate,exclude,exclude,retain,eligible_after_reconstruction_validation,3,20722,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup."
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_smoke_boston_extractions_2026-07-01.csv,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,405,Preserve project lineage in the original archive.
inbox/licensed/.gitkeep,unknown,retain_in_original_archive_only,exclude,exclude,retain,retain,none,0,Preserve project lineage in the original archive.
inbox/foia/ma_georgetown_afscme_dpw_clerical_2020_2023.pdf,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,684496,Superseded historical output; retain compact lineage and selected milestones.
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v7.csv,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,10026,Preserve project lineage in the original archive.
.github/workflows/deploy-dashboard.yml,dashboard,retain_in_original_archive_only,exclude,exclude,retain,retain,none,2131,Preserve project lineage in the original archive.
scripts/source_review_sources.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,46912,Candidate for clean-repository reproducibility and onboarding.
scripts/run_broad_state_whole_corpus_claim_package_prep.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,61856,Candidate for clean-repository reproducibility and onboarding.
docs/archive/early_occupation_scoping_2026-07/sanitation_city_service_structure_scan_2026-07-06.md,documentation,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,26352,Superseded historical output; retain compact lineage and selected milestones.
docs/archive/early_occupation_scoping_2026-07/police_fire_wage_mechanism_context_2026-07-02.md,documentation,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,28690,Superseded historical output; retain compact lineage and selected milestones.
tmp/gabriel_huit_code_packet_2026-07-17/validation/test_pipeline.txt,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,75,Preserve project lineage in the original archive.
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v9.csv,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,17228,Preserve project lineage in the original archive.
tmp/gabriel_huit_code_packet_2026-07-17/next_task.md,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,483,Preserve project lineage in the original archive.
scripts/build_broad_state_4x2500_verification_relay.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,3726,Candidate for clean-repository reproducibility and onboarding.
scripts/prepare_text_table_detection_pilot.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,25454,Candidate for clean-repository reproducibility and onboarding.
scripts/run_available_external_data_non_ocr_extraction.py,script,retain_in_both,retain_if_essential,exclude,retain,retain,none,112282,Candidate for clean-repository reproducibility and onboarding.
scripts/test_compensation_evidence_gabriel_claim_rating_summary_review_636.py,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,11814,Preserve project lineage in the original archive.
docs/dashboard/data/reports_index.json,report,superseded_delete_candidate,exclude,exclude,retain,eligible_after_final_asset_selection,2,48230,Superseded historical output; retain compact lineage and selected milestones.
docs/archive/texas_ohio_ingestion_provenance_2026-07/houston_fire_source_resolution_2026-07-08.csv,ingestion,post_acceptance_cleanup_candidate,exclude,exclude,retain,eligible_after_reconstruction_validation,3,9350,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup."
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_websearch_thursday_presentation_outline_2026-07-01.md,rating,retain_in_original_archive_only,exclude,exclude,retain,retain,none,3982,Preserve project lineage in the original archive.
scripts/run_compensation_evidence_limited_exact_span_qualitative_readiness_review.py,raw_span,post_acceptance_cleanup_candidate,exclude,exclude,retain,eligible_after_reconstruction_validation,3,35710,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup."
