artifact_family,relative_path,decision,bytes,reason,physical_action_this_task
documentation,docs/hypotheses.md,retain,5006,Superseded historical output; retain compact lineage and selected milestones.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/gabriel_proxy_web_connectivity_diagnostic_2026-07-01.csv,retain,778,Preserve project lineage in the original archive.,none
script,scripts/run_targeted_scouting_four_lane_candidate_review.py,retain,46047,Candidate for clean-repository reproducibility and onboarding.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/comparator_edges_from_v9_verified_excerpts_2026-06-29.md,retain,12863,Preserve project lineage in the original archive.,none
report,corpus/oh_cincinnati/oh_cincinnati_fop69_police_sup_cba_2024_2027.pdf,retain,813453,Superseded historical output; retain compact lineage and selected milestones.,none
validation,tmp/national_batch01_ma_live_scout_validation_2026-07-16/py_compile_scout.txt,retain,0,Superseded historical output; retain compact lineage and selected milestones.,none
report,corpus/ma_worcester/worcester_local490_clerical_cba_2017-2020.pdf,retain,13657,Superseded historical output; retain compact lineage and selected milestones.,none
dashboard,scripts/run_dashboard_fix_and_tier_c_source_review_download_556.py,retain,59685,Preserve project lineage in the original archive.,none
report,corpus/ma_arlington/ma_arlington_afscme_cba_thru_june2024.pdf,retain,1724092,Superseded historical output; retain compact lineage and selected milestones.,none
rating,tmp/gabriel_proxy_connection_diagnosis_2026-07-16/smoke_test_metadata.json,retain,773,Preserve project lineage in the original archive.,none
documentation,docs/archive/session_snapshots_2026-06/seekonk_and_match_tiers_2026-06-24.md,retain,2984,Superseded historical output; retain compact lineage and selected milestones.,none
report,inbox/foia/ma_seekonk_public_works_afscme_local_1701_2023_2026.pdf,retain,755914,Superseded historical output; retain compact lineage and selected milestones.,none
report,corpus/ma_wayland/ma_wayland_dpw_2020_2023.pdf,retain,1390120,Superseded historical output; retain compact lineage and selected milestones.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/run_gabriel_websearch_seed_demo.py,retain,1517,Preserve project lineage in the original archive.,none
rating,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/console.log,retain,4107,Preserve project lineage in the original archive.,none
script,scripts/run_combined_broad_pdf_text_layer_readiness_4961.py,retain,59501,Candidate for clean-repository reproducibility and onboarding.,none
ingestion,docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_ohio_source_ingestion_audit_2026-07-08.csv,retain,20722,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_smoke_boston_extractions_2026-07-01.csv,retain,405,Preserve project lineage in the original archive.,none
unknown,inbox/licensed/.gitkeep,retain,0,Preserve project lineage in the original archive.,none
report,inbox/foia/ma_georgetown_afscme_dpw_clerical_2020_2023.pdf,retain,684496,Superseded historical output; retain compact lineage and selected milestones.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v7.csv,retain,10026,Preserve project lineage in the original archive.,none
dashboard,.github/workflows/deploy-dashboard.yml,retain,2131,Preserve project lineage in the original archive.,none
script,scripts/source_review_sources.py,retain,46912,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_broad_state_whole_corpus_claim_package_prep.py,retain,61856,Candidate for clean-repository reproducibility and onboarding.,none
documentation,docs/archive/early_occupation_scoping_2026-07/sanitation_city_service_structure_scan_2026-07-06.md,retain,26352,Superseded historical output; retain compact lineage and selected milestones.,none
documentation,docs/archive/early_occupation_scoping_2026-07/police_fire_wage_mechanism_context_2026-07-02.md,retain,28690,Superseded historical output; retain compact lineage and selected milestones.,none
rating,tmp/gabriel_huit_code_packet_2026-07-17/validation/test_pipeline.txt,retain,75,Preserve project lineage in the original archive.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_v9.csv,retain,17228,Preserve project lineage in the original archive.,none
rating,tmp/gabriel_huit_code_packet_2026-07-17/next_task.md,retain,483,Preserve project lineage in the original archive.,none
script,scripts/build_broad_state_4x2500_verification_relay.py,retain,3726,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/prepare_text_table_detection_pilot.py,retain,25454,Candidate for clean-repository reproducibility and onboarding.,none
script,scripts/run_available_external_data_non_ocr_extraction.py,retain,112282,Candidate for clean-repository reproducibility and onboarding.,none
rating,scripts/test_compensation_evidence_gabriel_claim_rating_summary_review_636.py,retain,11814,Preserve project lineage in the original archive.,none
report,docs/dashboard/data/reports_index.json,retain,48230,Superseded historical output; retain compact lineage and selected milestones.,none
ingestion,docs/archive/texas_ohio_ingestion_provenance_2026-07/houston_fire_source_resolution_2026-07-08.csv,retain,9350,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_websearch_thursday_presentation_outline_2026-07-01.md,retain,3982,Preserve project lineage in the original archive.,none
raw_span,scripts/run_compensation_evidence_limited_exact_span_qualitative_readiness_review.py,retain,35710,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",none
script,scripts/test_compensation_extraction_readable_parse_text_1826_independent_bounded_review.py,retain,6689,Candidate for clean-repository reproducibility and onboarding.,none
rating,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/cost_summary.csv,retain,595,Preserve project lineage in the original archive.,none
documentation,docs/archive/early_occupation_scoping_2026-07/non_safety_transit_source_gaps_2026-07-06.md,retain,13326,Superseded historical output; retain compact lineage and selected milestones.,none
rating,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_v9_preliminary_report_2026-06-25.md,retain,13800,Preserve project lineage in the original archive.,none
