lane_id,scout_target_id,municipality,state,target_unit_type,match_priority_tier,candidate_source_count,coverage_status
lane_2,TS4-2-c9096657aee2c128,Brookhaven,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-2e6eaf46b4cc0a68,Islip,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-1003d13e0e282a86,Oyster Bay,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-2f089fc4bb05b994,North Hempstead,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-9f1e31cd9514974f,Babylon,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-1ea3958be6eb01df,Huntington,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-8a7bc986c079ef0f,Rockford,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-3557b905468ad5c8,North,IN,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-cb2fcd68106686b4,Ramapo,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-a95f90834783d47c,Center,IN,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-77125961eb3e77ab,Wheeling,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-b04f864836bcebc3,Thornton,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-7c154d733d01b5d4,Downers Grove,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-ea68a0be03c27994,Wayne,IN,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-99288916cbcd6ad1,Worth,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-97d6e1769660bbfa,Proviso,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-c102d4e4b9f2f872,Lakewood,NJ,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-44ed8fd3001a86c1,Washington,IN,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-e3fc3bb2caa4d666,Maine,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-edc915c120ce8ac4,Amherst,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-722f681ee619df65,Schaumburg,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-a2ea4679d6ae68f6,York,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-78c6eb1dda7afda4,Perry,IN,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-07c517ec808cc76d,Milton,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-ec5a6e9b71db0137,Lisle,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-5b1c5fde552fc324,Smithtown,NY,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-7aacd0047fb136da,Capital,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-b318d8c5b2d84058,Lyons,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-9a568e78dd8f95dc,Bloomingdale,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-8fd9e2fff4f418d5,Palatine,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
lane_2,TS4-2-ce75ec8004b34e59,Niles,IL,safety_and_non_safety_bargaining_units,tier_3_mechanism_gap_discovery,0,not_run_preflight_failed
