extraction_case_id,document_identity_id,text_table_detection_id,page_number,page_role,bounded_evidence_pointer,text_chars,wage_term_count,numeric_token_count,table_like_line_count,qualitative_mechanism_term_count,non_base_wage_term_count,reference_signal,rendered_image_available,rendered_image_path,packet_page_count,packet_text_chars,packet_status
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,11,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=11,1496,2,11,0,5,0,no,no,,6,5999,bounded_valid
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,10,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=10,1495,0,15,0,1,0,no,no,,6,5999,bounded_valid
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,12,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=12,1464,0,9,0,1,0,no,no,,6,5999,bounded_valid
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,21,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=21,1487,9,9,0,3,0,no,no,,6,5999,bounded_valid
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,20,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=20,55,1,3,0,0,0,no,no,,6,5999,bounded_valid
cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,22,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf#page=22,2,0,1,0,0,0,no,no,,6,5999,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,33,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=33,1486,6,13,1,0,17,no,no,,6,5994,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,32,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=32,1496,24,16,2,0,17,no,no,,6,5994,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,34,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=34,1471,9,16,1,1,5,no,no,,6,5994,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,42,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=42,1463,0,9,0,6,7,no,no,,6,5994,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,41,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=41,76,1,1,0,0,0,no,no,,6,5994,bounded_valid
cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,43,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf#page=43,2,0,1,0,0,0,no,no,,6,5994,bounded_valid
cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,2,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=2,1273,0,21,0,4,1,no,yes,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages/adj_d9a9b857f51fc9a1c5f4/page_0002.jpg,5,5990,bounded_valid
cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,1,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=1,1485,0,22,0,5,0,no,yes,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages/adj_d9a9b857f51fc9a1c5f4/page_0001.jpg,5,5990,bounded_valid
cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,3,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf#page=3,1376,0,15,0,1,2,no,no,,5,5990,bounded_valid
