selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status
1,cex_3f6cbff6ff791b415780581a,doc_6beeb4bf0c088dcc05510aa1,ttd_13926f4d65d55b318a6273b8,pr_02d933f92340c8bf72f7635e,sr_440fd5a0042b486017759ca5,NSCQ-AK-20260720-0002,TRI-948d69a30fc401448a3e,VER-4da66dac97ed3faad975,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0391_sr_440fd5a0042b486017759ca5.pdf,b43d6205e5fc5bc89654d37849669d6604852af031f46a30bd720d03874d3c03,91,present,likely,p1,"11,21,41,46,91",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_71de49487ba9bf518dad3084,yes,cex_3f6cbff6ff791b415780581a,mixed,,,0,frozen
2,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,pr_fc163e54d8b005a51a35b2bb,sr_dcae25c8b0630a7188cd55ee,NSCQ-AK-20260720-0001,TRI-57986e1553f30efbfbff,VER-4fdf394f47920a005a87,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,74,present,likely,p1,"33,42,73,74",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_71de49487ba9bf518dad3084,yes,cex_3f6cbff6ff791b415780581a,mixed,,,0,frozen
3,cex_b26471f64f9e384674c41493,doc_d1d97a75226ae2bc738512a8,ttd_8e861bd2c1a8288eb2f035d4,pr_1431475d7d8c71970b16c692,sr_66f1bcfc906b687ba2b5f6b1,NSCQ-AK-20260720-0005,TRI-ea0c45fb36707f775668,VER-4a1fbac1b71fd7324c8d,AK,Fairbanks,CITY OF FAIRBANKS,fire,memorandum_or_settlement,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0473_sr_66f1bcfc906b687ba2b5f6b1.pdf,46c1e7b4a56098753b7dc4ef91022ad8e2b1d75c13c57e7f91d4b394431b4862,10,present,possible,p2,"2,3,4,9",74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_c3c5d7332ccf04461cd93e52,yes,cex_00d23c20e9f720f5d87d42d1,mixed,mixed_quant_qual_ready,medium,3,frozen
4,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,pr_86ef6181d6e403990a26a00d,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,TRI-6c194d783c80dd12b0f6,VER-107d4126d69d0b4243ac,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,5,present,likely,p1,"1,3,4,5",42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|SOURCE_DIVERSITY,match_c3c5d7332ccf04461cd93e52,yes,cex_00d23c20e9f720f5d87d42d1,mixed,,,0,frozen
5,cex_98090552e5e889272128f1bd,doc_a0b4ee29350014c974598d0c,ttd_e6600be726ca65db81b0c494,pr_3d382e1189a567fe59236af6,sr_7779b0eddb1962bddabfa357,NSCQ-AK-20260720-0008,TRI-43870da907000ac3a3dc,VER-7f27b858b1e7f128ea96,AK,Juneau,CITY AND BOROUGH OF JUNEAU,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf,d57b130f86b211bb2323ef9512a9d86376b9fce2db563ff27e675cdb084e4eca,67,present,possible,p2,"2,16,23,30,34,67",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_00e3ecd0106d06ef7dad1a62,yes,cex_a8b0a89bfcd3f21db563404c,mixed,,,0,frozen
6,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,pr_474394e68ad73fced611cc0b,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,TRI-9f64aefe41722b25fdd8,VER-dbbfcb8438e1aa936c24,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf,f3c5110b05874d3a417767c17e70c35b3a240df060bc2d5629de4e4a2b3b4009,52,present,likely,p1,"12,18,24,27,29,52",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_00e3ecd0106d06ef7dad1a62,yes,cex_a8b0a89bfcd3f21db563404c,mixed,,,0,frozen
7,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,pr_3ed6e8b618a837a34ab746d3,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,TRI-b2ee0e47c37296a4b7e6,VER-12d34a0c2e93351405a3,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf,e8e7ce2540b874260fe716fe9db174c2842e574d7f5634c77bafc382ea8990ee,72,present,likely,p1,"9,17,25",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_00e3ecd0106d06ef7dad1a62,yes,cex_a8b0a89bfcd3f21db563404c,mixed,,,0,frozen
8,cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,pr_11b9c9fe4941a259e8d79270,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,TRI-4430a6e6fbe45ca50c72,VER-04839d30e08df16aeeeb,AK,Wasilla,CITY OF WASILLA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf,e0c2d5d94fdfacfd92b5214f88775beb5351049844db20a6ed6f6c3258a53c72,30,present,likely,p1,"1,2,7",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_e553d59361ad46b00825345c,yes,cex_634d8c2916509fe7e7dce92c,mixed,,,0,frozen
9,cex_33977d3af49d1e09bf99cb6c,doc_391573494520678714847bc7,ttd_2474baf52a21a32eb2a6f8fc,pr_7c4680243cd251d03a72bc84,sr_b3eafc2ef5bb713329952dbb,NSCQ-AK-20260720-0011,TRI-020cb942762b2ded82ae,VER-206b5fec7fbe4fa9e04b,AK,Wasilla,CITY OF WASILLA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf,e41f8ce9354db395460251465294d787e9bfcb947627583196d6c48b7d78a92d,62,present,likely,p1,"15,21,28,35,61,62",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_e553d59361ad46b00825345c,yes,cex_634d8c2916509fe7e7dce92c,mixed,,,0,frozen
10,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,pr_4702a68f7674533c498bb0f3,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,TRI-64f6c843ef7c76bc30cc,VER-eaa1a34274d27ae89e0a,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf,897fa069deb6467194ca79607f8fe867111d7583aa17cff4f5471633d5df69e4,20,present,possible,p2,"5,11,12",24.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_9330589c40697cc1df50124e,yes,cex_a873bae3a7a05fe3314754fe,mixed,non_wage_compensation,medium,4,frozen
