review_type,extraction_case_id,page_number,lane,observation_ids,observation_count,qa_reason
exact_content_duplicate,cex_b8904d5f29508df492899b0a,21,quantitative,qobs_0f812bc8463cb90b8680eec6|qobs_806595827983c836af0e67fd|qobs_aa32d97233e694c1b2a41310,3,EXACT_STRUCTURED_CONTENT_REPEATED
exact_content_duplicate,cex_a873bae3a7a05fe3314754fe,2,non_base_wage,nobs_f3124f700a5ae9729131304f|nobs_a27d3f791b7a18b06928853a,2,EXACT_STRUCTURED_CONTENT_REPEATED
potential_quantitative_conflict,cex_6967b92238ab419d9d658bb2,32,quantitative,qobs_3927f2ce7f61932d8c996d04|qobs_a92440905e9762cfdf93f485,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_cf2ef3b39fdcb44d58e51f3b,6,quantitative,qobs_8044c5b70358d7b132b804a2|qobs_4b7fa2ac4dc2c0441ed90118,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_5bcf8fc4872759a9bb92a89b,10,quantitative,qobs_09740c868c022a470219240f|qobs_e183f31821059045e64e898d,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_43e0f3541d71ad9b5fbacbcc,5,quantitative,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_3aa9b7e69b4a086e1dd2e5b5,8,quantitative,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_f86002aabdcccceea3315e2d,5,quantitative,qobs_dc3e4751cef3e970f04b7f96|qobs_b3ee2db3f3a0aabb224d611b|qobs_bb580cc8f6ed01dcb4c94361|qobs_f4d14c722cfade7fd4c6ad82,4,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_38a5d6d6ba59bb2283411321,23,quantitative,qobs_e5c3fdd0d9108331d7db1b58|qobs_e8e5bc5566c92f2f6ccb6e45,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
potential_quantitative_conflict,cex_8e422fc7cff83da56aec2e17,10,quantitative,qobs_d57cfcec1d1300d5e61fa631|qobs_698296c4f25f511e49baa894,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES
