request_phase,extraction_case_id,gabriel_request_id,gabriel_backend,gabriel_model,request_status,schema_valid,prompt_sha256,prompt_chars,input_page_count,input_text_chars,input_image_count,input_image_bytes,raw_prompt_saved,raw_response_saved,encoded_image_saved,response_sha256,response_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_message,credential_value_saved,authorization_header_saved
preflight,cex_141f074f6b04c3604758829d,resp_015592ef33e97d3c006a65223ebeb88195b60f51041fac3cef,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f72114758327b90c4b0fc7049d93e54d0519b7a40d8b6517434db80efb6880dd,7374,4,5236,0,0,false,false,false,8bc75c3a7920aedf3785d2ebe706db0eb71ef6dc0803e8f272e4acbdb1b0aec4,8759,2433,2321,4754,14.912329,,,false,false
preflight,cex_a69fa3f31af071a64a78fbe3,resp_0967213ce3ea52bf006a65224d75d88190a1cf7c967dd93cf8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6572b9f5c7ac77ef6ec9e29c2d0bef66fec7cadaa15d847af9fe14a98778f878,2606,1,1185,1,101228,false,false,false,bda3fe345626c426155bad7a1dc2b6db742a85113294ab7ef2580d4806535216,459,2652,150,2802,16.759264,,,false,false
preflight,cex_3f6cbff6ff791b415780581a,resp_00204a5cb8ff90e1006a65225085e881909d164444669e218e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,471169e6030795788abcd83668ec59dfe385e519a55ba0f2cb71480491cac005,8583,6,5999,0,0,false,false,false,207394f984c042701b1bc3423423ea59c53ec69207dec338b28bec6f1266d3c4,1411,2629,563,3192,68.868923,,,false,false
preflight,cex_88c0af6577ce3501924b2367,resp_042ba98c823151f5006a6522837b8881978b7ad443edeccb72,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,89eb4ba10619c3183eb28bd9b6877efc50d1e083727c268d5bb27e14705d7f73,1518,1,124,1,71832,false,false,false,6a3a24234fe8cd5b7cd0c2fdaeb632865a663c8c6300ff05693a0b3ab5b91eeb,527,2418,134,2552,70.558692,,,false,false
live,cex_3f6cbff6ff791b415780581a,resp_0bde1ab38463a8de006a652296bc9c81948517c0180ca6a102,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,471169e6030795788abcd83668ec59dfe385e519a55ba0f2cb71480491cac005,8583,6,5999,0,0,false,false,false,b85fc6b0b3ebd6e6aa93b67744e006fe8fcdba9338d8e55ad9887a1cca4c23b7,4084,2629,1476,4105,12.154847,,,false,false
live,cex_6967b92238ab419d9d658bb2,resp_01ec9e895017e072006a65229529108197bb4f48e80c926014,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,06687d020b0476a2cfcb7ca362c3e29958c7cedebb91c5af33813441295fa8c2,8584,6,5994,0,0,false,false,false,cdf74dd48616f92ae983242ac6bd54cccebd720ff4ceb19dccacc7a78429e12b,7553,2672,2247,4919,15.561785,,,false,false
live,cex_b26471f64f9e384674c41493,resp_06703bc186c46f1c006a6522a0cf688193b10ec388bc585c8d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b20ab863a0caf939184f45d4a1479118a7a62f928abd86082fe3bed4eeb90936,8363,5,5990,3,386251,false,false,false,6126f68b8b3f25bad37aaf6aec177e08a6bc8fbdb3d3b65a7945a6b275bafc32,4058,6881,1387,8268,21.231016,,,false,false
live,cex_00d23c20e9f720f5d87d42d1,resp_0b30104a260805c1006a6522a448288190b494f222db11513a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,68e25ff811b4f567652db1dba65851b22a1465e561a0e2f83db328fcf9bb2083,7646,5,5254,0,0,false,false,false,d809eff4b444f1a0ff9fb609627346e17d9d2465244968bcf8081d82e2af1762,7407,2978,2585,5563,31.220891,,,false,false
live,cex_98090552e5e889272128f1bd,resp_07355f93dcabfcea006a6522a9eb148190bd75bcd9ef6f5c9b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b0895af1a30c5c49b64b152aedd3b3e85da7c786e1c5c3f9420638dc91dde3b3,8753,6,5997,0,0,false,false,false,c0e47ad98d565338dda17f79e2d17f1ecf3d7cdf261ae2c760ba876092beab72,3187,2642,1097,3739,28.364446,,,false,false
live,cex_a8b0a89bfcd3f21db563404c,resp_0d0f5da004823332006a6522b119c88196b497e745af444cf5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f498bb42cdd49c9e80e34080a4ade84ceef02470608926e47b5b7ac1dcd3df4b,8702,6,5999,0,0,false,false,false,1d97393176ff4d7126edd69aeb2f5f0201ab1a454eb28219c689f8f10a9291ff,8036,2806,2225,5031,41.652879,,,false,false
live,cex_527d357f4098f3fe88a0c046,resp_0128b2274933361c006a6522b3fd648194a3426fcf56fcc514,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,bd6b7b58b2fb4e55876c9ed34e082da12a4860c4faeda3a871db830d4586d45c,8663,6,5998,0,0,false,false,false,6b51e71280176f09976fd64a9daf620112f6fc006b9e02844922199c7f09a6b6,3351,2733,1281,4014,39.513317,,,false,false
live,cex_634d8c2916509fe7e7dce92c,resp_04efc7429b9eba55006a6522bc3a608195a66f00ad981f15b0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6fb12eb8f3c27ed1b9595a2a565c7c5ce57379f4e493ac1fbde6e549f98b2a03,8824,6,5991,0,0,false,false,false,a8295c47051db29ece08659e241c5950e3c17521e7754dd08d48387dfdc87161,2470,3139,883,4022,45.492990,,,false,false
live,cex_33977d3af49d1e09bf99cb6c,resp_0dfe96f650673dee006a6522be5cd8819387b3b12df72c0c52,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,896ef730721ca27d0afb7e2a9874c4ae429fb36b244e93bd65222a3c81f6c09b,8543,6,5997,0,0,false,false,false,62fb7225e5a57b83c612c03eb232a3726bc46404781341a7ef91db4f7d000c68,4812,2653,1102,3755,49.243332,,,false,false
live,cex_d3c9e38f7fed7af2c097a5ec,resp_0e056a68989ddb29006a6522c2a2908196852a8e4b3b6df376,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b542ac32d9c9685dd5d14b75758096dfb6bd75803442537564f0465145c29425,8562,6,5996,4,658281,false,false,false,2dce637157ac08f0ebf37bcd33d5a5d71e63feeaa9f96b5f1f1a087d8a4ddbd7,2948,7892,1094,8986,53.504391,,,false,false
live,cex_a873bae3a7a05fe3314754fe,resp_095f86bcbe8d8b98006a6522c5ee9c8194980e82a0d6c824cd,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,98e86bfcba09159d7995afae93a042d55ea8f3ed938e1b66ac007e87ebf36091,8347,5,5996,0,0,false,false,false,d7abe848734afc32963a7ba8c04362431eee0aac8ee5fd2a7d0e9331ab12e437,5113,3727,1932,5659,61.242711,,,false,false
live,cex_141f074f6b04c3604758829d,resp_0b7a364211784915006a6522ca36d4819086c820b1b68f5186,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f72114758327b90c4b0fc7049d93e54d0519b7a40d8b6517434db80efb6880dd,7374,4,5236,0,0,false,false,false,fcd51cfcaea7d2bb1d24f67b8bf574abefbdffacdfc79c509d4ae9d885fd95f2,4813,2433,1336,3769,62.041691,,,false,false
live,cex_984cbbc236fcfff6e4a419d0,resp_03c49a001bef721a006a6522d1f1b48193ba013962718e0817,huit_openai_responses_direct_sdk,gpt-5.4-nano,schema_invalid,false,27c13742b2a4bffc84bba4bf7df01a63a3dd84d910456a978bbe0c5f337524a8,8686,6,5996,0,0,false,false,false,8ef667f8891c7195335035f557ac01042de7d193258806ffa6854c5d8ce0db0d,5957,3303,2240,5543,79.939115,ValueError,mixed disposition missing sub-records,false,false
live,cex_d3bedbd7465b1697d943e559,resp_0abce9c6d546fd5d006a6522d2c1dc81959f6e2dcda889137b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,0bda8b19733666b6c2132a940a41da037aae5270683d4b60a889e5f7aae87656,8575,6,5991,0,0,false,false,false,af06b75b40cfa36fd08191cc1f5c5e8f0e93008fb0e17c00dd7b5dbe75f5e808,1347,2926,623,3549,67.343636,,,false,false
live,cex_2493343e2699ca44a4c9900d,resp_0dd57a3a68139272006a6522d8088c81978d16ed7f71beeeca,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,e96b9cfa671b7fa1a265e9a7501d136bc189a48b22ef673d87212a05ddfebc4d,8566,6,5999,0,0,false,false,false,db7f242f94eac329106f1b7665d12a364f49c13a8551f076417ef72f9a6e87cd,6998,2496,2134,4630,82.344538,,,false,false
live,cex_10f89b8ade8ce1cb0b9b4b76,resp_0cd61b1d6603e8b6006a6522e4a6f481948373ada3c77f10ab,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3adf6ef659a84d7e181b8c677f736885365648445774b343dae48b8968042bce,8829,6,5999,0,0,false,false,false,2e4e521a1c5624f4b74acca4d328f6dbf06b3edb2df385ffa5c40d2c484c9727,7925,2823,2408,5231,96.504637,,,false,false
live,cex_059fe0eff62409749bf63f97,resp_0f1da64b181ba351006a6522e71070819393c844e3dcd0ce1a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6784b7bb46bb14b81a00703cfc0fdc5cb804afd1380ebb62803738cb43df6af7,9129,6,5999,0,0,false,false,false,e7ee65dd4e3e6998cdde6df4650217edac1fb5eec8402f8f72f19cde7c181204,3680,2959,1048,4007,89.326072,,,false,false
live,cex_b469b0a23a3b954deb1b702e,resp_018ecdfaba077f5e006a6522ee0be48194b68ae8065d10aa90,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a694a0b26ade64c4bc31a6bf46201d6cf908d74bf385d6c226b9d892916a3001,8578,6,5998,0,0,false,false,false,9cc0541246680ff7d23659280ca5dfe7ab12c94c6be04422844d502da608728c,4702,2480,1355,3835,99.005083,,,false,false
live,cex_d406166f3aeabb43a6852065,resp_0fc5255838e348a8006a6522f53c1c8196b9879201963ade9b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,25f49188197e27a91a39ee261ed7be406215ca2e269e7537a6811e5de5bb0718,8579,6,5999,0,0,false,false,false,4d9ca4b0ff3e4860c8453ff146958e70f5edd25cd8b66fb674e495bf512125d3,6476,2671,1793,4464,112.348464,,,false,false
live,cex_90ffe48d7bf651cdfa804ac5,resp_09c9c86a0a6147fd006a6522f7b8308190908e45b7ce497a4c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,741952814a5d183ba714fc4b22c170f6364d052eb985abf5a2f44c719deb4cfc,8365,5,5999,0,0,false,false,false,4e3601eeda675edec641037b008282ddb28b840542a312cba22364fe15d0554d,5591,2639,1736,4375,109.759460,,,false,false
live,cex_ab58f60853f3f470ab7b4550,resp_06387c481b66c50b006a65230295b88190a5284600d9ff549f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,cb78ab1b89a9babf98036f6a4a379210f001d864a306c700cfd05209054d574c,8574,6,5998,0,0,false,false,false,653da162ca0d39cfa28ad137a480aa73262cd2c00e76ab4543d2072da14cfb31,6701,2714,2067,4781,123.276112,,,false,false
live,cex_cf2ef3b39fdcb44d58e51f3b,resp_0503b0fbd7ba5419006a6523050a988197ad6f454f9cb6d82f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,db0ca1c7448132772bb7bfe84e3dde7d478e01bca4228633ce2d87ced1621897,8592,6,5999,0,0,false,false,false,c7ad59ad8b8833c17ae3adae876c800676e520bfed76eafe8679db8420c22321,3821,2548,1183,3731,121.335466,,,false,false
live,cex_a34c43b943e92d4c5dfd1ec0,resp_0b36346a4ce1adb9006a65230e11b481909ada01de38db3bc6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a7e72658ae9053a5c3fac9103606af177227832e340a41822c5434c45038162e,8547,6,5992,0,0,false,false,false,15e6de72b6a952872e9c299463b0485c4405f8c0fb460914e71497059512bd78,7682,2583,2387,4970,136.896289,,,false,false
live,cex_ec063f9215c2715217302aa8,resp_00dd838542477887006a65230ffdac819495330e31fa824729,huit_openai_responses_direct_sdk,gpt-5.4-nano,schema_invalid,false,333873b8db3bd5a100a2972ac130e21ba8f331296e4d8d28934b11c960dd4cd8,8694,6,5999,0,0,false,false,false,d4fc987c44b8db4bd9caf70bce3ccad7a1cbc0bcd8a4807867b7d2025560e855,1394,2859,452,3311,127.183022,ValueError,mixed disposition missing sub-records,false,false
live,cex_8834a31d6f413f451d76d344,resp_04ea5f1b2846acef006a652313eaa88194ab1f14e2f9d64ae3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,23e7bdea7aa79d6e07909c24e6621b084e4ca3d180169a9340a74a4ce9759e65,8616,6,5999,0,0,false,false,false,1007b10bceb34a2607e6de3311cf643a026d6cb3fb90d0683bf3bd61772d6ea7,3216,2833,1271,4104,139.859366,,,false,false
live,cex_a95fed37613898243a98ab4a,resp_095d2da74a6dd119006a6523209e908193a64d0a590442b735,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1bdc77bbae3f4cc5434148640d68f897ede765b3ef0fbe2d3781fd16e67f20c5,8616,6,5993,0,0,false,false,false,38ee540f8e595dbe2df14e11ffdcaf4c7696065ce8d4a6a9982259762dd2c118,2289,2727,834,3561,6.268675,,,false,false
live,cex_3ca2ec5cd72f94964c6f9781,resp_014660818c17c25e006a652320a6b081909be8cf5da7b41d0b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,51ea140500e567c236c8a91d2212f6c7f071104c555be5d6524f4b1aa440f2b3,8614,6,5999,0,0,false,false,false,b0ccda098553679cd2502add4094469af10a98364d3ffb4260e679a9ace1bea1,1558,2736,680,3416,5.927746,,,false,false
live,cex_5bcf8fc4872759a9bb92a89b,resp_0773109d6fbf5621006a6523280f0c8190ba08d00c100f3f67,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,bda1170d903926ac373634923ca4a01f02957f49adea4ae80cb83c4898f5d877,8578,6,5998,0,0,false,false,false,54a786ae81bd99c50e610a00541b01ef847a2ae61caa5c9631f37747cd1421d4,10241,2698,2807,5505,27.944718,,,false,false
live,cex_1864b27ce7870f6f77773cd3,resp_002eac14ac56f8f5006a652326d7088190a47b1c9de8b3b231,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,bfb550d8d5b03a0db9e4a71c4e7ff8f7d22c0051c399ae0bb095f90f2a874f94,8690,6,5990,0,0,false,false,false,aab6594c12d902bac65756ee83f1b4acce5abd8c8451a565fd6203229e367d30,4456,2492,1245,3737,16.355102,,,false,false
