request_phase,extraction_case_id,started_at,finished_at,local_packet_seconds,gabriel_elapsed_seconds,request_status
preflight,cex_141f074f6b04c3604758829d,,2026-07-25T20:54:28Z,0.000000,14.912329,success
preflight,cex_a69fa3f31af071a64a78fbe3,,2026-07-25T20:54:28Z,0.000000,16.759264,success
preflight,cex_3f6cbff6ff791b415780581a,,2026-07-25T20:54:28Z,0.000000,68.868923,success
preflight,cex_88c0af6577ce3501924b2367,,2026-07-25T20:54:28Z,0.000000,70.558692,success
live,cex_3f6cbff6ff791b415780581a,,2026-07-25T20:57:04Z,0.000000,12.154847,success
live,cex_6967b92238ab419d9d658bb2,,2026-07-25T20:57:04Z,0.000000,15.561785,success
live,cex_b26471f64f9e384674c41493,,2026-07-25T20:57:04Z,0.000000,21.231016,success
live,cex_00d23c20e9f720f5d87d42d1,,2026-07-25T20:57:04Z,0.000000,31.220891,success
live,cex_98090552e5e889272128f1bd,,2026-07-25T20:57:04Z,0.000000,28.364446,success
live,cex_a8b0a89bfcd3f21db563404c,,2026-07-25T20:57:04Z,0.000000,41.652879,success
live,cex_527d357f4098f3fe88a0c046,,2026-07-25T20:57:04Z,0.000000,39.513317,success
live,cex_634d8c2916509fe7e7dce92c,,2026-07-25T20:57:04Z,0.000000,45.492990,success
live,cex_33977d3af49d1e09bf99cb6c,,2026-07-25T20:57:04Z,0.000000,49.243332,success
live,cex_d3c9e38f7fed7af2c097a5ec,,2026-07-25T20:57:04Z,0.000000,53.504391,success
live,cex_a873bae3a7a05fe3314754fe,,2026-07-25T20:57:04Z,0.000000,61.242711,success
live,cex_141f074f6b04c3604758829d,,2026-07-25T20:57:04Z,0.000000,62.041691,success
live,cex_984cbbc236fcfff6e4a419d0,,2026-07-25T20:57:04Z,0.000000,79.939115,schema_invalid
live,cex_d3bedbd7465b1697d943e559,,2026-07-25T20:57:04Z,0.000000,67.343636,success
live,cex_2493343e2699ca44a4c9900d,,2026-07-25T20:57:04Z,0.000000,82.344538,success
live,cex_10f89b8ade8ce1cb0b9b4b76,,2026-07-25T20:57:04Z,0.000000,96.504637,success
live,cex_059fe0eff62409749bf63f97,,2026-07-25T20:57:04Z,0.000000,89.326072,success
live,cex_b469b0a23a3b954deb1b702e,,2026-07-25T20:57:04Z,0.000000,99.005083,success
live,cex_d406166f3aeabb43a6852065,,2026-07-25T20:57:04Z,0.000000,112.348464,success
live,cex_90ffe48d7bf651cdfa804ac5,,2026-07-25T20:57:04Z,0.000000,109.759460,success
live,cex_ab58f60853f3f470ab7b4550,,2026-07-25T20:57:04Z,0.000000,123.276112,success
live,cex_cf2ef3b39fdcb44d58e51f3b,,2026-07-25T20:57:04Z,0.000000,121.335466,success
live,cex_a34c43b943e92d4c5dfd1ec0,,2026-07-25T20:57:04Z,0.000000,136.896289,success
live,cex_ec063f9215c2715217302aa8,,2026-07-25T20:57:04Z,0.000000,127.183022,schema_invalid
live,cex_8834a31d6f413f451d76d344,,2026-07-25T20:57:04Z,0.000000,139.859366,success
live,cex_a95fed37613898243a98ab4a,,2026-07-25T20:59:27Z,0.000000,6.268675,success
live,cex_3ca2ec5cd72f94964c6f9781,,2026-07-25T20:59:27Z,0.000000,5.927746,success
live,cex_5bcf8fc4872759a9bb92a89b,,2026-07-25T20:59:27Z,0.000000,27.944718,success
live,cex_1864b27ce7870f6f77773cd3,,2026-07-25T20:59:27Z,0.000000,16.355102,success
live,cex_43e0f3541d71ad9b5fbacbcc,,2026-07-25T20:59:27Z,0.000000,30.056801,success
live,cex_3aa9b7e69b4a086e1dd2e5b5,,2026-07-25T20:59:27Z,0.000000,40.492106,success
live,cex_c30576f6b358214f6fa8d459,,2026-07-25T20:59:27Z,0.000000,44.597155,success
live,cex_8ea7a77ddd735767fff951c8,,2026-07-25T20:59:27Z,0.000000,54.994695,success
live,cex_88c0af6577ce3501924b2367,,2026-07-25T20:59:27Z,0.000000,47.471478,success
live,cex_7668baa0999dbe631fb682c9,,2026-07-25T20:59:27Z,0.000000,64.777390,success
live,cex_fb9bd6b64c0ce2ed4a3d933f,,2026-07-25T20:59:27Z,0.000000,65.798475,success
live,cex_f86002aabdcccceea3315e2d,,2026-07-25T20:59:27Z,0.000000,79.467836,success
live,cex_6f5ea03bb6f2bb57002ce083,,2026-07-25T20:59:27Z,0.000000,68.490315,success
live,cex_564cbd4d5f8e34edc3912802,,2026-07-25T20:59:27Z,0.000000,70.882194,success
live,cex_99bd10f87d91931f59aacf04,,2026-07-25T20:59:27Z,0.000000,73.473789,success
live,cex_cb83b81ccf52fc3fd1a7b937,,2026-07-25T20:59:27Z,0.000000,92.074088,success
live,cex_79d1f5614879d876462c1761,,2026-07-25T20:59:27Z,0.000000,91.112687,success
live,cex_40b4fe14209386021aa54425,,2026-07-25T20:59:27Z,0.000000,97.473590,schema_invalid
live,cex_a4743072a2d9345b37f35404,,2026-07-25T20:59:27Z,0.000000,104.947542,success
live,cex_2be7bdd7287b3a2f00090ecd,,2026-07-25T20:59:27Z,0.000000,110.666155,success
live,cex_6e668077517fb585fd5ecd86,,2026-07-25T20:59:27Z,0.000000,115.817393,success
live,cex_fbb3342b22f306cadc622a6c,,2026-07-25T20:59:27Z,0.000000,125.315327,success
live,cex_2c62fbbf5daca7cd2c00192d,,2026-07-25T20:59:27Z,0.000000,125.538182,success
live,cex_38a5d6d6ba59bb2283411321,,2026-07-25T20:59:27Z,0.000000,143.140770,success
live,cex_35bccb447255f49c5ca6ac6f,,2026-07-25T20:59:27Z,0.000000,135.710901,success
live,cex_32fb89b95dcd8a3d3417ae9d,,2026-07-25T21:01:42Z,0.000000,7.135461,success
live,cex_58d8cbf0484faedc01ef18ad,,2026-07-25T21:01:42Z,0.000000,8.166543,success
live,cex_3909c03b68be38b12449cbaa,,2026-07-25T21:01:42Z,0.000000,17.358406,success
live,cex_39fea6848c4e2ceaaeaab906,,2026-07-25T21:01:42Z,0.000000,18.930289,success
live,cex_038f065eae9e84fc7a3ad068,,2026-07-25T21:01:42Z,0.000000,28.144577,success
live,cex_8e422fc7cff83da56aec2e17,,2026-07-25T21:01:42Z,0.000000,28.881595,success
live,cex_30c9ebec1e14cfcf42c2d306,,2026-07-25T21:01:42Z,0.000000,36.140846,success
live,cex_60f545713dd3d64f8f7d2580,,2026-07-25T21:01:42Z,0.000000,43.969650,success
live,cex_0bdde108326cd26fbfcd23a1,,2026-07-25T21:01:42Z,0.000000,51.494035,success
live,cex_85f4e36aa58da0a367ebc4e5,,2026-07-25T21:01:42Z,0.000000,56.925918,schema_invalid
live,cex_2b3befca515f0286b3b90d59,,2026-07-25T21:01:42Z,0.000000,66.569268,success
live,cex_86f7ab1241f82515b9d98e60,,2026-07-25T21:01:42Z,0.000000,65.841453,success
live,cex_7e24adf7841e1f6889e35e68,,2026-07-25T21:01:42Z,0.000000,73.770779,schema_invalid
live,cex_5a4ac97a59623ce22354b574,,2026-07-25T21:01:42Z,0.000000,74.532333,success
live,cex_579be2561452cc472e1e067c,,2026-07-25T21:01:42Z,0.000000,89.513376,success
live,cex_222982a39211056fba2c1c24,,2026-07-25T21:01:42Z,0.000000,82.318386,success
live,cex_38041e055fa786143db78c82,,2026-07-25T21:01:42Z,0.000000,98.550065,success
live,cex_ccadca12eff9936540d70470,,2026-07-25T21:01:42Z,0.000000,95.013711,schema_invalid
live,cex_989a4a513947a53a595b1982,,2026-07-25T21:01:42Z,0.000000,99.208865,success
live,cex_431b3f8707bedfa99876517c,,2026-07-25T21:01:42Z,0.000000,111.500570,success
live,cex_82223aa069f7db92f4dfaaae,,2026-07-25T21:01:42Z,0.000000,114.877922,success
live,cex_2184fb0fede2aad4e86329d7,,2026-07-25T21:01:42Z,0.000000,116.171382,success
live,cex_26e433d95111114d8b776cbd,,2026-07-25T21:01:42Z,0.000000,131.551478,success
live,cex_08bc8729a35a56f4c6adec2a,,2026-07-25T21:01:42Z,0.000000,125.661864,success
live,cex_4fd0217d34b2ba234e7c7005,,2026-07-25T21:01:42Z,0.000000,135.373526,success
live,cex_0a02958beaecbaffb097a4b8,,2026-07-25T21:04:31Z,0.000000,8.899339,success
live,cex_0265647a9dfb1ada78c6c015,,2026-07-25T21:04:31Z,0.000000,14.865786,success
live,cex_4f48453a1fd3e5f8fe647c58,,2026-07-25T21:04:31Z,0.000000,12.045751,success
live,cex_668f1e5f56bf5165dfdd3942,,2026-07-25T21:04:31Z,0.000000,22.864895,success
live,cex_bf14fcc0362b1e89b8e0f227,,2026-07-25T21:04:31Z,0.000000,20.097338,success
live,cex_ab6951301079f9f6cae23f9b,,2026-07-25T21:04:31Z,0.000000,25.733047,success
live,cex_d56afb42faccde857d6ceaba,,2026-07-25T21:04:31Z,0.000000,32.526953,success
live,cex_3dd664691f5495005e158466,,2026-07-25T21:04:31Z,0.000000,27.959982,success
live,cex_4ae96d4716c9d16f51e96338,,2026-07-25T21:04:31Z,0.000000,36.558020,success
live,cex_9d5ab0eca65dcd30b7e60329,,2026-07-25T21:04:31Z,0.000000,40.307193,success
live,cex_64a011f8a0a7458830e04777,,2026-07-25T21:04:31Z,0.000000,40.725243,success
live,cex_b145311e9977de3808faa0b4,,2026-07-25T21:04:31Z,0.000000,53.245232,success
live,cex_8879c772cec318f4f100a441,,2026-07-25T21:04:31Z,0.000000,52.434189,success
live,cex_199dce975a1cf929f727da38,,2026-07-25T21:04:31Z,0.000000,67.566230,success
live,cex_fb56931c22da3938b1933bd7,,2026-07-25T21:04:31Z,0.000000,63.962754,success
live,cex_d6a170ded45090e9d8d25376,,2026-07-25T21:04:31Z,0.000000,73.202930,success
live,cex_9910ffe374d823ba0403d682,,2026-07-25T21:04:31Z,0.000000,157.569615,request_failed
live,cex_c519f9e8671653136efccf15,,2026-07-25T21:04:31Z,0.000000,100.800466,success
live,cex_d311365a123de527d7950e4a,,2026-07-25T21:04:31Z,0.000000,113.094849,success
live,cex_67ac963cc8461a47b7ef21e8,,2026-07-25T21:04:31Z,0.000000,116.313234,success
live,cex_31574344d8c91def7c527707,,2026-07-25T21:04:31Z,0.000000,131.650214,success
live,cex_20f3408084c077bae95cece2,,2026-07-25T21:04:31Z,0.000000,146.601555,success
live,cex_9d7f11d5fa651f0549ed3943,,2026-07-25T21:04:31Z,0.000000,153.027134,success
live,cex_cace98a3dbb31551858e03d9,,2026-07-25T21:04:31Z,0.000000,166.269214,success
live,cex_907a2e5abc8c90a8169908bc,,2026-07-25T21:04:31Z,0.000000,168.435339,success
live,cex_4ebc78a3c8301dc8d3b4aab8,,2026-07-25T21:06:37Z,0.000000,9.330520,success
live,cex_994716bf7980126214df9f21,,2026-07-25T21:06:37Z,0.000000,10.649793,success
live,cex_6bf97f71efc177519f3d0e6e,,2026-07-25T21:06:37Z,0.000000,20.038716,success
live,cex_db21a7a81ef153a937019b6a,,2026-07-25T21:06:37Z,0.000000,23.750376,success
live,cex_55b115489500c852f6c7a852,,2026-07-25T21:06:37Z,0.000000,22.550282,success
live,cex_9237c602e6f58a80caac9f92,,2026-07-25T21:06:37Z,0.000000,36.774214,success
live,cex_20cbd5f7d3988ffebf6f0f2e,,2026-07-25T21:06:37Z,0.000000,40.178387,success
live,cex_2ce9517e92408ee877f91bab,,2026-07-25T21:06:37Z,0.000000,56.196700,success
live,cex_af8d7dc334ba0eec22474847,,2026-07-25T21:06:37Z,0.000000,44.458594,success
live,cex_d1a7b465c9b9b3eef0254568,,2026-07-25T21:06:37Z,0.000000,55.054821,success
live,cex_8492d48d29aa385a1727d246,,2026-07-25T21:06:37Z,0.000000,66.444369,success
live,cex_bde2b94e27e0d4232074805a,,2026-07-25T21:06:37Z,0.000000,70.886329,success
live,cex_f80215a27e5afd1196e23024,,2026-07-25T21:06:37Z,0.000000,70.296350,success
