adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,claim_linkage_status_after,compensation_basis_after,conflict_flags,conflict_reconciliation_status,department_after,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,municipality_after,pay_basis_after,period_after,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,reconciled_external_observation_id,side_after,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,mathematical_result,formula,numerator,denominator,supporting_or_countervailing_role,semantic_question_to_resolve,recommended_review_method,final_adjudication
False,,EXTINGEST-39ded04c09c846e8f79d2d82,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-7d10820e18ddcdf95f874aaf,,cog_2025_166502,not_applicable,2023,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-7eda0b42f122daaf553e78a4,unclear,728e7f295ad3024d7989d089309d160272f4758460b39a8c1a35ad88f591c664,350795,350791,$4.6,166,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-eaeeec9adc0ea010a6110dd9,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-9bcbb2eb941745ee63e45e09,,cog_2025_170800,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-e771ee9db68bc7fc1dcc6f37,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,86570842,86570840,31,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-f3dc5c66bec24a989eae4ceb,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-3ca4b9a39e7be5e828503eaa,,cog_2025_170800,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-8139154fc4d1a0a79a49396d,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,128300045,128300042,"11,",,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-0b539238e98cfaaa98f3e206,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-9e70ac9451789eeb4f22779f,,cog_2025_194710,not_applicable,undated,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-138807aaf234180d5f365f62,unclear,dd41380af40ecc84f03aa9d36561bb405a9b0d2bc15158575d2d8e4b9e70441c,,,Work outside Cook County,,89,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-71d3020b4964d2847bb5542b,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-2f88cd0dfd784b68b8828947,,cog_2025_166211,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-6b80c8a835d636977850bf10,unclear,fc2045322b80cc8506797c13b4e208f74dd29c2aa89884285de9410033836f01,371483,371479,2010,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-010f072832da4a3408747825,exact_claim_id_link,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-97e487849f21a2b6dfb7417f,MECH-08,cog_2025_161211,not_applicable,2024,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-4939af1c2b8a94234449b1a1,unclear,580dc3fe4734beb3f8a5c1450f8e60b2ad83170b25b790cc7af7710b97cb142c,355790,355787,262,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-4117621b4381ae15b54d9581,exact_claim_id_link,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-7b33a49fa17f2fd354b80b6d,MECH-08,cog_2025_208929,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-52d6131389bdadb388ba0b93,unclear,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,3662,3645,"November 18, 2016",7,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-b31c55944e1b562b9e56dc32,exact_claim_id_link,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-387d0eb448118d92aa9fcc9c,MECH-08,cog_2025_208929,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-4ccecd0aa41d8e06f1951288,unclear,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,41583,41580,325,44,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-c88baa5ec9e851b5674f7866,exact_claim_id_link,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-eaac9000f06f3261383017d7,MECH-08,cog_2025_225691,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-dd765d8f24b1ccef23399d98,unclear,f0b595d37946c94e95c0ea5b0c514456d5c7bfe1a67b3d943bfd18613890c127,116979,116975,2011,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-e0b29990ffc7ec9df14ae97e,event_linked_claim_pending,not_applicable,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-1084dd670d99a88cee9839bb,,cog_2025_128143,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-c2b5d2fbbe1b3434bcd660a7,unclear,a4261b60949272c41001f09dbdf0c8ff5b1198ed9565b1ee8ea78cda27a5145c,73412,73406,"94,000",33,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
