qa_id,module,sample_size,checks,passed,selection
MATHQA-18abec83fb94f723f3cb75bb,staffing_summaries,250,"{'unit': True, 'denominator': True, 'formula': True, 'conflict_handling': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-3ae6f420d8136afe3ceff91a,staffing_hypothesis,150,"{'explicit_side_and_type': True, 'no_causality': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-27b95c28ffe878c5795c4f68,implementation_sequences,38,"{'wording_integrity': True, 'no_missing_stage_inference': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-0419fa3d4fc38749a5d85651,mechanism_summaries,38,"{'source_event_dedup': True, 'not_prevalence': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-e5c426fe4033d489aff88306,evidence_coverage,7,"{'denominators': True, 'units': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-5b9f33ac7d5a6dd060883c8a,geography,150,"{'event_unit': True, 'fixed_grid': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-085f2fc30b5cc93bf317b8c3,local_comparisons,4,"{'values_reproduced': True, 'no_average': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-a3f2cf83f99e5c911b431d22,documentary_growth,200,"{'canonical_432': True, 'sample_sizes': True, 'sparse_flags': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-3480ca29e20d5c33b40fa1a4,counterexamples,7,"{'bounded_evidence': True, 'validity_gate': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-775be33ac2a2018e6f65a3af,conflict_holds,150,"{'clean_exclusion': True, 'rates_reproduce': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-61845df9755c6d4b84b164e7,claim_tables,14,"{'canonical_claims': True, 'not_adjudication': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-040e49fe0bc99df8163b71bb,headline_numbers,9,"{'formula_reproduced': True, 'denominator': True}",True,fixed deterministic prefix or complete bounded universe
MATHQA-6298284e4292c52acb98c0cf,regression_readiness,1,"{'all_gates_checked': True, 'regression_not_run': True}",True,fixed deterministic prefix or complete bounded universe
