analytical_unit,channel_classification_basis,claim_ids,department,external_staffing_unit_id,field_name,hypothesis_class,municipality,normalized_value,observation_id,observation_type,period,raw_value,side,source_SHA_256,source_coordinate_input_sha256,staffing_hypothesis_type,terminal_match_status,unit
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,administration,EXTSTAFF-2e4ae5c484f7961d9cc5a250,hiring_freeze,supports_non_safety_reduction_channel,cog_2025_170601,6,EXTRECON-cbdcc133abcf8005596cd322,hiring_freeze_observation,2020,$6.0,non_safety,b5de4532bd471f766ccc05db8bf1127b619789e1ebed625b95f74cf2493230aa,c29952fe555079c0d8bb153b6639c1ac5d6a6d185a846970c12dae464db53757,hiring_freeze,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,administration,EXTSTAFF-0063198f3d362b749423d261,authorized_positions,supports_non_safety_reduction_channel,cog_2025_109723,302617,EXTRECON-97db0c41b51d9731f50e9d16,authorized_position_observation,2024,"302,617",non_safety,aea86c9a59593e1f71cbc2d10a392016d19d21ab37a5f1767cd29130427fe69f,e0ba9336be34c232b23e81dc09e52a7a5e0418e70c5fdca6a0229888bd724aee,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,library,EXTSTAFF-d43c0c4355e4091c762d4951,authorized_positions,supports_non_safety_reduction_channel,cog_2025_209858,142,EXTRECON-950ea4b729c229e17b757292,authorized_position_observation,2022,142,non_safety,cc3245ff403e31f918a52d486dfe6c93b11dfe6fd374b307bbefc3270799d025,99a2ecc9962bc60c6b293395697994882d61c2950da612841abc55574d49f34d,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,clerical,EXTSTAFF-cdc736438e3adc00c89821a1,authorized_positions,supports_non_safety_reduction_channel,cog_2025_209858,Clerk of Courts & Court,EXTRECON-588fd5f54558b642d9987ef4,authorized_position_observation,2023,Clerk of Courts & Court,non_safety,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,e4d1868b7561a631ceefeb7fb0841e71d072ca5bba92141782912d954b65c9d4,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,library,EXTSTAFF-2fac5f6391401874f0729dbe,layoffs,supports_non_safety_reduction_channel,cog_2025_207659,5000,EXTRECON-9dba7945a45396a78a844fb5,layoff_observation,2014,"5,000",non_safety,47696ec670f110ca667c84671f8a54e816150b4c1b247ac9930a3bb7ee0585e6,26bc0d84b861cbd1b41f99ff185dd8ceba75bb98357cb499105ec3ae7d47161f,layoff,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,administration,EXTSTAFF-65eadad3dc0450b3f0d97315,authorized_positions,supports_non_safety_reduction_channel,cog_2025_209106,160.03,EXTRECON-acc06d9b89f66ad6f2006de0,authorized_position_observation,2020,160.03,non_safety,7715ba706589d84b25b6e21365eed3701c5136c524e72426ad2cd7f48a0b7bb1,8d26b256de416c3dfbf31a687bc3a620acb95f74510aecda2bf45014f4af2123,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,administration,EXTSTAFF-2fb8096322006cba550055a9,hiring_freeze,supports_non_safety_reduction_channel,cog_2025_109723,2,EXTRECON-5dd7d99a491447164da43a4e,hiring_freeze_observation,2024,2,non_safety,aea86c9a59593e1f71cbc2d10a392016d19d21ab37a5f1767cd29130427fe69f,2e4117333306ec2c0aa144f28ba8b9e6a4a6b8c7b5cddc4a3a4b183149078d23,hiring_freeze,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,library,EXTSTAFF-37e7a3fcca009dd1d2476351,authorized_positions,supports_non_safety_reduction_channel,cog_2025_209858,144,EXTRECON-04ffb251f9b23f5c8f8f060e,authorized_position_observation,2022,144,non_safety,cc3245ff403e31f918a52d486dfe6c93b11dfe6fd374b307bbefc3270799d025,f851b7eedb14710153a616500fb2f4f15d6f69cafeded66d600815a7f165b68f,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,administration,EXTSTAFF-302eee6518e55d8e59a710f9,authorized_positions,supports_non_safety_reduction_channel,cog_2025_110950,160.05,EXTRECON-14616b785402446cb857fbe4,authorized_position_observation,2024,160.05,non_safety,9b542fdd3f950bc9e480b240ae30a7ceb646db9cded42618740187d9990bb88f,d8c928ebf27bf844fe234e84e406fcf61f8b3ce38ca6f552ac46e49cd54f3cf6,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,library,EXTSTAFF-12bd79e1f45efd04d7d08e8f,layoffs,supports_non_safety_reduction_channel,cog_2025_207659,5000,EXTRECON-5dfcbc606cb97f96ca5eaed3,layoff_observation,2014,"5,000",non_safety,47696ec670f110ca667c84671f8a54e816150b4c1b247ac9930a3bb7ee0585e6,b8991a27f7557b9d432f0d5176cccca91b54e263482de93247b285a5022ad3ad,layoff,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,administration,EXTSTAFF-4273219948eb4aa8a0c419e9,hiring_freeze,supports_non_safety_reduction_channel,cog_2025_109723,-1,EXTRECON-1a4ff1e6be95b449b32b8c7b,hiring_freeze_observation,2024,-1,non_safety,aea86c9a59593e1f71cbc2d10a392016d19d21ab37a5f1767cd29130427fe69f,08228928c3cb83905aff3c6030b247e998deb40bd504e44b70f03b8caac9bf3b,hiring_freeze,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,library,EXTSTAFF-786eef5ff0c94685d3cec2a2,authorized_positions,supports_non_safety_reduction_channel,cog_2025_209858,144,EXTRECON-125ce621ee3fdb78f9fa468d,authorized_position_observation,2022,144,non_safety,cc3245ff403e31f918a52d486dfe6c93b11dfe6fd374b307bbefc3270799d025,7758fbbd3130b4b391845e26c301ae7dbf3c6228ae7f36386026a37cbdd0b41a,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,administration,EXTSTAFF-e5a122881261657e056f6239,authorized_positions,supports_non_safety_reduction_channel,cog_2025_110950,160.05,EXTRECON-b916a147ad4f5f059cf5d973,authorized_position_observation,2024,160.05,non_safety,9b542fdd3f950bc9e480b240ae30a7ceb646db9cded42618740187d9990bb88f,9a7391a6096063d5c09ae40c57dd7ba46a79cfe9442f1167fb1327ed329d0cab,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,administration,EXTSTAFF-7ff5abec9da485d869941a92,hiring_freeze,supports_non_safety_reduction_channel,cog_2025_170756,2024,EXTRECON-5d5a6b95bc8adbc27c289c5a,hiring_freeze_observation,2026,2024,non_safety,8dd18ef29712481c5c8f97f93c75c89f1b39bb32d67f6dfb079cd4878bf74ee2,6ad0509275e70bb8d2786eca0f88eb90263cbb1b4ef10cf7d65e2364fb09a2be,hiring_freeze,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,administration,EXTSTAFF-82599115b2b54cdb70f6f388,authorized_positions,supports_non_safety_reduction_channel,cog_2025_109723,306291,EXTRECON-7790fa48cae3214eb5c0ed32,authorized_position_observation,2024,"306,291,",non_safety,aea86c9a59593e1f71cbc2d10a392016d19d21ab37a5f1767cd29130427fe69f,3c02e5373cfb2f0b060cafbde50633218f5c34a0cec225aa6686aed6dc7215b9,authorized_position_reduction,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,administration,EXTSTAFF-b0e99e6cca6f59978a976599,hiring_freeze,supports_non_safety_reduction_channel,cog_2025_109723,2024,EXTRECON-01a98cb9a0e505079c4ffc40,hiring_freeze_observation,2024,"2024,",non_safety,aea86c9a59593e1f71cbc2d10a392016d19d21ab37a5f1767cd29130427fe69f,ecbc4999e7cbf42e8f60f8c34d13362583a3e0eed9acefb499386c8712d29968,hiring_freeze,matched_staffing_ready,
