adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,claim_linkage_status_after,compensation_basis_after,conflict_flags,conflict_reconciliation_status,department_after,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,municipality_after,pay_basis_after,period_after,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,reconciled_external_observation_id,side_after,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,mathematical_result,formula,numerator,denominator,supporting_or_countervailing_role,semantic_question_to_resolve,recommended_review_method,final_adjudication
False,,EXTINGEST-1170935521a2b101b16e7fc9,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-ba1a6ee8111315b198d87e6d,MECH-04,cog_2025_225869,unclear,2024,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-87ce54134c83167d862142af,unclear,ced5e7a83c6de56413c18ce210755ebef86c7111a18e2c2d1005577d474a6c82,21548,21547,7,18,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-fad7f16f37d01114f1ad030b,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-fe5a90324e340152b1b6fe04,MECH-04,cog_2025_173237,unclear,2022,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-5dcbdd1a70e228c664a46239,unclear,1a273cf4b11b3e444fbacf0d360edaae89bcbb499f75142f752b0d53e089ac52,28715,28714,2,29,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-cb5767b7112db738b8439182,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-244a06c157379fb0c30e572d,,cog_2025_166553,unclear,2024,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-ab398576a3df7a7f9d4afd12,unclear,92837f318471312305014fd54e19d87c163fc35565c097b65da6edbfe69b5709,46921,46916,"1,300",24,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-8d2a8282a01ae2a7e79fafc9,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-9c97c42da4f14957717560c5,,cog_2025_170800,unclear,2025,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-0329d8674ce2eec3c5af25bf,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,146564676,146564675,8,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-35147161a08f531f482b76ef,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-b5b2e0d4ec036a11fddfc3ac,,cog_2025_131425,unclear,2020,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-b63ad9128c0adf9b2cb1fa23,unclear,020bbf33667b772062edfef533e98320542fef680ff36677c3a0075e2e6d40ee,,,NS,,1095,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-aafcfd451ee6e7980f96bf4b,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-27043c321ebe1273faaddd10,MECH-04,cog_2025_106343,unclear,undated,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-78015ac6728e49c8e229ec60,unclear,4498598a9df38a300ebb9e6f293020c89aa111b963865b6075212b8106b2a070,70457,70456,2,32,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-aecfa88b6b90ce836a3678d0,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-c570f482c2f0bda2a1d1000e,,cog_2025_106593,unclear,2015,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-7cab7c7222b8c1d467e1e1c0,unclear,d96e99337b04ac44be7a7be1eca59dd60194e7a3ab9665280532bbe64b1e5b14,117020,117003,Home Dean Review,33,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-569b7f9b9b97e4742958f162,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-8d687fba971e17a289850100,MECH-04,cog_2025_173662,unclear,2017,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-e23d8c9483579c83667fb439,unclear,a15a36e82e362d2dd61aa88599c9aa20b6735f83bf5bfc7bd5af1e75d46b26c1,296748,296741,6179530,143,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-5af041964906ef31e1f5f39f,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-e3597c4465e7eed1c9071d90,,cog_2025_177095,unclear,undated-source-CBSRD-20260728-c167f2a61f4166190396,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-52ee373f7cb7ea56ffc03b60,unclear,fd51dee035a91def5af3f416e652143be817974bdf301895dc418dee11a899ab,147236,147234,11,80,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-347b40f38caee2dc361d76ce,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-b48c6694d3e815d2832c4c87,,cog_2025_193555,unclear,2026,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-6b067e8a8b6aaf01f91ffd8b,unclear,8f3d24b11d3a3e6e03d7b6f0a13f79f069817a627ad681fc0299c9152686b405,172345,172341,2028,93,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-9ca02438d56e43c8912bc697,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-404184f46a9987ff83854498,MECH-04,cog_2025_166854,unclear,2026,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-d21a1558fc58927ab969a627,unclear,cc11c23321a100de7effe479586c94014cac304a4712676594b63b8513be0dfb,1870569,1870568,9,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-35f54f47daf5d44c3fdbda94,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-f8df1808a5047be223ba9d87,,cog_2025_166854,unclear,2026,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-40edb78511abf0ff03dce28d,unclear,cc11c23321a100de7effe479586c94014cac304a4712676594b63b8513be0dfb,,,09,,4,html_table_1618,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-e1fcc4610b521c4ac2291686,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-b56d90ab68c277cbd8eaafb6,,cog_2025_201617,unclear,2024,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-25bf344d3cbb1fca88a6981c,unclear,bcb7480f0ae19d1f4ed5dfedf83b946a363ddcdc31dea699b33020765eb4613d,,,13,,2,html_table_2,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-422c01b514377a3cf61e0781,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-1e0a95180191edf3878d288a,,cog_2025_170801,unclear,undated,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-ab6d5a4a187e7efe2acb1b31,unclear,c0c9cda80f661cf2dd1828c83c5a6522aebea9fbbbe8bc3da499a33d006e4e8e,,,38,,1316,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-5f94b5f13cc6635d851fbe48,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-a9420931b60e5434b267012f,,cog_2025_201900,unclear,2022,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-abb15775398dbe322cccef94,unclear,4dc6f05f409f7dff572851991e1b0850092a1f1b22a0ee81bee090469ae84cf0,,,220,,222,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-8031cdd1964bcf7b5712bc5d,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-a28cecc29fc86c7e85501126,MECH-04,cog_2025_225869,unclear,2024,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-23846f101cecdea747657127,unclear,ced5e7a83c6de56413c18ce210755ebef86c7111a18e2c2d1005577d474a6c82,15307,15306,2,11,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-6d08ea749d966de35bb65cd1,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-4983be8b24f91b85235b171e,MECH-04,cog_2025_225670,unclear,2018,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-46561ab29bc682a132c18e5b,unclear,7d84551b2266c856511a1b75aca7c8ef2a9dce7ac286cd93587e29b45006e3e4,64185,64184,2,22,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-96ec06be2d7366ca3f1532d6,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-57a1df17600a414dba4808d3,MECH-04,cog_2025_163524,unclear,2020,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-c504ae24076b9964bcb7a2d2,unclear,247c23890b359cd02185ff66fc1cd21d1d236ae5ee7271f2f3f44050ee0eec26,189175,189141,"daughter, brother, half -brother,",171,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-56f3967cfcee942f0faea12e,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-da33f64e7aca9efdb1a4343e,,cog_2025_171263,unclear,2021,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-98b5865e1fd9c65c66e24a29,unclear,73dd0833f4fe57229ea631d72a54b806eb220040120099801deb3eb9d1894c3d,1443186,1443185,8,370,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-89d7dd2ed1e7bc493c38d14e,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-60b1f24ebac7798e195ddc13,MECH-04,cog_2025_173275,unclear,2019,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-e7729b4deb1e0821c9dae8bf,unclear,e2abbc5fa78daf261427bc257386bd254e7b825d14c2e6706eb66ff6f1e00475,24744,24740,11.2,11,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-da0508efa05104d257bffadf,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-a7f4080e92e221c66a7d0859,,cog_2025_170800,unclear,2025,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-577bde08615e31e81e5c9420,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,147262834,147262832,"8,",,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-cf07f1bdb1658cbd43a18cc6,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-af2bbb5dfded801243927855,,cog_2025_189922,unclear,2023,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-827ee379804ac9ddd3874219,unclear,ff5bc69723831fb5a56a5391ee03d24e1dcf42a6035e3c800cb22b339f46a6c0,,,05,,16,html_table_3,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-dbf029b412aab23fff74553e,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-7a0cdff0d09546412fbb6c67,MECH-04,cog_2025_209824,unclear,2024,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-5d3c2c58888fe6ad0de8de9f,unclear,9de1b111e9fa15356c73a5e35abe877ad8657a4decc9b4f41b281fdef3028b92,280339,280338,9,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-95a6e377a4bda74ebd8b5926,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-35d3dfacfb06294d17ba2ebe,MECH-04,cog_2025_209824,unclear,2024,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-a35839bceafce6c291df3422,unclear,9de1b111e9fa15356c73a5e35abe877ad8657a4decc9b4f41b281fdef3028b92,455106,455104,10,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-e2203a6c732f56f6bc47049b,exact_claim_id_link,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-e4f61fdeabc594f4a0b05629,MECH-04,cog_2025_209824,unclear,2024,growth_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-8f33e296b13586e64f8e1961,unclear,9de1b111e9fa15356c73a5e35abe877ad8657a4decc9b4f41b281fdef3028b92,1278210,1278209,9,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-dcc3a8f533d29ced7e523e81,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-a55a1ac5a87a6e4932eb5c68,,cog_2025_209824,unclear,2024,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-86b754f4a8b0111289c25331,unclear,9de1b111e9fa15356c73a5e35abe877ad8657a4decc9b4f41b281fdef3028b92,,,10,,5,html_table_1270,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-4f0a2d014d3ec08b801676c3,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-73f6075b1b2584620382cc4f,,cog_2025_212005,unclear,2023,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-0e9e9c149d29fd4a916ecb59,unclear,e49fe879c9b99ab72c762be975203a954512c10837c0beb04664a509eb72317b,,,11B,,11,html_table_89,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-f4fbc5741a647c71e72991f7,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-8e3c9f5957b31f7b7c1f247a,,cog_2025_167627,unclear,2019,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-6885e0c4991a99626a358e4f,unclear,b91020106475db348e4c1a364c914bb3b803b4d9793442102fad23543b350eff,2957105,2957101,2028,1783,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-4e0c52d3ccb2c8c21f57d97a,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-72eca0d5cd50cf2ec9859c1b,,cog_2025_170530,unclear,undated-source-B4X2500LIVE-20260729-006401,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-933824db9c5e352b355d1940,unclear,40b493bb91fe39c3445fe1a7263517c53b1fa29d836a7e62a21332ea3335c4b7,,,18,,221,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
