mechanism,unique_sources,analytical_unit
across_the_board_raise,2526,unique source
bargaining_leverage,123,unique source
base_wage_change,723,unique source
benefit_cost_change,485,unique source
budget_appropriation,515,unique source
budget_pay_plan_process,3738,unique source
classification_band_change,311,unique source
classification_civil_service,6,unique source
cola_cpi_adjustment,450,unique source
collective_bargaining,123,unique source
comparability_parity,35,unique source
contract_ratification,66,unique source
fiscal_constraint,3657,unique source
holiday_pay,199,unique source
inflation_indexing,77,unique source
interest_arbitration,4,unique source
longevity,181,unique source
lump_sum,150,unique source
market_recruitment_retention,266,unique source
no_direct_compensation_outcome,3464,unique source
non_base_compensation_other,1701,unique source
none_identified,10609,unique source
one_time,1701,unique source
ordinance_adoption,1523,unique source
ordinance_council_adoption,1751,unique source
overtime,327,unique source
payroll_effective_date,10320,unique source
recurring,4252,unique source
reimbursement,35,unique source
retroactive,8084,unique source
retroactive_pay,8084,unique source
salary_range_change,57,unique source
settlement_or_mou,352,unique source
step_progression,745,unique source
stipend_or_premium,336,unique source
unclear,1108,unique source
uniform_or_equipment_allowance,326,unique source
vacancy_pressure,92,unique source
