normalization_id,normalization_prep_id,span_rating_id,source_rating_id,span_id,retained_source_id,candidate_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,evidence_category,evidence_family,claim_readiness_bucket,downstream_use_bucket,raw_span_snippet,raw_bounded_context_snippet,raw_value_tokens,raw_percent_tokens,raw_period_tokens,normalized_value,normalized_value_candidates,normalized_value_min,normalized_value_max,normalized_value_type,normalized_pay_basis,normalized_period_start,normalized_period_end,normalized_period_label,normalized_period_status,normalized_role_unit,normalized_side_label,compensation_type,normalization_status,normalization_confidence,normalization_caveats,normalization_repair_codes,reconciliation_confidence,reconciliation_reason_codes,source_title,page_location_pointer,source_locator_lineage,bounded_snippet_reference,hourly_annual_conversion_performed,imputed_hours_weeks_fte
BRMQNORM-20260803-0001d204e3083ffa11178fb4,BRMNORMPREP-20260803-45bd491a4a1ddbb6d6c4c143,BRMGRT-20260802-b31625237d2fa0c3ff17c7fd,BRMGRS-20260802-78d2f69dd30ad008112ec369,BRMSPAN-20260802-ce70e0a3580e61811ad52fdc,RMSRD-20260802-6968531e274a148f7d4e,BRM5C-BRM5-20260731-05046-02,Baxter,MN,Midwest,pdf,cba,cba_arbitration_factfinding_hint,quant_allowance_or_reimbursement,quantitative_compensation,quantitative_direct_text_claim_ready,supporting_example_candidate," The allowance is subject to a maximum carryover of four hundred dollars
",,[],[],[],,[],,,,allowance,,,,missing_period_anchor,police_role,police_direct,allowance_reimbursement,needs_value_review,low,"[""no_explicit_normalizable_value_token"",""period_anchor_missing_or_unresolved""]",[],high,"[""source_title_anchor:police_direct""]","Labor Agreement (Law Enforcement Labor Services, Inc.) — Sergeants",34229,"{""candidate_id"": ""BRM5C-BRM5-20260731-05046-02"", ""final"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""original"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-05046""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-ce70e0a3580e61811ad52fdc,false,false
BRMQNORM-20260803-0019c67d5a7b6139d3b33aa0,BRMNORMPREP-20260803-3a5023948c0651d3b9b317ca,BRMGRT-20260802-a743d4eab5b17f97eac5d69f,BRMGRS-20260802-ef879571d918de03f34ec858,BRMSPAN-20260802-58369102a101f7de8016c673,RMSRD-20260802-999c251b159fdc540ca9,BRM5C-BRM5-20260731-18678-01,Seagraves,TX,South,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,qual_non_base_compensation_mechanism,qualitative_mechanism,quantitative_direct_text_claim_ready,local_context_candidate,"10-41-481 LONGEVITY PAY 0 635 765 800 885 918 975 975
",,[],[],"[""2025-2026""]",,[],,,,budget_amount,2025,2026,2025–2026,explicit_or_bounded_repair,unclear_role,remains_unclear,other,side_unclear_defer,low,"[""no_explicit_normalizable_value_token"",""role_unit_anchor_unresolved_or_not_applicable"",""final_side_label_remains_unclear""]",[],low,"[""no_strong_or_multiple_moderate_side_anchor""]",City of Seagraves 2025-2026 Adopted Budget (approved-budget-2025-2026.pdf),4873,"{""candidate_id"": ""BRM5C-BRM5-20260731-18678-01"", ""final"": ""https://seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""original"": ""https://www.seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-18678""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-58369102a101f7de8016c673,false,false
BRMQNORM-20260803-002774e291c25766cf48352d,BRMNORMPREP-20260803-498f452216e3cceef11388fd,BRMGRT-20260802-fbc4f8324e8c89919b40a141,BRMGRS-20260802-be6553c21ebf64d1e3e02da7,BRMSPAN-20260802-e242328c1e24cfdd80d6342f,RMSRD-20260802-4e559d8cae04664c6267,BRM5C-BRM5-20260731-14370-02,Brighton,PA,Northeast,pdf,agenda_packet_or_minutes,cba_arbitration_factfinding_hint,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,2023 with a base rate of $12.07 per month.,,"[""$12.07 per month""]",[],"[""2023"",""November 13, 2023""]",12.07,[12.07],,,currency_amount,monthly,2023,2023,2023,explicit_or_bounded_repair,mixed_role,mixed_direct,base_wage,normalized_ready,high,[],[],high,"[""source_title_anchor:mixed_direct""]","Board of Supervisors Minutes — November 13, 2023 (Police Contract Approval + Public Works Extension; date range references)",9875,"{""candidate_id"": ""BRM5C-BRM5-20260731-14370-02"", ""final"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""original"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""scout_target_id"": ""BRM5-20260731-14370""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e242328c1e24cfdd80d6342f,false,false
BRMQNORM-20260803-00396f477d2d99f08596e07d,BRMNORMPREP-20260803-3ef0656a773cb336e487e21a,BRMGRT-20260802-937b302d8c27f205809aff41,BRMGRS-20260802-6dcc69409efab3cb81eb90ce,BRMSPAN-20260802-534b0a50f8aeb6632e8f4aff,RMSRD-20260802-6a86ca4e4bfcc6ccf3be,BRM5C-BRM5-20260731-17930-02,Fort Ann,NY,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,quant_allowance_or_reimbursement,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,"“Resolution Establishing Mileage Allowance.”
",,[],[],[],,[],,,,allowance,,,,missing_period_anchor,not_applicable,write_off,allowance_reimbursement,write_off_exclude,low,"[""no_explicit_normalizable_value_token"",""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""final_side_label_write_off""]",[],low,"[""not_useful_for_side_sensitive_downstream_work""]",MINUTES OF THE REGULAR TOWN BOARD & ORGANIZATIONAL MEETING OF THE TOWN OF FORT ANN (1.13.25),15496,"{""candidate_id"": ""BRM5C-BRM5-20260731-17930-02"", ""final"": ""https://townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""original"": ""https://www.townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-17930""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-534b0a50f8aeb6632e8f4aff,false,false
BRMQNORM-20260803-004400e5f13287d7c9b8a2e3,BRMNORMPREP-20260803-291ab3d6f5575fe631e37853,BRMGRT-20260802-23c4cff3666800a46b6a5be8,BRMGRS-20260802-ff8389d02ceb944afa7ef980,BRMSPAN-20260802-996c6f3bcf19808945ad97cb,RMSRD-20260802-f077b9c5d64966acc1ff,BRM5C-BRM5-20260731-03092-01,St. Johnsville,NY,Northeast,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,qual_non_base_compensation_mechanism,qualitative_mechanism,quantitative_direct_text_claim_ready,supporting_example_candidate,"Overtime - Storm Sewer 6,000.00
",,[],[],"[""2022-2023""]",,[],,,,budget_amount,2022,2023,2022–2023,explicit_or_bounded_repair,non_safety_role,non_safety_direct,other,needs_value_review,low,"[""no_explicit_normalizable_value_token""]",[],high,"[""primary_anchor:non_safety_direct"", ""broad_title_conflict_resolved_by_local_anchor""]",Village of St Johnsville 2022-2023 Budget (Web Copy) — Police Dept line items (no explicit wage schedule),4930,"{""candidate_id"": ""BRM5C-BRM5-20260731-03092-01"", ""final"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf"", ""original"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf?dl=1"", ""scout_target_id"": ""BRM5-20260731-03092""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-996c6f3bcf19808945ad97cb,false,false
BRMQNORM-20260803-00483a69cc1c55342a75e42a,BRMNORMPREP-20260803-2ccebc74e1f72fd116199b40,BRMGRT-20260802-91f6b5ba425708f45c7510e2,BRMGRS-20260802-9ff2f3f793b005efc134d523,BRMSPAN-20260802-cb1d250504c44d2a5176fba6,RMSRD-20260802-ac17c9a31f82372a79fa,BRM5C-BRM5-20260731-02772-03,Marshfield,WI,Midwest,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,quant_budget_or_pay_plan_amount,quantitative_compensation,quantitative_direct_text_claim_ready,local_context_candidate,"Effective 7/1/2025 - 6/30/2026
",,[],[],"[""2025"",""2025-2026"",""2026""]",,[],,,,unknown_or_mixed,2025,2026,2025–2026,explicit_or_bounded_repair,unclear_role,remains_unclear,budget_or_pay_plan,side_unclear_defer,low,"[""no_explicit_normalizable_value_token"",""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""final_side_label_remains_unclear""]",[],low,"[""no_strong_or_multiple_moderate_side_anchor""]",City of Marshfield 2025-2026 Compensation Plan,2843,"{""candidate_id"": ""BRM5C-BRM5-20260731-02772-03"", ""final"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""original"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""scout_target_id"": ""BRM5-20260731-02772""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-cb1d250504c44d2a5176fba6,false,false
BRMQNORM-20260803-004c72492f5829efbcca89c7,BRMNORMPREP-20260803-c6997f9e1a3d677f999c4e55,BRMGRT-20260802-d625254075ebc6208771614e,BRMGRS-20260802-dff9029a573de1c9f2bae425,BRMSPAN-20260802-183f125f9fe79e5a297df10d,RMSRD-20260802-d9d7d216f4c2287bd7a1,BRM5C-BRM5-20260731-05453-01,Augusta,MO,Midwest,html,civil_service_or_hr_pay_plan,non_cba_or_unresolved_hint,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,"Approved an Ordinance to pay the Zoning Commissioner an hourly rate of $28.80/hr for the Zoning Commission work performed.
",,"[""$28.80/hr""]",[],"[""April 4, 2022""]",28.8,[28.8],,,currency_amount,hourly,2022,2022,2022,explicit_or_bounded_repair,non_safety_role,non_safety_direct,base_wage,normalized_ready,high,"[""no_cross_basis_conversion_performed""]",[],high,"[""primary_anchor:non_safety_direct""]","April 4, 2022 Meeting Minutes Highlights (Approved an Ordinance to pay the Zoning Commissioner $28.80/hr)",286,"{""candidate_id"": ""BRM5C-BRM5-20260731-05453-01"", ""final"": ""https://townofaugustamo.org/april-4-2022-meeting-minutes-highlights"", ""original"": ""https://www.townofaugustamo.org/april-4-2022-meeting-minutes-highlights/"", ""scout_target_id"": ""BRM5-20260731-05453""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-183f125f9fe79e5a297df10d,false,false
BRMQNORM-20260803-0076a52fdca6d2e21f407c00,BRMNORMPREP-20260803-9b13edb69fec51cf37405397,BRMGRT-20260802-9409047c1776858136884312,BRMGRS-20260802-fbfa3c953cfb7321b51bf0b5,BRMSPAN-20260802-ed7cbe53580850b9048c398c,RMSRD-20260802-41db74aedac354c14799,BRM5C-BRM5-20260731-10217-01,Hillsboro,WI,Midwest,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,quant_budget_or_pay_plan_amount,quantitative_compensation,quantitative_direct_text_claim_ready,supporting_example_candidate,"15.1.15 Other Inspection Services $85 per hour
",,"[""$85 per hour""]",[],"[""2025""]",85.0,[85.0],,,currency_amount,budget_amount,2025,2025,2025,explicit_or_bounded_repair,police_role,police_direct,budget_or_pay_plan,normalized_budget_context_only,moderate,[],[],high,"[""source_title_anchor:police_direct""]",City of Hillsboro 2025 Adopted Budget (Police wages line items),42783,"{""candidate_id"": ""BRM5C-BRM5-20260731-10217-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-10217""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-ed7cbe53580850b9048c398c,false,false
BRMQNORM-20260803-0078e04f670b46fc3a9f7e7b,BRMNORMPREP-20260803-093414480fc6d3fcf6d80eb1,BRMGRT-20260802-2703eb84ff3d087302d0937d,BRMGRS-20260802-a6d379dbd249b0a23dd60924,BRMSPAN-20260802-19f67a09373e692aed6c2455,RMSRD-20260802-86b41b494021966c9f98,BRM5C-BRM5-20260731-02963-02,DeRuyter,NY,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,quant_other_compensation_value,quantitative_compensation,quantitative_direct_text_claim_ready,supporting_example_candidate,"is hereby authorized to adopt a budget for the fiscal year 2022-2023 that requires a real property tax
",,[],[],"[""2022-2023"",""April 13, 2022""]",,[],,,,budget_amount,2022,2023,2022–2023,explicit_or_bounded_repair,unclear_role,remains_unclear,other,side_unclear_defer,low,"[""no_explicit_normalizable_value_token"",""role_unit_anchor_unresolved_or_not_applicable"",""final_side_label_remains_unclear""]",[],low,"[""no_strong_or_multiple_moderate_side_anchor""]","Village of DeRuyter minutes (Regular Meeting) — April 13, 2022",3331,"{""candidate_id"": ""BRM5C-BRM5-20260731-02963-02"", ""final"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""original"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""scout_target_id"": ""BRM5-20260731-02963""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-19f67a09373e692aed6c2455,false,false
BRMQNORM-20260803-007b180c9fb80b697e4b7b19,BRMNORMPREP-20260803-361db853b9b21c464f3a8523,BRMGRT-20260802-0a97c09cccc01fc90233b343,BRMGRS-20260802-3f1704d510c210a567554a1b,BRMSPAN-20260802-4569f10523e9f1d3031b2fe0,RMSRD-20260802-c5f1e6f4741e851b547c,BRM5C-BRM5-20260731-14924-01,Sabinal,TX,South,pdf,budget_or_pay_plan,non_cba_or_unresolved_hint,qual_non_base_compensation_mechanism,qualitative_mechanism,quantitative_direct_text_claim_ready,supporting_example_candidate,"151001 · STIPEND 1,200.00
",,[],[],[],,[],,,,budget_amount,,,,missing_period_anchor,police_role,police_direct,other,needs_value_review,low,"[""no_explicit_normalizable_value_token"",""period_anchor_missing_or_unresolved""]",[],high,"[""source_title_anchor:police_direct""]",CITY OF SABINAL 2024_2025 BUDGET.pdf (Profit & Loss Budget Overview; Police Department line-item salaries),1924,"{""candidate_id"": ""BRM5C-BRM5-20260731-14924-01"", ""final"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""original"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""scout_target_id"": ""BRM5-20260731-14924""}",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-4569f10523e9f1d3031b2fe0,false,false
