municipality,municipality_id,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Albert City,cog_2025_164308,IA,Midwest,Buena Vista County (19021; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Alburnett,cog_2025_164469,IA,Midwest,Linn County (19113; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Anthon,cog_2025_104495,IA,Midwest,Woodbury County (19193; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Belmond,cog_2025_184215,IA,Midwest,Wright County (19197; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Britt,cog_2025_164413,IA,Midwest,Hancock County (19081; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Brooklyn,cog_2025_126695,IA,Midwest,Poweshiek County (19157; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cambridge,cog_2025_164570,IA,Midwest,Story County (19169; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Center Point,cog_2025_193315,IA,Midwest,Linn County (19113; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Central City,cog_2025_126658,IA,Midwest,Linn County (19113; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Charter Oak,cog_2025_126598,IA,Midwest,Crawford County (19047; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
