scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X2500-20260729-07501,broad_4x2500_shard_004,1,IA,Midwest,Ackley,cog_2025_164416,false,true,salary_wage_schedule,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07502,broad_4x2500_shard_004,2,IA,Midwest,Adair,cog_2025_126556,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07503,broad_4x2500_shard_004,3,IA,Midwest,Agency,cog_2025_164586,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07504,broad_4x2500_shard_004,4,IA,Midwest,Alden,cog_2025_164417,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07505,broad_4x2500_shard_004,5,IA,Midwest,Allison,cog_2025_126575,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07506,broad_4x2500_shard_004,6,IA,Midwest,Ashton,cog_2025_208047,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07507,broad_4x2500_shard_004,7,IA,Midwest,Atkins,cog_2025_164289,false,true,local_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07508,broad_4x2500_shard_004,8,IA,Midwest,Aurelia,cog_2025_164335,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07509,broad_4x2500_shard_004,9,IA,Midwest,Bedford,cog_2025_208067,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07510,broad_4x2500_shard_004,10,IA,Midwest,Bellevue,cog_2025_208027,false,true,cba_agreement,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07511,broad_4x2500_shard_004,11,IA,Midwest,Blairstown,cog_2025_104337,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07512,broad_4x2500_shard_004,12,IA,Midwest,Blue Grass,cog_2025_126701,false,true,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07513,broad_4x2500_shard_004,13,IA,Midwest,Breda,cog_2025_164319,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07514,broad_4x2500_shard_004,14,IA,Midwest,Brighton,cog_2025_104485,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07515,broad_4x2500_shard_004,15,IA,Midwest,Buffalo,cog_2025_164555,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07516,broad_4x2500_shard_004,16,IA,Midwest,Calmar,cog_2025_204492,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07517,broad_4x2500_shard_004,17,IA,Midwest,Casey,cog_2025_185387,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07518,broad_4x2500_shard_004,18,IA,Midwest,Collins,cog_2025_126711,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07519,broad_4x2500_shard_004,19,IA,Midwest,Colo,cog_2025_211249,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07520,broad_4x2500_shard_004,20,IA,Midwest,Correctionville,cog_2025_208075,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07521,broad_4x2500_shard_004,21,IA,Midwest,Dallas Center,cog_2025_164360,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07522,broad_4x2500_shard_004,22,IA,Midwest,De Soto,cog_2025_104374,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07523,broad_4x2500_shard_004,23,IA,Midwest,Dike,cog_2025_185386,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07524,broad_4x2500_shard_004,24,IA,Midwest,Doon,cog_2025_185399,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07525,broad_4x2500_shard_004,25,IA,Midwest,Dunlap,cog_2025_201762,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07526,broad_4x2500_shard_004,26,IA,Midwest,Earlville,cog_2025_164370,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07527,broad_4x2500_shard_004,27,IA,Midwest,Early,cog_2025_138237,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07528,broad_4x2500_shard_004,28,IA,Midwest,Elk Run Heights,cog_2025_126564,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07529,broad_4x2500_shard_004,29,IA,Midwest,Elma,cog_2025_126636,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07530,broad_4x2500_shard_004,30,IA,Midwest,Everly,cog_2025_185382,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07531,broad_4x2500_shard_004,31,IA,Midwest,Farley,cog_2025_164384,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07532,broad_4x2500_shard_004,32,IA,Midwest,Fonda,cog_2025_211719,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07533,broad_4x2500_shard_004,33,IA,Midwest,Fruitland,cog_2025_138230,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07534,broad_4x2500_shard_004,34,IA,Midwest,Gladbrook,cog_2025_193323,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07535,broad_4x2500_shard_004,35,IA,Midwest,Gowrie,cog_2025_126726,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07536,broad_4x2500_shard_004,36,IA,Midwest,Granger,cog_2025_164362,false,true,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07537,broad_4x2500_shard_004,37,IA,Midwest,Hubbard,cog_2025_164418,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07538,broad_4x2500_shard_004,38,IA,Midwest,Jewell Junction,cog_2025_104394,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07539,broad_4x2500_shard_004,39,IA,Midwest,Kellogg,cog_2025_126645,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07540,broad_4x2500_shard_004,40,IA,Midwest,Keystone,cog_2025_164291,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07541,broad_4x2500_shard_004,41,IA,Midwest,La Porte City,cog_2025_104341,false,true,personnel_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07542,broad_4x2500_shard_004,42,IA,Midwest,Lake Park,cog_2025_126609,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07543,broad_4x2500_shard_004,43,IA,Midwest,Lake View,cog_2025_164552,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07544,broad_4x2500_shard_004,44,IA,Midwest,Lansing,cog_2025_104332,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07545,broad_4x2500_shard_004,45,IA,Midwest,Laurens,cog_2025_208054,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07546,broad_4x2500_shard_004,46,IA,Midwest,Lenox,cog_2025_193324,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07547,broad_4x2500_shard_004,47,IA,Midwest,Long Grove,cog_2025_126703,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07548,broad_4x2500_shard_004,48,IA,Midwest,Manly,cog_2025_164617,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07549,broad_4x2500_shard_004,49,IA,Midwest,Marengo,cog_2025_211250,false,true,salary_wage_schedule,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07550,broad_4x2500_shard_004,50,IA,Midwest,Marquette,cog_2025_104368,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07551,broad_4x2500_shard_004,51,IA,Midwest,Mechanicsville,cog_2025_126584,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07552,broad_4x2500_shard_004,52,IA,Midwest,Melbourne,cog_2025_164498,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07553,broad_4x2500_shard_004,53,IA,Midwest,Merrill,cog_2025_138234,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07554,broad_4x2500_shard_004,54,IA,Midwest,Monona,cog_2025_164346,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07555,broad_4x2500_shard_004,55,IA,Midwest,Monroe,cog_2025_164444,false,true,local_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07556,broad_4x2500_shard_004,56,IA,Midwest,Moravia,cog_2025_164284,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07557,broad_4x2500_shard_004,57,IA,Midwest,Morning Sun,cog_2025_164479,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07558,broad_4x2500_shard_004,58,IA,Midwest,Norway,cog_2025_164293,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07559,broad_4x2500_shard_004,59,IA,Midwest,Oakland,cog_2025_164542,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07560,broad_4x2500_shard_004,60,IA,Midwest,Oxford,cog_2025_164454,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07561,broad_4x2500_shard_004,61,IA,Midwest,Panora,cog_2025_164407,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07562,broad_4x2500_shard_004,62,IA,Midwest,Pleasantville,cog_2025_104435,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07563,broad_4x2500_shard_004,63,IA,Midwest,Pocahontas,cog_2025_164531,false,true,civil_service_hr_pay,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07564,broad_4x2500_shard_004,64,IA,Midwest,Prairie City,cog_2025_164446,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07565,broad_4x2500_shard_004,65,IA,Midwest,Quasqueton,cog_2025_138194,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07566,broad_4x2500_shard_004,66,IA,Midwest,Readlyn,cog_2025_138192,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07567,broad_4x2500_shard_004,67,IA,Midwest,Rolfe,cog_2025_185407,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07568,broad_4x2500_shard_004,68,IA,Midwest,Russell,cog_2025_164483,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07569,broad_4x2500_shard_004,69,IA,Midwest,Shell Rock,cog_2025_126576,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07570,broad_4x2500_shard_004,70,IA,Midwest,Sidney,cog_2025_204466,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07571,broad_4x2500_shard_004,71,IA,Midwest,Slater,cog_2025_126714,false,true,mou_settlement,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07572,broad_4x2500_shard_004,72,IA,Midwest,Solon,cog_2025_204472,false,true,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07573,broad_4x2500_shard_004,73,IA,Midwest,Stanton,cog_2025_185403,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07574,broad_4x2500_shard_004,74,IA,Midwest,Sutherland,cog_2025_104445,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07575,broad_4x2500_shard_004,75,IA,Midwest,Swisher,cog_2025_104415,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07576,broad_4x2500_shard_004,76,IA,Midwest,Underwood,cog_2025_164543,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07577,broad_4x2500_shard_004,77,IA,Midwest,Van Meter,cog_2025_208005,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07578,broad_4x2500_shard_004,78,IA,Midwest,Villisca,cog_2025_126679,false,true,agenda_minutes_attachment,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07579,broad_4x2500_shard_004,79,IA,Midwest,Walford,cog_2025_185373,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07580,broad_4x2500_shard_004,80,IA,Midwest,Walker,cog_2025_104429,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07581,broad_4x2500_shard_004,81,IA,Midwest,West Burlington,cog_2025_126608,false,true,broad_pay_document_index,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07582,broad_4x2500_shard_004,82,IA,Midwest,Whiting,cog_2025_193319,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-07583,broad_4x2500_shard_004,83,IA,Midwest,Whittemore,cog_2025_193314,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-07584,broad_4x2500_shard_004,84,IL,Midwest,Abingdon,cog_2025_162418,false,true,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07585,broad_4x2500_shard_004,85,IL,Midwest,Anna,cog_2025_207865,false,true,salary_wage_schedule,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07586,broad_4x2500_shard_004,86,IL,Midwest,Belvidere,cog_2025_125103,false,true,budget_pay_plan,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07587,broad_4x2500_shard_004,87,IL,Midwest,Breese,cog_2025_201617,false,true,civil_service_hr_pay,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07588,broad_4x2500_shard_004,88,IL,Midwest,Bremen,cog_2025_162817,false,true,compensation_classification_study,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07589,broad_4x2500_shard_004,89,IL,Midwest,Carbondale,cog_2025_183973,false,true,personnel_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07590,broad_4x2500_shard_004,90,IL,Midwest,Carlyle,cog_2025_207774,false,true,agenda_minutes_attachment,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07591,broad_4x2500_shard_004,91,IL,Midwest,Carrollton,cog_2025_162340,false,true,local_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-07592,broad_4x2500_shard_004,92,IL,Midwest,Carterville,cog_2025_162698,false,true,labor_relations_index,strong_broad_geographic_target,prepared_no_call,not_run
