scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X2500-20260729-02501,broad_4x2500_shard_002,1,IA,Midwest,Afton,cog_2025_208068,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02502,broad_4x2500_shard_002,2,IA,Midwest,Ainsworth,cog_2025_164592,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02503,broad_4x2500_shard_002,3,IA,Midwest,Alta,cog_2025_185376,false,true,salary_wage_schedule,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-02504,broad_4x2500_shard_002,4,IA,Midwest,Alton,cog_2025_104475,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02505,broad_4x2500_shard_002,5,IA,Midwest,Anita,cog_2025_164325,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02506,broad_4x2500_shard_002,6,IA,Midwest,Arcadia,cog_2025_212008,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02507,broad_4x2500_shard_002,7,IA,Midwest,Armstrong,cog_2025_164390,false,true,personnel_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02508,broad_4x2500_shard_002,8,IA,Midwest,Audubon,cog_2025_164287,false,true,agenda_minutes_attachment,strong_broad_geographic_target,prepared_no_call,not_run
B4X2500-20260729-02509,broad_4x2500_shard_002,9,IA,Midwest,Avoca,cog_2025_164539,false,true,local_pay_policy,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02510,broad_4x2500_shard_002,10,IA,Midwest,Battle Creek,cog_2025_164434,false,true,labor_relations_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02511,broad_4x2500_shard_002,11,IA,Midwest,Baxter,cog_2025_164442,false,true,broad_pay_document_index,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02512,broad_4x2500_shard_002,12,IA,Midwest,Boyden,cog_2025_126708,false,true,cba_agreement,acceptable_broad_target,prepared_no_call,not_run
B4X2500-20260729-02513,broad_4x2500_shard_002,13,IA,Midwest,Clarence,cog_2025_164328,false,true,mou_settlement,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02514,broad_4x2500_shard_002,14,IA,Midwest,Clermont,cog_2025_164391,false,true,arbitration_factfinding,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02515,broad_4x2500_shard_002,15,IA,Midwest,Conrad,cog_2025_126623,false,true,salary_wage_schedule,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02516,broad_4x2500_shard_002,16,IA,Midwest,Corydon,cog_2025_138247,false,true,budget_pay_plan,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02517,broad_4x2500_shard_002,17,IA,Midwest,Danville,cog_2025_190194,false,true,civil_service_hr_pay,strong_source_family_diversification_target,prepared_no_call,not_run
B4X2500-20260729-02518,broad_4x2500_shard_002,18,IA,Midwest,Dayton,cog_2025_164600,false,true,compensation_classification_study,strong_source_family_diversification_target,prepared_no_call,not_run
