state,region,planned_target_count,planned_unique_municipality_count,actual_coverage_added_during_prep,state_quota
AK,West,39,39,0,39
AL,South,334,334,0,334
AR,South,334,334,0,334
CA,West,82,82,0,82
CO,West,154,154,0,154
CT,Northeast,58,58,0,58
FL,South,169,169,0,169
GA,South,334,334,0,334
IA,Midwest,334,334,0,334
ID,West,83,83,0,83
IL,Midwest,333,333,0,333
IN,Midwest,334,334,0,334
KS,Midwest,333,333,0,333
KY,South,298,298,0,298
LA,South,184,184,0,184
MA,Northeast,193,193,0,193
MD,South,22,22,0,22
ME,Northeast,334,334,0,334
MI,Midwest,334,334,0,334
MN,Midwest,333,333,0,333
MO,Midwest,334,334,0,334
MS,South,168,168,0,168
MT,West,9,9,0,9
NC,South,334,334,0,334
ND,Midwest,334,334,0,334
NE,Midwest,334,334,0,334
NH,Northeast,124,124,0,124
NJ,Northeast,334,334,0,334
NY,Northeast,334,334,0,334
OH,Midwest,333,333,0,333
OK,South,334,334,0,334
OR,West,74,74,0,74
PA,Northeast,333,333,0,333
SC,South,166,166,0,166
SD,Midwest,334,334,0,334
TN,South,222,222,0,222
TX,South,334,334,0,334
UT,West,119,119,0,119
VA,South,106,106,0,106
VT,Northeast,171,171,0,171
WA,West,94,94,0,94
WI,Midwest,334,334,0,334
WV,South,122,122,0,122
