candidate_id,lane_id,scout_target_id,municipality,state,prior_seen_status,duplicate_risk,review_duplicate_status,candidate_quality_label,verification_priority_tier,verification_status,review_note
TS4L-911385c4c24131d1a5a7,lane_1,TS4-1-fe8a77939646e0a2,Newton,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-71b92bc7f02ad61e6d56,lane_1,TS4-1-fe8a77939646e0a2,Newton,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-1d4b842141e9480b0583,lane_1,TS4-1-fe8a77939646e0a2,Newton,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-ba4dab1aa48555dc1db3,lane_1,TS4-1-3b25eeabdfa9d810,Somerville,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-df753f275aa8b54c379b,lane_1,TS4-1-3b25eeabdfa9d810,Somerville,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_low,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-9a09c3613e16d8a97593,lane_1,TS4-1-3b25eeabdfa9d810,Somerville,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-3152ebe74c568550d0c8,lane_1,TS4-1-c563fe0ca6e8ab82,Somerville,MA,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-14b7a45e94724ad1cbbe,lane_1,TS4-1-1ac8622167c0e80e,Newark,NJ,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-2dcf944afaa4646f6baf,lane_1,TS4-1-1ac8622167c0e80e,Newark,NJ,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-ba04919bcc1709e1857c,lane_1,TS4-1-1ac8622167c0e80e,Newark,NJ,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-9e63c8dff2db502fdaa2,lane_1,TS4-1-1a0035ea9b2cc4a7,San Antonio,TX,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-5587b097856e8158dc6e,lane_1,TS4-1-1a0035ea9b2cc4a7,San Antonio,TX,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_low,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-f4ca5121fd93fb12da5e,lane_1,TS4-1-1a0035ea9b2cc4a7,San Antonio,TX,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_low,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-487835422fd293368ee9,lane_1,TS4-1-b48bd2c683c5d44c,Cleveland,OH,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-9b6a7230733050ceab01,lane_1,TS4-1-b48bd2c683c5d44c,Cleveland,OH,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-158ee1a30b41fa23bc83,lane_1,TS4-1-b48bd2c683c5d44c,Cleveland,OH,known_safety_row_counterpart_target_not_satisfied,low,canonical_locator_unique,verification_ready_low,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-51a19ede1789135b7d94,lane_1,TS4-1-ac5a5e4ec364e4e2,Denver,CO,municipality_seen_safety_lead_target_unit_not_seen,low,canonical_locator_unique,verification_ready_low,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-c1d2a3962f1d7be50dea,lane_1,TS4-1-ac5a5e4ec364e4e2,Denver,CO,municipality_seen_safety_lead_target_unit_not_seen,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-38a6926da6477f578153,lane_1,TS4-1-ac5a5e4ec364e4e2,Denver,CO,municipality_seen_safety_lead_target_unit_not_seen,low,canonical_locator_unique,verification_ready_medium,tier_c,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-3b89ecc303583a8c916f,lane_1,TS4-1-f6f8ca5199539bb1,Oklahoma City,OK,municipality_seen_safety_lead_target_unit_not_seen,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
TS4L-846b53d0f1148d53cf7f,lane_1,TS4-1-f6f8ca5199539bb1,Oklahoma City,OK,municipality_seen_safety_lead_target_unit_not_seen,low,canonical_locator_unique,verification_ready_high,tier_a,not_verified,Metadata-only prior-seen review; no durable merge.
