duplicate_group_id,duplicate_basis,group_size,candidate_id,lane_id,scout_target_id,source_url_or_locator,source_title,review_status,retained_candidate_id,verification_status,notes
locator-2f96013de3ef,canonical_locator,2,TS4L-1b2240a02017eaeb157d,lane_3,TS4-3-fe977981a279a2f2,https://www.caryillinois.com/DocumentCenter/View/3102/SEIU-Cary-Agreement-2020-2024-PDF,"Transparency page (Cary, IL) pointing to labor agreements including SEIU and FOP",retained,TS4L-1b2240a02017eaeb157d,not_verified,Review-only canonicalization; no source was opened or verified.
locator-2f96013de3ef,canonical_locator,2,TS4L-cd9cc4f398570282d110,lane_3,TS4-3-fe977981a279a2f2,https://caryillinois.com/DocumentCenter/View/3102/SEIU-Cary-Agreement-2020-2024-PDF,"AGREEMENT — Village of Cary and Service Employees International Union Local 73 (SEIU) (Public Works) (May 1, 2020 – April 30, 2024)",excluded_review_duplicate,TS4L-1b2240a02017eaeb157d,not_verified,Review-only canonicalization; no source was opened or verified.
locator-0085c0acc4e6,canonical_locator,2,TS4L-32133fcbe01db1978b55,lane_2,TS4-2-4d2c04adb0a68a48,https://cumberlandri.gov/DocumentCenter/View/283/Emergency-Medical-Services-Contract---2024-to-2027-PDF,"Emergency Medical Services Contract — 2024 to 2027 (Town of Cumberland, RI)",retained,TS4L-32133fcbe01db1978b55,not_verified,Review-only canonicalization; no source was opened or verified.
locator-0085c0acc4e6,canonical_locator,2,TS4L-7f31cd34a6d366c1bee0,lane_2,TS4-2-4d2c04adb0a68a48,https://www.cumberlandri.gov/DocumentCenter/View/283/Emergency-Medical-Services-Contract---2024-to-2027-PDF,"Emergency Medical Services Contract — 2024 to 2027 (Town of Cumberland, RI) — (unit discovery via same official contract repository)",excluded_review_duplicate,TS4L-32133fcbe01db1978b55,not_verified,Review-only canonicalization; no source was opened or verified.
locator-4f3080a18f60,canonical_locator,2,TS4L-4af4e34b08852df87309,lane_3,TS4-3-96718484c2066ed1,https://yukonok.gov/DocumentCenter/View/436/Budget-Summary-for-Fiscal-Year-2022-to-2023-PDF?bidId=,"FY 22-23 Budget (Budget Summary for Fiscal Year 2022 to 2023) - City of Yukon, OK",retained,TS4L-4af4e34b08852df87309,not_verified,Review-only canonicalization; no source was opened or verified.
locator-4f3080a18f60,canonical_locator,2,TS4L-ad93f4f7338f68a8fa53,lane_3,TS4-3-96718484c2066ed1,https://www.yukonok.gov/DocumentCenter/View/436/Budget-Summary-for-Fiscal-Year-2022-to-2023-PDF?bidId=,"FY 22-23 Budget (Budget Summary for Fiscal Year 2022 to 2023) - City of Yukon, OK (DocumentCenter View landing)",excluded_review_duplicate,TS4L-4af4e34b08852df87309,not_verified,Review-only canonicalization; no source was opened or verified.
title-03488b2a7d38,same_city_normalized_title_possible_duplicate,3,TS4L-1cc2355fd0d54e6c1b3b,lane_1,TS4-1-61afe255b14e06c4,"https://www.uplandca.gov/human_resources/salary_schedules___agreements.php (entry: ""Non-Rep/Confidential Unit 6.21.26"" under Non-Represented/Confidential Unit -> Salary Schedules)",City of Upland — Salary Schedules / Agreements,manual_metadata_comparison_only,TS4L-d69669b1ee9c27c395d2,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-03488b2a7d38,same_city_normalized_title_possible_duplicate,3,TS4L-c0b4702f17cd44e8d768,lane_1,TS4-1-61afe255b14e06c4,"https://www.uplandca.gov/human_resources/salary_schedules___agreements.php (entry: ""Non-Rep/Confidential Unit 7.1.26"" under Non-Represented/Confidential Unit -> Salary Schedules)",City of Upland — Salary Schedules / Agreements,manual_metadata_comparison_only,TS4L-d69669b1ee9c27c395d2,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-03488b2a7d38,same_city_normalized_title_possible_duplicate,3,TS4L-d69669b1ee9c27c395d2,lane_1,TS4-1-61afe255b14e06c4,"https://www.uplandca.gov/human_resources/salary_schedules___agreements.php (entry: ""Non-Rep/Confidential 06.25.23 rev 06.12.24"" under Archive Salary Schedules -> Non-Represented/Confidential Unit)",City of Upland — Salary Schedules / Agreements,manual_metadata_comparison_only,TS4L-d69669b1ee9c27c395d2,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-89230d8c9feb,same_city_normalized_title_possible_duplicate,3,TS4L-26f1aeeaf3d576ebedd7,lane_2,TS4-2-1fe46b588ea6f3ff,"https://www.belvidereil.gov/finance-agreements/ (entry: “Fire Department Officers May 1, 2022 - April 30, 2026”)",City of Belvidere — Finance Agreements (collective bargaining agreements list),manual_metadata_comparison_only,TS4L-59048987b9f4a389d943,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-89230d8c9feb,same_city_normalized_title_possible_duplicate,3,TS4L-59048987b9f4a389d943,lane_2,TS4-2-1fe46b588ea6f3ff,"https://www.belvidereil.gov/finance-agreements/ (entry: “The FOP Belvidere Lodge No. 245 (Patrol) May 1, 2022 - April 30, 2026”)",City of Belvidere — Finance Agreements (collective bargaining agreements list),manual_metadata_comparison_only,TS4L-59048987b9f4a389d943,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-89230d8c9feb,same_city_normalized_title_possible_duplicate,3,TS4L-b2b90be258cafc8eca12,lane_2,TS4-2-1fe46b588ea6f3ff,"https://www.belvidereil.gov/finance-agreements/ (entry: “International Assoc. of Fire Fighters Local #1569 AFL-CIO-CLC May 1, 2022 - April 30, 2026”)",City of Belvidere — Finance Agreements (collective bargaining agreements list),manual_metadata_comparison_only,TS4L-59048987b9f4a389d943,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-47cebd2ac76c,same_city_normalized_title_possible_duplicate,2,TS4L-0ebfee2a258515da8c12,lane_3,TS4-3-f545b372809f204f,https://www.geneva.il.us/ArchiveCenter/ViewFile/Item/2696,COLLECTIVE BARGAINING AGREEMENT — Tri-Com Central Dispatch Chapter #531 (Metropolitan Alliance of Police) vs. Tri-Com Central Dispatch Center,manual_metadata_comparison_only,TS4L-0ebfee2a258515da8c12,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-47cebd2ac76c,same_city_normalized_title_possible_duplicate,2,TS4L-fa0d6963af336bda2aac,lane_3,TS4-3-f545b372809f204f,https://www.geneva.il.us/ArchiveCenter/ViewFile/Item/1235,COLLECTIVE BARGAINING AGREEMENT — Tri-Com Central Dispatch Chapter #531 (Metropolitan Alliance of Police) vs. Tri-Com Central Dispatch Center,manual_metadata_comparison_only,TS4L-0ebfee2a258515da8c12,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-4105d075f8c5,same_city_normalized_title_possible_duplicate,2,TS4L-488f32e141985db31749,lane_1,TS4-1-6790b41fd4561d11,https://ecode360.com/WA1697/laws/LF2431039.pdf,City of Waltham (ecode360 PDF) - Article V Compensation (document PDF locator),manual_metadata_comparison_only,TS4L-488f32e141985db31749,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-4105d075f8c5,same_city_normalized_title_possible_duplicate,2,TS4L-d97a79817cb1d5847664,lane_1,TS4-1-6790b41fd4561d11,https://ecode360.com/WA1697/laws/LF2431038.pdf,City of Waltham (ecode360 PDF) - Article V Compensation (document PDF locator),manual_metadata_comparison_only,TS4L-488f32e141985db31749,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-b8e31b7afdce,same_city_normalized_title_possible_duplicate,2,TS4L-6a39d7c213ba95f0dccf,lane_2,TS4-2-ff143089e5a0b969,https://archive.lib.msu.edu/LIR/contracts/c4507.pdf,COLLECTIVE BARGAINING AGREEMENT (Commerce Township) — (document hosted in MSU LIR contracts collection),manual_metadata_comparison_only,TS4L-6a39d7c213ba95f0dccf,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-b8e31b7afdce,same_city_normalized_title_possible_duplicate,2,TS4L-b4f5bec24af68c75abe1,lane_2,TS4-2-ff143089e5a0b969,https://archive.lib.msu.edu/LIR/contracts/c8935.pdf,COLLECTIVE BARGAINING AGREEMENT (Commerce Township) — (document hosted in MSU LIR contracts collection),manual_metadata_comparison_only,TS4L-6a39d7c213ba95f0dccf,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-0c042cec9050,same_city_normalized_title_possible_duplicate,2,TS4L-4f485f812d2c912182af,lane_4,TS4-4-df2469ae670a80b5,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/BER/MERC-meetings/2024/7-9-24-Meeting-Packet-for-Virtual-Attendees.pdf?hash=3A9006FD7EC7107CCC6A73A9CEEA2323&rev=c8190f0358ec441faa884bde2e4c5868,MERC Meeting Packet (Virtual Attendees) — Fruitport Township and Police Officers Labor Council (Law Enforcement; economic issues; Act 312),manual_metadata_comparison_only,TS4L-b5584293d86f7638069b,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-0c042cec9050,same_city_normalized_title_possible_duplicate,2,TS4L-b5584293d86f7638069b,lane_4,TS4-4-df2469ae670a80b5,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/BER/MERC-meetings/2024/10-8-24-Meeting-Packet-for-Virtual-Attendees.pdf?hash=74AF88F3E4D57964C400B7FD5037D4B4&rev=9634d8440a2246519ed9327e2754465d,MERC Meeting Packet (Virtual Attendees) — Fruitport Township and Police Officers Labor Council (Law Enforcement; economic issues; Act 312),manual_metadata_comparison_only,TS4L-b5584293d86f7638069b,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-912282321cde,same_city_normalized_title_possible_duplicate,2,TS4L-4852e477f7a3e3440ea3,lane_2,TS4-2-00329f9d93c21afa,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-10-1082.pdf,"Collective Bargaining Agreement (Lake Township, Ohio) — Ohio Patrolmen's Benevolent Association (OPBA) / Police Department bargaining unit",manual_metadata_comparison_only,TS4L-4852e477f7a3e3440ea3,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-912282321cde,same_city_normalized_title_possible_duplicate,2,TS4L-fd3572c7d427fa6f142e,lane_2,TS4-2-00329f9d93c21afa,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-10-1083.pdf,"Collective Bargaining Agreement (Lake Township, Ohio) — Ohio Patrolmen's Benevolent Association (OPBA) / Police Department bargaining unit",manual_metadata_comparison_only,TS4L-4852e477f7a3e3440ea3,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-73fa11acb2c7,same_city_normalized_title_possible_duplicate,2,TS4L-043b6ad53687431e3b68,lane_1,TS4-1-461994e6a4dd0805,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0023.pdf,"Collective Bargaining Agreement (SERB) — City of Loveland (Effective May 5, 2020 through May 1, 2023)",manual_metadata_comparison_only,TS4L-043b6ad53687431e3b68,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-73fa11acb2c7,same_city_normalized_title_possible_duplicate,2,TS4L-de76c0d96c179f68c66b,lane_1,TS4-1-461994e6a4dd0805,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0022.pdf,"Collective Bargaining Agreement (SERB) — City of Loveland (Effective May 5, 2020 through May 1, 2023)",manual_metadata_comparison_only,TS4L-043b6ad53687431e3b68,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
title-4eeb6005de7f,same_city_normalized_title_possible_duplicate,2,TS4L-6c4822ebe42059680e02,lane_3,TS4-3-2fc907da7f7fbbc8,https://www.durant.org/DocumentCenter/View/3122/Wage-and-Salary-Plan-2022,R-2021-14A Exhibit A — Non-Collective Bargaining Unit Wage and Salary Plan (2022),manual_metadata_comparison_only,TS4L-6c4822ebe42059680e02,not_verified,Possible title similarity only; retained unless the locator is also canonical-duplicate.
