state,municipality,unit_type,candidate_rows_reviewed,verification_ready_rows,mechanism_families,contract_periods_with_metadata,counterpart_ids_present,coverage_status
AK,Ketchikan,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
AL,Alabaster,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AL,Albertville,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Alexander City,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Anniston,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Bessemer,non_safety_municipal_units,1,1,fiscal_constraint_signal,1,0,candidate_only_not_verified
AL,Birmingham,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
AL,Calera,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Center Point,safety_and_non_safety_compensation_units,1,1,market_or_comparability_pressure,1,0,candidate_only_not_verified
AL,Cullman,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Fairhope,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Foley,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Fort Payne,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Gardendale,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Gulf Shores,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Hartselle,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Hueytown,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Irondale,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Jacksonville,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Jasper,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Millbrook,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Mountain Brook,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Muscle Shoals,safety_and_non_safety_compensation_units,2,2,market_or_comparability_pressure,2,0,candidate_only_not_verified
AL,Ozark,safety_and_non_safety_compensation_units,1,1,market_or_comparability_pressure,1,0,candidate_only_not_verified
AL,Pelham,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Pell City,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Prichard,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
AL,Saraland,safety_and_non_safety_compensation_units,2,1,market_or_comparability_pressure,2,0,candidate_only_not_verified
AL,Scottsboro,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Talladega,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AL,Troy,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,Bryant,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,Centerton,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,El Dorado,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AR,Hot Springs,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
AR,Maumelle,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,Mountain Home,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AR,North Little Rock,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
AR,Searcy,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,Siloam Springs,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,Van Buren,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AR,West Memphis,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
AZ,Buckeye,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
AZ,Bullhead City,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AZ,Chandler,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
AZ,Chino Valley,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
AZ,Coolidge,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AZ,Douglas,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
AZ,El Mirage,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AZ,Eloy,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AZ,Florence,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AZ,Fountain Hills,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
AZ,Kingman,safety_and_non_safety_bargaining_units,1,1,strike_or_no_strike_constraint,1,0,candidate_only_not_verified
AZ,Nogales,non_safety_municipal_units,1,1,fiscal_constraint_signal,1,0,candidate_only_not_verified
AZ,Oro Valley,safety_and_non_safety_bargaining_units,2,1,strike_or_no_strike_constraint,2,0,candidate_only_not_verified
AZ,Payson,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
AZ,Prescott Valley,safety_and_non_safety_bargaining_units,3,2,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AZ,Sahuarita,safety_and_non_safety_bargaining_units,3,1,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AZ,Sierra Vista,safety_and_non_safety_bargaining_units,3,2,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
AZ,Somerton,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
AZ,Tucson,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Albany,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Antioch,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Artesia,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Auburn,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Avenal,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Azusa,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Baldwin Park,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Beaumont,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Blythe,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Brentwood,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Buena Park,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Burbank,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,California City,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Ceres,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Chino,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Chowchilla,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Citrus Heights,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Concord,non_safety_comparator,3,1,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Coronado,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Covina,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Cypress,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
CA,Daly City,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Delano,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CA,El Monte,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CA,El Segundo,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Elk Grove,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Encinitas,non_safety_comparator,3,0,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Fillmore,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Fontana,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Fremont,non_safety_comparator,3,3,non_safety_constraint_signal,0,3,candidate_only_not_verified
CA,Fullerton,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Garden Grove,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Gardena,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Glendora,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Hawaiian Gardens,safety_and_non_safety_compensation_units,2,2,market_or_comparability_pressure,2,0,candidate_only_not_verified
CA,Hawthorne,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Huntington Park,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Imperial Beach,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Indio,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Inglewood,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Irvine,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,La Habra,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,La Mesa,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,La Palma,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Laguna Beach,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Laguna Woods,safety_and_non_safety_compensation_units,2,2,market_or_comparability_pressure,2,0,candidate_only_not_verified
CA,Livermore,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Livingston,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Los Banos,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Madera,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CA,McFarland,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Mill Valley,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Montebello,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Monterey Park,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Moraga,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Newark,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Novato,non_safety_comparator,3,1,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Orinda,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Palm Springs,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CA,Pinole,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Pittsburg,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Pomona,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
