reconciliation_id,span_rating_id,source_rating_id,span_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,evidence_category,evidence_family,claim_readiness_bucket,downstream_use_bucket,quantitative_support_level,qualitative_support_level,mechanism_strength_level,comparison_potential_rating,original_side_relevance_rating,reconciled_side_relevance_label,reconciliation_status,reconciliation_confidence,reconciliation_basis,reconciliation_reason_codes,role_unit_terms_detected,strong_anchor_flag,moderate_anchor_flag,weak_anchor_only_flag,source_title_anchor_flag,section_heading_anchor_flag,neighboring_span_anchor_flag,snippet_anchor_flag,bounded_context_used_flag,not_applicable_reason,remains_unclear_reason,write_off_reason,span_text_snippet,bounded_context_snippet,source_title,section_heading,page_location_pointer,page_number,character_start_offset,character_end_offset,neighboring_span_ids_used,lane_id,reconciliation_priority_tier,source_locator_lineage,source_span_lineage_sha256,span_sha256,processed_at
BRMSIDEREC-20260803-0f0e8a6e975d83f678f46537,BRMGRT-20260802-bea78f81d29999a9a6e639ae,BRMGRS-20260802-19d81278b1d02afffc61e8ca,BRMSPAN-20260802-327e729497a098e43cac2ed2,RMSRD-20260802-f63eb6308f8c6b034e8b,RMSRD-20260802-f63eb6308f8c6b034e8b,BRM5C-BRM5-20260731-09725-02,Delaware,OH,Midwest,pdf,factfinding_report,cba_arbitration_factfinding_hint,qual_retroactivity_or_implementation_timing,qualitative_mechanism,mixed_quant_qual_claim_ready,core_finding_candidate,strong,weak,moderate,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Fire Fighters""]",true,false,false,true,false,false,false,false,,,,"Recommendation: Wage increases of 4% retroactive to April 1, 2021 and April 1, 2022.",,"Fact-Finding Report (SERB) — Fire Fighters, Local 606 vs. City of Delaware (includes adopted and incorporated terms; cites an IAFF Local 606 agreement as a hearing exhibit)",,page=unavailable,,26304,26388,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-09725-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""scout_target_id"": ""BRM5-20260731-09725""}",cd7e35280f4bcc7fc41ffa56a7acbd72e82d97220fa6182e9cbc62a2315d9926,cd7e35280f4bcc7fc41ffa56a7acbd72e82d97220fa6182e9cbc62a2315d9926,2026-08-03T04:13:17.728751+00:00
BRMSIDEREC-20260803-1c72ba6a5b31cb883247d9ae,BRMGRT-20260802-e3c760c2a771587994260fb0,BRMGRS-20260802-19d81278b1d02afffc61e8ca,BRMSPAN-20260802-600fe7ebbf15542b3e426531,RMSRD-20260802-f63eb6308f8c6b034e8b,RMSRD-20260802-f63eb6308f8c6b034e8b,BRM5C-BRM5-20260731-09725-02,Delaware,OH,Midwest,pdf,factfinding_report,cba_arbitration_factfinding_hint,qual_retroactivity_or_implementation_timing,qualitative_mechanism,mixed_quant_qual_claim_ready,core_finding_candidate,strong,weak,weak,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Fire Fighters""]",true,false,false,true,false,false,false,false,,,,"Position of the Union: Wages increases of 5% retroactive to April 1, 2021 and April 1, 2022,
",,"Fact-Finding Report (SERB) — Fire Fighters, Local 606 vs. City of Delaware (includes adopted and incorporated terms; cites an IAFF Local 606 agreement as a hearing exhibit)",,page=unavailable,,13257,13350,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-09725-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""scout_target_id"": ""BRM5-20260731-09725""}",34f24d63b503540e8891baf6c9d62a0e4df575cf8f24cb761a95587e901f9736,34f24d63b503540e8891baf6c9d62a0e4df575cf8f24cb761a95587e901f9736,2026-08-03T04:13:17.729016+00:00
BRMSIDEREC-20260803-79f12317d5c4661845998649,BRMGRT-20260802-07acf73dbdd261026b022fd3,BRMGRS-20260802-7373bf9e5bf750d6ae95101a,BRMSPAN-20260802-0dc26ec89e8776602ffdb020,RMSRD-20260802-5eebbeb1a914b8c6e30c,RMSRD-20260802-5eebbeb1a914b8c6e30c,BRM5C-BRM5-20260731-16432-01,Ideal,MN,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""firefighter""]",true,false,false,true,false,false,false,false,,,," Officer pay to remain at $200 per monthly Board meeting and $21.50 per hour as
",,"Agenda for Board Meeting Packet (Jan 13, 2020) — discussion of officer & staff compensation policy; firefighter call rate",,page=unavailable,,8359,8439,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-16432-01"", ""final"": ""https://idealtownship.com/vertical/sites/%7B47EEE33D-E912-4331-A259-940069E578ED%7D/uploads/01-13-20-Board-Packet.pdf"", ""original"": ""https://idealtownship.com/vertical/sites/%7B47EEE33D-E912-4331-A259-940069E578ED%7D/uploads/01-13-20-Board-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-16432""}",004e06f6afad31b9cf351de84e5099f24726c516892998ae77acd46d15aaa2eb,004e06f6afad31b9cf351de84e5099f24726c516892998ae77acd46d15aaa2eb,2026-08-03T04:13:17.736030+00:00
BRMSIDEREC-20260803-3dd4f061a215128cf9f8692d,BRMGRT-20260802-aeb0ba3a991b16b3d129d941,BRMGRS-20260802-c7faaeffc7062dbeb204f1c1,BRMSPAN-20260802-0a774b2231b1f3f371fd54d6,RMSRD-20260802-d742162988835968b97d,RMSRD-20260802-d742162988835968b97d,BRM5C-BRM5-20260731-06184-02,Wadsworth,OH,Midwest,pdf,arbitration_award,cba_arbitration_factfinding_hint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""International Association of Fire Fighters""]",true,false,false,true,false,false,false,false,,,," It observes that with the December 31, 2018, balance and assuming 2% wage

increases each year, the 2023 carryover balance will be 56%.
",,"FACT-FINDING REPORT: City of Wadsworth and International Association of Fire Fighters, Local 4136 (Case No. 2018-MED-09-0935)",,page=unavailable,,5540,5677,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-06184-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}",09fc73a8234c6b72488c3bb037e591cd1e5d0e9a755548bdc8b4c0181a4b2be3,09fc73a8234c6b72488c3bb037e591cd1e5d0e9a755548bdc8b4c0181a4b2be3,2026-08-03T04:13:17.752686+00:00
BRMSIDEREC-20260803-014be17d71ca7b606681c419,BRMGRT-20260802-4930bede6103836c99691e41,BRMGRS-20260802-8092f3007dac0968b959540d,BRMSPAN-20260802-344210161be0e87cc1e5dcfc,RMSRD-20260802-8f6d11c9a179d34d5f00,RMSRD-20260802-8f6d11c9a179d34d5f00,BRM5C-BRM5-20260731-05125-02,Duluth,MN,Midwest,pdf,cba,cba_arbitration_factfinding_hint,quant_other_compensation_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,weak,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""International Association of Fire Fighters""]",true,false,false,true,false,false,false,false,,,," Effective
January 1, 2026, Basic Monthly Pay shall be increased three percent (3%).",,Collective Bargaining Agreement between the City of Duluth and Local 101 International Association of Fire Fighters (2025-2027),ARTICLE 8 – WAGE PROGRESSION,page=unavailable; section=ARTICLE 8 – WAGE PROGRESSION,,19446,19530,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-05125-02"", ""final"": ""https://duluthmn.gov/media/pizp0j1s/2025-2027-fire.pdf"", ""original"": ""https://duluthmn.gov/media/pizp0j1s/2025-2027-fire.pdf"", ""scout_target_id"": ""BRM5-20260731-05125""}",9a70c2c8a561ce250001dafd74b11a277df5f88774c11c51935a39abc5e7e0e2,9a70c2c8a561ce250001dafd74b11a277df5f88774c11c51935a39abc5e7e0e2,2026-08-03T04:13:17.766435+00:00
BRMSIDEREC-20260803-7e928ebb1271278098187564,BRMGRT-20260802-44f8cc29eed8660e63c97969,BRMGRS-20260802-cd79ea989b8593bd0e9d09c4,BRMSPAN-20260802-a225a989a7140c000508cd26,RMSRD-20260802-a48252cde7813e9e232f,RMSRD-20260802-a48252cde7813e9e232f,BRM5C-BRM5-20260731-00295-02,Kewanee,IL,Midwest,pdf,cba,cba_arbitration_factfinding_hint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Firefighters""]",true,false,false,true,false,false,false,false,,,,"A.2 Effective May1, 2020 (2.75 % Increase) Yearly Salary Hourly Rate
",,"Collective Bargaining Agreement (Kewanee Firefighters Union Local 513) — May 1, 2019 through April 30, 2022; May 1, 2022 through April 30, 2025",,page=unavailable,,189528,189597,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-00295-02"", ""final"": ""https://cms5.revize.com/revize/kewanee/COUNCIL%20PACKET%2003-14-2022.pdf"", ""original"": ""https://cms5.revize.com/revize/kewanee/COUNCIL%20PACKET%2003-14-2022.pdf"", ""scout_target_id"": ""BRM5-20260731-00295""}",5a9c712d3e3843339eeb7c7388289838a388e805007859a11542a2b3a46542e3,5a9c712d3e3843339eeb7c7388289838a388e805007859a11542a2b3a46542e3,2026-08-03T04:13:17.767819+00:00
BRMSIDEREC-20260803-25d59b6e0df7e14a601237db,BRMGRT-20260802-1fde73d598db41fe9148c5a8,BRMGRS-20260802-d9a410b9974a3f54bfd3c94e,BRMSPAN-20260802-b8b7a48f6a8d3906a4649a7f,RMSRD-20260802-847dfe7cf86f2457868a,RMSRD-20260802-847dfe7cf86f2457868a,BRM5C-BRM5-20260731-02242-02,Dover,OH,Midwest,pdf,cba,cba_arbitration_factfinding_hint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Firefighters""]",true,false,false,true,false,false,false,false,,,,"2.3% Increase All Three Years
",,"Collective Bargaining Agreement / Labor Agreement (Effective February 16, 2020 - February 16, 2023) – City of Dover / Local 324 International Association of Firefighters",,page=unavailable,,43927,43957,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-02242-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""scout_target_id"": ""BRM5-20260731-02242""}",f0e4077878f0041854211c33d8ae5b6a7e1559540d50b093c7276c7bb2fe7ddb,f0e4077878f0041854211c33d8ae5b6a7e1559540d50b093c7276c7bb2fe7ddb,2026-08-03T04:13:17.768544+00:00
BRMSIDEREC-20260803-3df07d6298dd02bb6ae9081a,BRMGRT-20260802-5b99b6f382f065bbd9570f09,BRMGRS-20260802-19d81278b1d02afffc61e8ca,BRMSPAN-20260802-6e27d9240294e7d26b5ce1f5,RMSRD-20260802-f63eb6308f8c6b034e8b,RMSRD-20260802-f63eb6308f8c6b034e8b,BRM5C-BRM5-20260731-09725-02,Delaware,OH,Midwest,pdf,factfinding_report,cba_arbitration_factfinding_hint,quant_percentage_raise_or_cola,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,strong,none,weak,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Fire Fighters""]",true,false,false,true,false,false,false,false,,,,wage increase of 5% each year.,,"Fact-Finding Report (SERB) — Fire Fighters, Local 606 vs. City of Delaware (includes adopted and incorporated terms; cites an IAFF Local 606 agreement as a hearing exhibit)",,page=unavailable,,21144,21174,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-09725-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""scout_target_id"": ""BRM5-20260731-09725""}",9476ddea46586b9be59b1e56bb8f5f92031b886a7e85232d58811160530b7ef6,9476ddea46586b9be59b1e56bb8f5f92031b886a7e85232d58811160530b7ef6,2026-08-03T04:13:17.774606+00:00
BRMSIDEREC-20260803-15d6cd3e7bc9830648598320,BRMGRT-20260802-ada5d570926e4bf58c7b0310,BRMGRS-20260802-aa3ad087c18af81aed2ce85a,BRMSPAN-20260802-e518b2f03dbeeeb0ee8fd270,RMSRD-20260802-9ac4ad1b4577e9da72a2,RMSRD-20260802-9ac4ad1b4577e9da72a2,BRM5C-BRM5-20260731-12401-02,Mackinac Island,MI,Midwest,pdf,other_local_government_pay_policy,non_cba_or_unresolved_hint,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Fire Department"", ""Public Safety""]",true,false,false,true,false,false,false,false,,,,"Election Board $18.12 per hour for first eight (8) hours, $27.18 per hour for each additional hour;
",,"City of Mackinac Island, Michigan — Ord. No. __, Eff. April 1, 2025: Salaries and Wages for Fiscal Year Ending March 31, 2026 (Public Safety section includes Fire Department rates)",,page=unavailable,,4321,4421,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-12401-02"", ""final"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/mackinacmi-meet-2359d0a957bd47a98bf93480c4b7d2d3/ITEM-Attachment-001-c9e16daa5e0c4924baad70bd99c7eb27.pdf"", ""original"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/mackinacmi-meet-2359d0a957bd47a98bf93480c4b7d2d3/ITEM-Attachment-001-c9e16daa5e0c4924baad70bd99c7eb27.pdf"", ""scout_target_id"": ""BRM5-20260731-12401""}",270f293acf85d7bb01bfd46f73f4d3cb7736aaa6f5dad03f3fe591f5b0d09f8d,270f293acf85d7bb01bfd46f73f4d3cb7736aaa6f5dad03f3fe591f5b0d09f8d,2026-08-03T04:13:17.779659+00:00
BRMSIDEREC-20260803-3f8f6eea9a94ea4402abeb69,BRMGRT-20260802-bce94e98e2aa11e7ed24d95c,BRMGRS-20260802-4e99efd65975539cacb959e4,BRMSPAN-20260802-e744f22d28f88e217f37fc99,RMSRD-20260802-87e1104ddd89bbf988f3,RMSRD-20260802-87e1104ddd89bbf988f3,BRM5C-BRM5-20260731-17818-01,Wascott,WI,Midwest,pdf,other_local_government_pay_policy,non_cba_or_unresolved_hint,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,core_finding_candidate,direct,none,none,none,unclear,fire_direct,relabeled_from_unclear,high,"[""explicit_source_title_unit_anchor""]","[""source_title_anchor:fire_direct""]","[""Fire Chief"", ""Fire Department"", ""Firefighter""]",true,false,false,true,false,false,false,false,,,,to $22.87 per hour (which is $21.55 base union rate plus $1.32 supplemental).,,Resolution 2017-04 FIX 2017 PAY RATES OF TOWN EMPLOYEES (Fire Department pay: Fire Chief salary; Firefighter per call and mileage),,page=unavailable,,704,781,[],side_relevance_reconciliation_lane_001,tier_1_high_value_downstream,"{""candidate_id"": ""BRM5C-BRM5-20260731-17818-01"", ""final"": ""https://townofwascott.org/Ord-Res/Employees%20%26%20Officers/Res%202017-04%20Fix%20Pay%20Rates.pdf"", ""original"": ""https://www.townofwascott.org/Ord-Res/Employees%20%26%20Officers/Res%202017-04%20Fix%20Pay%20Rates.pdf"", ""scout_target_id"": ""BRM5-20260731-17818""}",8b16a022fe13b6219145de1b6ce1e644275cc3795ffdeed4210edfaa7d00c306,8b16a022fe13b6219145de1b6ce1e644275cc3795ffdeed4210edfaa7d00c306,2026-08-03T04:13:17.781341+00:00
