reconciliation_id,span_rating_id,source_rating_id,span_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,evidence_category,evidence_family,claim_readiness_bucket,downstream_use_bucket,quantitative_support_level,qualitative_support_level,mechanism_strength_level,comparison_potential_rating,original_side_relevance_rating,reconciled_side_relevance_label,reconciliation_status,reconciliation_confidence,reconciliation_basis,reconciliation_reason_codes,role_unit_terms_detected,strong_anchor_flag,moderate_anchor_flag,weak_anchor_only_flag,source_title_anchor_flag,section_heading_anchor_flag,neighboring_span_anchor_flag,snippet_anchor_flag,bounded_context_used_flag,not_applicable_reason,remains_unclear_reason,write_off_reason,span_text_snippet,bounded_context_snippet,source_title,section_heading,page_location_pointer,page_number,character_start_offset,character_end_offset,neighboring_span_ids_used,lane_id,reconciliation_priority_tier,source_locator_lineage,source_span_lineage_sha256,span_sha256,processed_at
BRMSIDEREC-20260803-bd2a6c52a0c5e8aa8887a867,BRMGRT-20260802-b8d81df51fa7fe9368698f51,BRMGRS-20260802-6eb865ed0b8cbaae9520dd62,BRMSPAN-20260802-5d1e1b68d68b6f246b3b28eb,RMSRD-20260802-344e7a6bc120b79e0bc4,RMSRD-20260802-344e7a6bc120b79e0bc4,BRM5C-BRM5-20260731-06648-01,Alden,NY,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_budget_or_fiscal_constraint,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,weak,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"Order Calling Public Hearing for Local Law # 6 of 2025 Override of Tax Cap
",,Regular Town Board Meeting (includes resolution: “Adopt Collective Bargaining Agreement Highway Department”),,page=unavailable,,17008,17083,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-06648-01"", ""final"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""original"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""scout_target_id"": ""BRM5-20260731-06648""}",77bcfdac06c05c7e2f7a63a8eab34fa560017f02d9c551db725ddaa25188a413,77bcfdac06c05c7e2f7a63a8eab34fa560017f02d9c551db725ddaa25188a413,2026-08-03T04:13:18.146396+00:00
BRMSIDEREC-20260803-56b75c9a0bdb70af04498497,BRMGRT-20260802-75fd2cb661122454de815b4b,BRMGRS-20260802-5bd89b39bd80a1a502205950,BRMSPAN-20260802-61756ad5e281029acea71cdd,RMSRD-20260802-46ca85fa51dbea450e90,RMSRD-20260802-46ca85fa51dbea450e90,BRM5C-BRM5-20260731-01221-01,Pere Marquette charter,MI,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,weak,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,forty-five days to appoint a person to fill the vacancy.,,2023 Minutes (includes approval of 2024 compensation schedule),NET CHANGE IN GENERAL FUND 0,page=unavailable; section=NET CHANGE IN GENERAL FUND 0,,176998,177054,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-01221-01"", ""final"": ""https://webgen1files1.revize.com/peremarquettemi/Documents/Boards%20%26%20Commissions/%20Township%20Board/Agendas%20%26%20Minutes/2023/2023%20Minutes.pdf"", ""original"": ""https://webgen1files1.revize.com/peremarquettemi/Documents/Boards%20%26%20Commissions/%20Township%20Board/Agendas%20%26%20Minutes/2023/2023%20Minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-01221""}",afa22ca06491b01ba87468e05dfe4c3255814ca13c38f444df860963e3ec7917,afa22ca06491b01ba87468e05dfe4c3255814ca13c38f444df860963e3ec7917,2026-08-03T04:13:18.147501+00:00
BRMSIDEREC-20260803-2979bda861757c040f634674,BRMGRT-20260802-b75b52b024eca5446a0e0065,BRMGRS-20260802-6eb865ed0b8cbaae9520dd62,BRMSPAN-20260802-d3e8f3391151a038742c40ab,RMSRD-20260802-344e7a6bc120b79e0bc4,RMSRD-20260802-344e7a6bc120b79e0bc4,BRM5C-BRM5-20260731-06648-01,Alden,NY,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,weak,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"appointment of a Deputy Registrar of Vital Statistics has created a vacancy in the office of
",,Regular Town Board Meeting (includes resolution: “Adopt Collective Bargaining Agreement Highway Department”),,page=unavailable,,29952,30045,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-06648-01"", ""final"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""original"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""scout_target_id"": ""BRM5-20260731-06648""}",a5c61360ce8d76584c44a5ea6d6e5026aeb36bf1576c1cd5beacf70b8b37f926,a5c61360ce8d76584c44a5ea6d6e5026aeb36bf1576c1cd5beacf70b8b37f926,2026-08-03T04:13:18.147864+00:00
BRMSIDEREC-20260803-93ac6c1366dc5e3e5f66a07e,BRMGRT-20260802-edddcfeafe75467d3bc8c6ae,BRMGRS-20260802-aff4f07763fda2e50ee7088b,BRMSPAN-20260802-6fffc37b2e8444a4ffd05175,RMSRD-20260802-0c8330d42726f9e6897a,RMSRD-20260802-0c8330d42726f9e6897a,BRM5C-BRM5-20260731-10466-02,Highland,NY,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"and Record Retention Liaison, seconded by Councilwoman Kaitlyn Haas, discussion motion
",,"Town of Highland Regular Town Board Meeting — April 13, 2021 (Local 17 contract signed; term mention but agreement not provided)",,page=unavailable,,6955,7042,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-10466-02"", ""final"": ""https://townofhighlandny.gov/wp-content/uploads/TOWN-OF-HIGHLAND-April-13-2021-minutes-Board-Regular-meeting.pdf"", ""original"": ""https://townofhighlandny.gov/wp-content/uploads/TOWN-OF-HIGHLAND-April-13-2021-minutes-Board-Regular-meeting.pdf"", ""scout_target_id"": ""BRM5-20260731-10466""}",76976946fca95be7cddbd22c14f229eb105f3fe569f374766496065a9aa8be93,76976946fca95be7cddbd22c14f229eb105f3fe569f374766496065a9aa8be93,2026-08-03T04:13:18.148049+00:00
BRMSIDEREC-20260803-9498684d230c6221bb5e641b,BRMGRT-20260802-2eb52fa0f32933f6cba67ee2,BRMGRS-20260802-17f6df2d14345c63e5c358cc,BRMSPAN-20260802-5555e6008d1a0a4f1ca0d3f2,RMSRD-20260802-520459442dfba73fd037,RMSRD-20260802-520459442dfba73fd037,BRM5C-BRM5-20260731-11000-01,Wyalusing,PA,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,A resolution regarding the retention of tape recordings of meetings was reviewed.,,"Wyalusing Borough Council Meeting (Minutes Archive) — January 5, 2009",RESOLUTION,page=unavailable; section=RESOLUTION,,21918,21999,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-11000-01"", ""final"": ""https://wyalusingborough.com/wp-content/uploads/2018/05/09MinutesArchive.pdf"", ""original"": ""https://wyalusingborough.com/wp-content/uploads/2018/05/09MinutesArchive.pdf"", ""scout_target_id"": ""BRM5-20260731-11000""}",bb9ec985bfd915914c2f5c3c72eb632713d617b9c56a4f6c47b4c98e2a3abec2,bb9ec985bfd915914c2f5c3c72eb632713d617b9c56a4f6c47b4c98e2a3abec2,2026-08-03T04:13:18.148210+00:00
BRMSIDEREC-20260803-882333e3e8ef103fa712e88c,BRMGRT-20260802-45145169a50f88618514baaf,BRMGRS-20260802-5e2f6910d3a5e39bac0112ed,BRMSPAN-20260802-8426aef7ac5df1b39516ea92,RMSRD-20260802-b7afcbb47db0121ec5da,RMSRD-20260802-b7afcbb47db0121ec5da,BRM5C-BRM5-20260731-10607-03,Baldwin,PA,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"● Vacancy Board
",,"BOROUGH OF BALDWIN — Regular Meeting Agenda (December 17, 2024) referencing Resolution No. 2024-12-18 Designating Salaries and Wages for Administrative and Other Personnel for the Year 2025",,page=unavailable,,4243,4259,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-10607-03"", ""final"": ""https://baldwinborough.org/AgendaCenter/ViewFile/Agenda/_12172024-347"", ""original"": ""https://www.baldwinborough.org/AgendaCenter/ViewFile/Agenda/_12172024-347"", ""scout_target_id"": ""BRM5-20260731-10607""}",2513b58c3bdba8d06e93ba2d3174899079233bd64fdfc8dac653b9119f90d9d7,2513b58c3bdba8d06e93ba2d3174899079233bd64fdfc8dac653b9119f90d9d7,2026-08-03T04:13:18.148417+00:00
BRMSIDEREC-20260803-52ff4b6f63c767a94b15ca39,BRMGRT-20260802-a7dc9b0b99720dec0eb87dce,BRMGRS-20260802-67c1272a859922ee9c58f4ae,BRMSPAN-20260802-f715d9bef06223e4452e154c,RMSRD-20260802-3e5139bd85dccd8fe29b,RMSRD-20260802-3e5139bd85dccd8fe29b,BRM5C-BRM5-20260731-14692-01,Upper Bern,PA,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"Chairman of the Vacancy Board
",,"Upper Bern Township Reorganization Meeting Agenda (January 5, 2026) — Updated 2026 Employee Handbook; Set Wages",,page=unavailable,,832,862,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-14692-01"", ""final"": ""https://upperberntownship.org/wp-content/uploads/Public-Reorganization-meeting-Agenda-2026.pdf"", ""original"": ""https://upperberntownship.org/wp-content/uploads/Public-Reorganization-meeting-Agenda-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-14692""}",b21b13233d8de64c3fb1d049ad17d54ba4170d60dd1fdc874f33e2d684d10475,b21b13233d8de64c3fb1d049ad17d54ba4170d60dd1fdc874f33e2d684d10475,2026-08-03T04:13:18.148579+00:00
BRMSIDEREC-20260803-628e19bbee48a098fb2c47e1,BRMGRT-20260802-c576aa3302b63fc8830da43e,BRMGRS-20260802-685909a5f53eae32d6e9daff,BRMSPAN-20260802-8de44cacfc60ea523564939f,RMSRD-20260802-3089cc5710629ecd3468,RMSRD-20260802-3089cc5710629ecd3468,BRM5C-BRM5-20260731-03400-01,Rye,PA,Northeast,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_market_recruitment_retention_pressure,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"Chairman Sabo announced the vacancy and noted the need to find someone for the
",,"Supervisors’ Organizational Meeting Minutes (Rye Township, Perry County, PA) — October 26, 2020 (PDF) (includes Resolution 20-28 Schedule of Wages reference)",,page=unavailable,,78608,78687,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-03400-01"", ""final"": ""https://ryetwp.com/wp-content/uploads/2022/07/2020-Meeting-Minutes.pdf"", ""original"": ""https://ryetwp.com/wp-content/uploads/2022/07/2020-Meeting-Minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-03400""}",43805d1ea7a273314d106add76d74c599409878240ab2de8c93933071a47591a,43805d1ea7a273314d106add76d74c599409878240ab2de8c93933071a47591a,2026-08-03T04:13:18.148765+00:00
BRMSIDEREC-20260803-95bb1639bab4391820efdbc8,BRMGRT-20260802-96688e5bdaa38f2bae0e6802,BRMGRS-20260802-41fae1979df1592cfca8f5b3,BRMSPAN-20260802-f7e783a074784aa8db381c09,RMSRD-20260802-84c2fc961bfc97e9b0fc,RMSRD-20260802-84c2fc961bfc97e9b0fc,BRM5C-BRM5-20260731-09787-04,Lake,OH,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_unresolved_hint,qual_mou_or_settlement,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,weak,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"the Memorandum of Understanding (MOU) for traffic improvements at Midship Drive and
",,MINUTES OF THE REGULAR MEETING (includes ordinance approving wage increases and references retroactive pay),,page=unavailable,,15704,15788,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-09787-04"", ""final"": ""https://avonlake.org/files/agenda-minutes/2023/11/11-27-23.pdf"", ""original"": ""https://www.avonlake.org/files/agenda-minutes/2023/11/11-27-23.pdf"", ""scout_target_id"": ""BRM5-20260731-09787""}",4e72496ac42896c23590c4eaccb80711f1540833b194a0487aef13d63f9eae42,4e72496ac42896c23590c4eaccb80711f1540833b194a0487aef13d63f9eae42,2026-08-03T04:13:18.148939+00:00
BRMSIDEREC-20260803-d1e1a42e3783f1926a480db2,BRMGRT-20260802-5020d387dec44c87d72dbab6,BRMGRS-20260802-7ba6cd51a1a30c9869aa9aa3,BRMSPAN-20260802-f0c745671b103517cc9f21e5,RMSRD-20260802-ba58b69ee73fcc9f8ea1,RMSRD-20260802-ba58b69ee73fcc9f8ea1,BRM5C-BRM5-20260731-00001-01,Alleman,IA,Midwest,pdf,agenda_packet_or_minutes,cba_arbitration_factfinding_hint,qual_ordinance_or_council_adoption,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,none,none,none,none,unclear,write_off,write_off,low,"[""rated_reference_weak_or_writeoff_without_side_anchor""]","[""not_useful_for_side_sensitive_downstream_work""]",[],false,false,true,false,false,false,false,false,,,not_useful_for_side_sensitive_downstream_work,"City Council welcome comments from the public pursuant to the adopted Rules of Procedure of
",,"March 2026 Council Agenda (includes Motion to Consider Resolution 2026-009: ""A Resolution Approving Wages for City Employees"")",CITIZEN OPPORTUNITY FOR COMMENT,page=unavailable; section=CITIZEN OPPORTUNITY FOR COMMENT,,1173,1265,[],side_relevance_reconciliation_lane_001,tier_4_weak_reference_or_writeoff,"{""candidate_id"": ""BRM5C-BRM5-20260731-00001-01"", ""final"": ""https://allemaniowa.org/_files/ugd/bb36e8_dea22f74a0884011a834e0c7a8cba091.pdf"", ""original"": ""https://www.allemaniowa.org/_files/ugd/bb36e8_dea22f74a0884011a834e0c7a8cba091.pdf"", ""scout_target_id"": ""BRM5-20260731-00001""}",d773069d31fabe68f4abf543d92ce9b19d68ff65c610ddbbff47f4874d2cd6e0,d773069d31fabe68f4abf543d92ce9b19d68ff65c610ddbbff47f4874d2cd6e0,2026-08-03T04:13:18.149292+00:00
