span_rating_id,span_id,source_rating_id,retained_source_id,source_review_id,candidate_id,municipality,state,region,source_type,source_family,priority_bucket,cba_non_cba_hint,mechanism_source_family_hints,evidence_category,evidence_family,claim_readiness_bucket,quantitative_support_level,qualitative_support_level,mechanism_strength_level,side_relevance_rating,comparison_potential_rating,extraction_confidence_rating,source_context_quality_rating,downstream_use_bucket,reason_codes,concise_rating_rationale,input_safety_side_hint,input_comparison_potential_flag,input_confidence_score,page_number,section_heading,character_start_offset,character_end_offset,rating_lane_id,rating_status,quarantine_reason,source_locator_lineage,source_span_lineage_sha256,span_sha256,bounded_snippet_reference,span_extraction_lane_id,table_like_flag,currency_value_flag,percent_value_flag,date_or_effective_period_flag,position_or_unit_flag,span_extraction_reason_codes,canonical_ingestion_status,canonical_codification_status,side_relevance_relabeling_status,is_quantitative_direct_text_claim_ready,needs_quantitative_normalization,is_qualitative_mechanism_claim_ready,is_mixed_quant_qual_claim_ready,is_directional_hint_only,is_local_context_only,is_source_navigation_or_reference_only,is_weak_or_not_supported,is_quarantine_or_error,is_core_finding_candidate,is_supporting_example_candidate,is_mechanism_summary_candidate,is_quantitative_normalization_candidate,is_comparison_review_candidate,is_growth_continuity_candidate,is_manual_review_candidate,is_exclude_or_write_off,has_direct_quantitative_support,has_qualitative_mechanism_support,has_moderate_or_strong_mechanism,has_side_relevance_clear,has_side_relevance_unclear,has_comparison_potential,has_growth_continuity_potential,has_non_base_compensation_evidence,has_bargaining_or_dispute_evidence,needs_side_relevance_reconciliation,original_side_relevance_rating,final_side_relevance_rating,side_relevance_reconciliation_id,side_relevance_reconciliation_status,side_relevance_reconciliation_confidence,side_relevance_reconciliation_reason_codes
BRMGRT-20260802-d70c9183abea88cc718b5948,BRMSPAN-20260802-4228709c278f258d37ca098c,BRMGRS-20260802-bd501216b494fa02405583d5,RMSRD-20260802-797b46d9927071fb1739,RMSRD-20260802-797b46d9927071fb1739,BRM5C-BRM5-20260731-09009-02,Medicine Lake,MN,Midwest,pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_unresolved_hint,,qual_other_pay_setting_mechanism,qualitative_mechanism,quantitative_direct_text_claim_ready,moderate,none,none,police_direct,explicit_cross_side_comparison_possible,high,moderate,supporting_example_candidate,containsexplicitcomparativeordinalrankingphrasewithoutadditional;snippetdoesnotprovidepaysettingoradjustmentmechanism;referenceismunicipalitycomparisontotextonly,"The span states an explicit comparative staffing ranking (“second-lowest… above only Omaha”), which is locally claim-ready as an ordinal quantitative comparison, but it does not describe any pay mechanism or adjustment steps.",police,false,0.86,,,32084,32176,gabriel_rating_lane_001,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-09009-02"", ""final"": ""https://files.heygov.com/cityofmedicinelake.com/meetings/me_01kncg2y04xc1h4hpt9jf09np5/council-packet.pdf"", ""original"": ""https://files.heygov.com/cityofmedicinelake.com/meetings/me_01kncg2y04xc1h4hpt9jf09np5/council-packet.pdf"", ""scout_target_id"": ""BRM5-20260731-09009""}",67893179afab889136fa31393a098cb8546443a2a937f1d1d3236773996daf59,67893179afab889136fa31393a098cb8546443a2a937f1d1d3236773996daf59,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-4228709c278f258d37ca098c,span_extraction_lane_001,True,False,False,False,False,M009,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,police_direct,police_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-c46a5d755df1415860f8b44a,BRMSPAN-20260802-e2bfd00a36045d9c8ac3de7b,BRMGRS-20260802-a3c760ad26b4f0701df9f013,RMSRD-20260802-afb55b9cbeccfa549acf,RMSRD-20260802-afb55b9cbeccfa549acf,BRM5C-BRM5-20260731-14008-01,Minong,WI,Midwest,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,,quant_budget_or_pay_plan_amount,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,explicit_cross_side_comparison_possible,very_high,moderate,comparison_review_candidate,explicit_comparator_wage_for_neighboring_counties_deputies,Provides comparator pay of $27/hour for Douglas County deputies in neighboring counties.,unclear,false,0.94,,,156615,156678,gabriel_rating_lane_002,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-14008-01"", ""final"": ""https://villageofminong.org/wp-content/uploads/2019/01/JAN-DEC-2025-MINUTES-FINAL-FOR-WEB-POSTING-1.pdf"", ""original"": ""https://villageofminong.org/wp-content/uploads/2019/01/JAN-DEC-2025-MINUTES-FINAL-FOR-WEB-POSTING-1.pdf"", ""scout_target_id"": ""BRM5-20260731-14008""}",af8539c068fe48199ad12f9a18d34d48a571d3a2b6460460750137c51700f24d,af8539c068fe48199ad12f9a18d34d48a571d3a2b6460460750137c51700f24d,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e2bfd00a36045d9c8ac3de7b,span_extraction_lane_001,True,True,False,False,False,Q002,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,unclear,police_direct,BRMSIDEREC-20260803-6277b7a39cd2068c5bc65775,relabeled_from_unclear,high,"[""source_title_anchor:police_direct""]"
BRMGRT-20260802-adb261a6b667100831e3f71c,BRMSPAN-20260802-3b0104c445ec5d808ce3a13b,BRMGRS-20260802-c7faaeffc7062dbeb204f1c1,RMSRD-20260802-d742162988835968b97d,RMSRD-20260802-d742162988835968b97d,BRM5C-BRM5-20260731-06184-02,Wadsworth,OH,Midwest,pdf,arbitration_award,high_priority_verification_ready,cba_arbitration_factfinding_hint,strike_or_no_strike_constraint,quant_position_classification_pay_band,quantitative_compensation,directional_hint_only,moderate,none,none,unclear,explicit_cross_side_comparison_possible,high,moderate,comparison_review_candidate,mentions_comparable_cities_but_is_counting_style_not_structured;contains_two_explicit_values_62_387_44_vs_62_606_00,"Includes explicit comparison values versus a set of comparable cities, but the span does not provide structured positions/schedule labels for formal cross-side comparison.",unclear,true,0.94,,,24799,24935,gabriel_rating_lane_002,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-06184-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}",25885635bd038878a6c31c73e7c57dbf898edd36d5706dbda94906e07e68e8d9,25885635bd038878a6c31c73e7c57dbf898edd36d5706dbda94906e07e68e8d9,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-3b0104c445ec5d808ce3a13b,span_extraction_lane_005,True,True,False,False,False,Q015,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,unclear,fire_direct,BRMSIDEREC-20260803-5dd6249d72f45bf03b0fa2e9,relabeled_from_unclear,high,"[""source_title_anchor:fire_direct""]"
BRMGRT-20260802-d65e314c8934d1ad8ba1dae2,BRMSPAN-20260802-e3d917ceae25f661e523db4b,BRMGRS-20260802-3ddfd4ac80737e9988637f51,RMSRD-20260802-68d0aa5bdefa0abcf2ee,RMSRD-20260802-68d0aa5bdefa0abcf2ee,BRM5C-BRM5-20260731-10412-01,Canandaigua,NY,Northeast,pdf,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_unresolved_hint,,quant_budget_or_pay_plan_amount,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,weak,police_direct,named_position_possible,very_high,moderate,quantitative_normalization_candidate,explicit_position_and_two_rate_values_present;rates_clearly_labeled_by_year_in_snippet,"Provides explicit police officer hourly rates ($95/hour and $80/hour) for 2023 in the snippet, enabling a within-position rate comparison (across years).",police,false,0.94,,COMMUNITY EVENTS,16940,16978,gabriel_rating_lane_002,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-10412-01"", ""final"": ""https://canandaiguanewyork.gov/Archive/ViewFile/Item/143"", ""original"": ""https://canandaiguanewyork.gov/Archive/ViewFile/Item/143"", ""scout_target_id"": ""BRM5-20260731-10412""}",27768767ed8e37c42b69fdf32b79d766905d089bf992babe1534d44b4b3bf4d7,27768767ed8e37c42b69fdf32b79d766905d089bf992babe1534d44b4b3bf4d7,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e3d917ceae25f661e523db4b,span_extraction_lane_002,True,True,False,True,True,Q002,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,police_direct,police_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-4118c59d922b01ae156ccde3,BRMSPAN-20260802-5bb02c02facc403990ed5e10,BRMGRS-20260802-d353a4d6348095ec1a5178be,RMSRD-20260802-2c195c6d3cd5d1af8540,RMSRD-20260802-2c195c6d3cd5d1af8540,BRM5C-BRM5-20260731-13411-01,Bay,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,police_direct,same_source_possible,very_high,strong,core_finding_candidate,table_row_includes_explicit_base_annual_salary_and_hourly_rate;direct_numeric_values_present,The snippet includes explicit numeric base pay values (annual salary and hourly rate) for Police Officer (Prob.).,police,false,0.94,,ARTICLEXXI RATES OF PAY,42223,42304,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13411-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""scout_target_id"": ""BRM5-20260731-13411""}",bbae9c5bb9fa8481960cc17316850e1139989a259f2e4fa22c47aa1edcfe9908,bbae9c5bb9fa8481960cc17316850e1139989a259f2e4fa22c47aa1edcfe9908,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-5bb02c02facc403990ed5e10,span_extraction_lane_003,True,True,False,False,True,Q001|Q003,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,police_direct,police_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-b81b9aeff171db599a4f9018,BRMSPAN-20260802-b99926d4fde9f252b186baf1,BRMGRS-20260802-d353a4d6348095ec1a5178be,RMSRD-20260802-2c195c6d3cd5d1af8540,RMSRD-20260802-2c195c6d3cd5d1af8540,BRM5C-BRM5-20260731-13411-01,Bay,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,police_direct,same_source_possible,very_high,strong,core_finding_candidate,table_row_includes_explicit_base_annual_salary_and_hourly_rate;direct_numeric_values_present,The snippet includes explicit numeric base pay values (annual salary and hourly rate) for Police Officer (Prob.).,police,false,0.94,,,42582,42663,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13411-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""scout_target_id"": ""BRM5-20260731-13411""}",01ce7482489df6abb5989abcdf965bbf95686afa4eca77343b8e249c20a62071,01ce7482489df6abb5989abcdf965bbf95686afa4eca77343b8e249c20a62071,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-b99926d4fde9f252b186baf1,span_extraction_lane_003,True,True,False,False,True,Q001|Q003,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,police_direct,police_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-a0f12b8e3258e8fa0afece1b,BRMSPAN-20260802-fc7e972d9e17a1429229f3e9,BRMGRS-20260802-d353a4d6348095ec1a5178be,RMSRD-20260802-2c195c6d3cd5d1af8540,RMSRD-20260802-2c195c6d3cd5d1af8540,BRM5C-BRM5-20260731-13411-01,Bay,OH,Midwest,pdf,cba,medium_priority_verification_ready,cba_arbitration_factfinding_hint,,quant_base_wage_direct_value,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,police_direct,same_source_possible,very_high,strong,core_finding_candidate,table_row_includes_explicit_base_annual_salary_and_hourly_rate;direct_numeric_values_present,The snippet includes explicit numeric base pay values (annual salary and hourly rate) for Police Officer (Prob.).,police,false,0.94,,,42939,43020,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13411-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1309.pdf"", ""scout_target_id"": ""BRM5-20260731-13411""}",024420f64017c18f19170d7addf0c109cb30ce985ad9315ee403ccd3e6b855f4,024420f64017c18f19170d7addf0c109cb30ce985ad9315ee403ccd3e6b855f4,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-fc7e972d9e17a1429229f3e9,span_extraction_lane_003,True,True,False,False,True,Q001|Q003,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,police_direct,police_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-a0d7d5a87b3ab92c65860f53,BRMSPAN-20260802-d8c7bb10b93f89e0eff5b162,BRMGRS-20260802-1e3b7e43ec604235d607c027,RMSRD-20260802-7d828651b43703f76290,RMSRD-20260802-7d828651b43703f76290,BRM5C-BRM5-20260731-13483-03,Franklin,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,non_safety_direct,same_source_possible,high,strong,quantitative_normalization_candidate,explicit_step_table_with_currency_amounts;city_step_labels_and_multiple_values_present,Provides an explicit step progression table with dollar amounts for multiple steps for “City Park Services Worker”.,non_safety,false,0.94,,STEP A STEPB STEPC STEPD,56373,56499,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13483-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""scout_target_id"": ""BRM5-20260731-13483""}",4dbc017b3a1f37e5caac341123bc55eb1601462f1a1519bf33209111ca950c28,4dbc017b3a1f37e5caac341123bc55eb1601462f1a1519bf33209111ca950c28,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-d8c7bb10b93f89e0eff5b162,span_extraction_lane_003,True,True,False,False,True,Q006,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,non_safety_direct,non_safety_direct,,not_required_original_label_preserved,original_rating_preserved,[]
BRMGRT-20260802-10c29caadd1a97a4b0f83c4f,BRMSPAN-20260802-e830f23e9b6b1a83ffcedde2,BRMGRS-20260802-1e3b7e43ec604235d607c027,RMSRD-20260802-7d828651b43703f76290,RMSRD-20260802-7d828651b43703f76290,BRM5C-BRM5-20260731-13483-03,Franklin,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,same_source_possible,high,strong,quantitative_normalization_candidate,explicit_step_table_with_currency_amounts;multiple_city_step_values_present_for_position,Provides an explicit step progression table with dollar amounts for “Deputy Income Tax Administrator” across listed steps.,unclear,false,0.94,,STEP A STEPB STEPC,56922,57032,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13483-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""scout_target_id"": ""BRM5-20260731-13483""}",de7cad624bc730d101fc6b1bc968eb362b56f52130bff697c1542809479e6cac,de7cad624bc730d101fc6b1bc968eb362b56f52130bff697c1542809479e6cac,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e830f23e9b6b1a83ffcedde2,span_extraction_lane_003,True,True,False,False,True,Q006,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,true,false,false,true,unclear,non_safety_direct,BRMSIDEREC-20260803-1d573a9269a9c5a97261dd3e,relabeled_from_unclear,high,"[""source_title_anchor:non_safety_direct""]"
BRMGRT-20260802-78c899e214c928ad58032e62,BRMSPAN-20260802-fd559a648366682014212c5f,BRMGRS-20260802-1e3b7e43ec604235d607c027,RMSRD-20260802-7d828651b43703f76290,RMSRD-20260802-7d828651b43703f76290,BRM5C-BRM5-20260731-13483-03,Franklin,OH,Midwest,pdf,cba,high_priority_verification_ready,cba_arbitration_factfinding_hint,non_safety_constraint_signal,quant_step_schedule_progression,quantitative_compensation,quantitative_direct_text_claim_ready,direct,none,none,unclear,same_source_possible,high,strong,quantitative_normalization_candidate,explicit_step_table_with_currency_amounts;multiple_city_step_values_present_for_position,Provides an explicit step progression table with dollar amounts for “Deputy Income Tax Administrator” across listed steps.,unclear,false,0.94,,STEPA STEPB STEPC,56080,56191,gabriel_rating_lane_003,valid_rating,,"{""candidate_id"": ""BRM5C-BRM5-20260731-13483-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1280.pdf"", ""scout_target_id"": ""BRM5-20260731-13483""}",3c59a3d3e06998a1250db7195050749ce07dd23a206b9da8267085005931032d,3c59a3d3e06998a1250db7195050749ce07dd23a206b9da8267085005931032d,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-fd559a648366682014212c5f,span_extraction_lane_003,True,True,False,False,True,Q006,ingested_valid_rating,codified_metadata_only,not_run_preserved_input_label,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,true,false,false,true,unclear,non_safety_direct,BRMSIDEREC-20260803-1dd346910cc5f45877a5503e,relabeled_from_unclear,high,"[""source_title_anchor:non_safety_direct""]"
