tag_id,root_compensation_event_id,tag_family,tag,validation_basis,technical_lineage
TAG-569928422ed4b00d264c5b58,ROOTCOMP-d6fefb719f3dacf660eaa5e1,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-62ab03d4a876b33b63946265""]"
TAG-7d0d63fa1bb9a0c2a918298b,ROOTCOMP-1270a740fa570d096bb60983,compensation_outcome,across_the_board_raise,bounded event evidence and corrected compensation metadata,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
TAG-ee451dcd6d0c2b4b02be5f10,ROOTCOMP-31925e7a7b94d67d6bba46c3,compensation_outcome,step_progression,bounded event evidence and corrected compensation metadata,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
TAG-853f43277bbb88c27eb5c2d8,ROOTCOMP-66773447e6a05796c9613a66,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
TAG-ed68dd17ee3ee41a8880a7fb,ROOTCOMP-e76ba8adc52be1515bc9c465,compensation_outcome,across_the_board_raise,bounded event evidence and corrected compensation metadata,"[""WCM-9a0f795650d7dbf24838460a""]"
TAG-fa79bf7e7d8a0b79b26611cc,ROOTCOMP-204b446134bf9cb11c02cc43,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
TAG-ee43805eadaf3e01290c3c60,ROOTCOMP-b54559e6c56aa7e4635de327,compensation_outcome,across_the_board_raise,bounded event evidence and corrected compensation metadata,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
TAG-6b73ac6f52133f2d5f568339,ROOTCOMP-6bf31b7372232ed035c12381,compensation_outcome,stipend_or_premium,bounded event evidence and corrected compensation metadata,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
TAG-e4f5241482900ea861dd623a,ROOTCOMP-1f2c469433c46c526f950716,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
TAG-c3cde323e643e9ada7c9608f,ROOTCOMP-df127a7827589ca659be5a16,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-9dbe287ee1b1418399a47b2c""]"
TAG-59765dde0c3720b31c09312a,ROOTCOMP-a50b90b39d2fad8b60c7012a,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
TAG-6e491304a63d45f57d37ecda,ROOTCOMP-619853891ac75c5d60ca57d7,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
TAG-0ed1c06ff466f0b9861b57aa,ROOTCOMP-4bf8e0842357958edb258979,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-20a631d9c0de37aed4d0904a""]"
TAG-f79ca7e8a1983e110d5ccb41,ROOTCOMP-af3c5cdfd4b057b50f87727e,compensation_outcome,retroactive_pay,bounded event evidence and corrected compensation metadata,"[""WCM-a47e2950de5a3ecce227a477""]"
