missingness_id,municipality,state,compensation_cycle_or_year,side,role_unit,current_claim_family,current_evidence_status,missing_external_variable,why_variable_matters,expected_claim_upgrade,search_priority,search_family,expected_public_availability,likely_source_family,target_query_hints,existing_source_linkage_fields,external_search_executed,resolution_status,compacted_search_target_id,candidate_discovery_only
EXTMISS-e9560100d478d347f0240556,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"actual wages paid, total earnings, overtime, premiums, retroactive payments",upgrades implementation from documented term to paid outcome,upgrades implementation from documented term to paid outcome,Tier 1,payroll_and_earnings,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear actual wages paid,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-4d17b421557af5694f3c0d6c,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"authorized positions, filled positions, vacancy rate, layoffs, attrition",tests vacancy and staffing-reduction mechanisms with denominators,tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,staffing_and_headcount,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear authorized positions,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-238a0ba22372dbcb5383e4ec,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",tests recruitment and retention pressure with comparable administrative outcomes,tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,recruitment_and_retention,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear applicant counts,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-5eeb8ab532a32301ac80ce39,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"employee tenure, step placement, rank progression, promotion timing, incumbent and new-hire tier",distinguishes contractual progression from compositional or tenure differences,distinguishes contractual progression from compositional or tenure differences,Tier 2,tenure_and_progression,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear employee tenure,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-63bcb8646f502c31f516d7a2,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"payroll-effective date, ordinance adoption, budget appropriation, contract ratification, payment confirmation",confirms whether negotiated or adopted terms became operative and paid,confirms whether negotiated or adopted terms became operative and paid,Tier 1,implementation,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear payroll-effective date,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-d63db3b5740d1a2c740cf5c9,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects",separates wages from benefits and measures recurring total-compensation effects,separates wages from benefits and measures recurring total-compensation effects,Tier 2,benefits_and_total_compensation,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear pension contributions,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-74473e66fbe11e22e1bc4f2c,true
EXTMISS-9893220c0614b7fbd14e33d3,Abernathy,TX,2022,unclear,unclear,other_pay_setting_mechanism,formally_adopted,"authoritative coordinates, urbanicity, population, fiscal capacity, labor-law regime",enables hex-density placement and contextual interpretation,enables hex-density placement and contextual interpretation,Tier 2,urbanicity_and_context,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Abernathy TX 2022 unclear authoritative coordinates,municipality|state|cycle|side|role,false,resolved_by_bulk_reference,,true
EXTMISS-d49703edf95fc19f2d93a773,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,retroactivity_implementation,formally_adopted,"actual wages paid, total earnings, overtime, premiums, retroactive payments",upgrades implementation from documented term to paid outcome,upgrades implementation from documented term to paid outcome,Tier 1,payroll_and_earnings,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear actual wages paid,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,true
EXTMISS-fdf6802b677d755bb5439613,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,retroactivity_implementation,formally_adopted,"authorized positions, filled positions, vacancy rate, layoffs, attrition",tests vacancy and staffing-reduction mechanisms with denominators,tests vacancy and staffing-reduction mechanisms with denominators,Tier 1,staffing_and_headcount,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear authorized positions,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,true
EXTMISS-e602eb50bf17dbec080aea30,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,unclear,retroactivity_implementation,formally_adopted,"applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies",tests recruitment and retention pressure with comparable administrative outcomes,tests recruitment and retention pressure with comparable administrative outcomes,Tier 1,recruitment_and_retention,moderate,"municipal payroll/open data, adopted budget, HR report, Census/USDA",Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear applicant counts,municipality|state|cycle|side|role,false,candidate_discovered,EXTSEARCH-2a3ad9d7d2c4c2fcab09c416,true
