tag_id,root_compensation_event_id,tag_family,tag,validation_basis,technical_lineage
TAG-61a685b78f75b00465b50212,ROOTCOMP-d6fefb719f3dacf660eaa5e1,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-62ab03d4a876b33b63946265""]"
TAG-a21796013f0a8882428046a6,ROOTCOMP-1270a740fa570d096bb60983,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
TAG-3933d269d778c60428d41246,ROOTCOMP-31925e7a7b94d67d6bba46c3,pressure_channel,fiscal_constraint,bounded event evidence and corrected compensation metadata,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
TAG-14d490e8b11d1a053524a73e,ROOTCOMP-66773447e6a05796c9613a66,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
TAG-4b3c988f931424a3e04a4658,ROOTCOMP-e76ba8adc52be1515bc9c465,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9a0f795650d7dbf24838460a""]"
TAG-1943a90714367c4f632aa980,ROOTCOMP-204b446134bf9cb11c02cc43,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
TAG-5bbf379cbfc837b00241f43f,ROOTCOMP-b54559e6c56aa7e4635de327,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
TAG-366c2942cfd3f7a25444776e,ROOTCOMP-6bf31b7372232ed035c12381,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
TAG-ce37b13285ce384fbba442fa,ROOTCOMP-1f2c469433c46c526f950716,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
TAG-373647655006915e1a4fb3c1,ROOTCOMP-df127a7827589ca659be5a16,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9dbe287ee1b1418399a47b2c""]"
TAG-a699bc2f76910356be3959a8,ROOTCOMP-a50b90b39d2fad8b60c7012a,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
TAG-e1098c914d239e96842ce503,ROOTCOMP-619853891ac75c5d60ca57d7,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
TAG-34c13b2ed4b83825e4ad8f28,ROOTCOMP-4bf8e0842357958edb258979,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-20a631d9c0de37aed4d0904a""]"
TAG-39124d5c0ad28059b5e07ca9,ROOTCOMP-af3c5cdfd4b057b50f87727e,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-a47e2950de5a3ecce227a477""]"
TAG-4b9af2cd88da0e6f6ee38a64,ROOTCOMP-72235c06cc403d6cea3b6108,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]"
TAG-f16ed4712b332f52ac200afc,ROOTCOMP-8579bd70344616ba47d5c4e0,pressure_channel,fiscal_constraint,bounded event evidence and corrected compensation metadata,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
TAG-4ceeb50c9fa92450705b5931,ROOTCOMP-cd2dd58ddfb43b62d0ba45f8,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-a70c297ef779576e63ac7009""]"
TAG-1724eb876023c99a58927410,ROOTCOMP-226c66c47fffae6c84293edf,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-c840cf3435c0f6e8f6fe78ea""]"
TAG-a19947e0d48b200324a7d1b6,ROOTCOMP-ad06d93710f6ad3ce533ac78,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6e267fbf76b2c47a36172d0c""]"
TAG-8452c853d3f9f9caf9a55202,ROOTCOMP-6aaf42989f0e08cfa5317f84,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-5bec336493ea98dd689f59b1""]"
TAG-cc5fcfb7d9e3ff22204a6ffb,ROOTCOMP-87947013413c80c3384df066,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6533fc6199fcb1389c208757""]"
TAG-622323a5b3ae10fc9c92f0ae,ROOTCOMP-e9fb536041986c9ead2da26e,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6ba1b0c7e88e5ae28047f408""]"
TAG-386e0e17f6f6dbf22269cc1b,ROOTCOMP-1262eb380252cc321a5399ba,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-961a470fc8373e3b048e1eae"",""WCM-d5a0161ad77d4e185474af39""]"
TAG-1a365101ca0c13ebaaa069dc,ROOTCOMP-c3de95e9cf6bf33e7194be44,pressure_channel,fiscal_constraint,bounded event evidence and corrected compensation metadata,"[""WCM-fc808071f49a88c72d3e0476""]"
TAG-74764cadc5540c2799acc3a8,ROOTCOMP-b486f061948be93581557e31,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-0e013f37fdbe835a8b23458e""]"
TAG-73e92453457c3e6253cbdad6,ROOTCOMP-77a009d60f6be726a9525f32,pressure_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-07320828baa6abf5cfd3efa9"",""WCM-c0ad165933c29101fc894405""]"
