tag_id,root_compensation_event_id,tag_family,tag,validation_basis,technical_lineage
TAG-a8d5ba23be4d8eb54b4d831b,ROOTCOMP-d6fefb719f3dacf660eaa5e1,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-62ab03d4a876b33b63946265""]"
TAG-35565bb0060fd4e0abc6ffbd,ROOTCOMP-1270a740fa570d096bb60983,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
TAG-fc02d9a902c17cbf4e8b8d32,ROOTCOMP-31925e7a7b94d67d6bba46c3,institutional_channel,budget_pay_plan_process,bounded event evidence and corrected compensation metadata,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
TAG-4f29b16bba1e5bea9e274edc,ROOTCOMP-31925e7a7b94d67d6bba46c3,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
TAG-4e7ff83c2c9e94eaf85a44f0,ROOTCOMP-66773447e6a05796c9613a66,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
TAG-66bf3bde9b3f035d80a41812,ROOTCOMP-e76ba8adc52be1515bc9c465,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9a0f795650d7dbf24838460a""]"
TAG-9311943f344b0fcf71744f4f,ROOTCOMP-204b446134bf9cb11c02cc43,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
TAG-7a3b0e6fa73aea3f11e9754a,ROOTCOMP-b54559e6c56aa7e4635de327,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
TAG-a82b88f2d1124d300c2e85f8,ROOTCOMP-6bf31b7372232ed035c12381,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
TAG-6f3483d2cd5401c348576a0b,ROOTCOMP-1f2c469433c46c526f950716,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
TAG-02fafc99fd8c44adedac6ccd,ROOTCOMP-df127a7827589ca659be5a16,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-9dbe287ee1b1418399a47b2c""]"
TAG-3d169d8dab471c79b9355b87,ROOTCOMP-a50b90b39d2fad8b60c7012a,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
TAG-9872013ca08fcc6fd376e181,ROOTCOMP-619853891ac75c5d60ca57d7,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
TAG-400780a5686162f058d51a6c,ROOTCOMP-4bf8e0842357958edb258979,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-20a631d9c0de37aed4d0904a""]"
TAG-bfc8d328a769c5e70e457112,ROOTCOMP-af3c5cdfd4b057b50f87727e,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-a47e2950de5a3ecce227a477""]"
TAG-4395497e6978791d7ed6d978,ROOTCOMP-72235c06cc403d6cea3b6108,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]"
TAG-c881d0fc0d196ca7fe66062e,ROOTCOMP-8579bd70344616ba47d5c4e0,institutional_channel,budget_pay_plan_process,bounded event evidence and corrected compensation metadata,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
TAG-4510fb2d3704c0a9c43974bc,ROOTCOMP-8579bd70344616ba47d5c4e0,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
TAG-4a971b9302ab0912c70a1666,ROOTCOMP-8579bd70344616ba47d5c4e0,institutional_channel,settlement_or_mou,bounded event evidence and corrected compensation metadata,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
TAG-cda8c88006f48179920c634b,ROOTCOMP-cd2dd58ddfb43b62d0ba45f8,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-a70c297ef779576e63ac7009""]"
TAG-31b11863a4c22326d6b0b403,ROOTCOMP-226c66c47fffae6c84293edf,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-c840cf3435c0f6e8f6fe78ea""]"
TAG-554e4bdc0765d868b2f7b28e,ROOTCOMP-ad06d93710f6ad3ce533ac78,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6e267fbf76b2c47a36172d0c""]"
TAG-aff42a5b87cfd84696644813,ROOTCOMP-6aaf42989f0e08cfa5317f84,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-5bec336493ea98dd689f59b1""]"
TAG-0535444ffe4a4c9372d898d4,ROOTCOMP-87947013413c80c3384df066,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6533fc6199fcb1389c208757""]"
TAG-483537867cb1dac135dff223,ROOTCOMP-e9fb536041986c9ead2da26e,institutional_channel,none_identified,bounded event evidence and corrected compensation metadata,"[""WCM-6ba1b0c7e88e5ae28047f408""]"
TAG-da42eca34d1a41d9f0c13c78,ROOTCOMP-1262eb380252cc321a5399ba,institutional_channel,ordinance_council_adoption,bounded event evidence and corrected compensation metadata,"[""WCM-961a470fc8373e3b048e1eae"",""WCM-d5a0161ad77d4e185474af39""]"
TAG-09ce536b7c7b6ec360c71794,ROOTCOMP-c3de95e9cf6bf33e7194be44,institutional_channel,budget_pay_plan_process,bounded event evidence and corrected compensation metadata,"[""WCM-fc808071f49a88c72d3e0476""]"
