hex_cell_id,geography_panel,mechanism_view_name,side_view,implementation_event_count,root_compensation_event_count,scale_group,shared_grid
CONUS50-+00004-+00013,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,timing_implementation:one_time,non_safety,1,1,timing_implementation:one_time,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00004-+00013,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50--00025-+00029,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00025-+00029,lower_48,compensation_outcome:retroactive_pay,non_safety,2,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50--00025-+00029,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50--00025-+00029,lower_48,timing_implementation:retroactive,non_safety,2,2,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50--00025-+00029,lower_48,pressure_channel:none_identified,non_safety,2,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:across_the_board_raise,non_safety,2,2,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:classification_band_change,non_safety,1,1,compensation_outcome:classification_band_change,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,timing_implementation:contract_ratification,non_safety,1,1,timing_implementation:contract_ratification,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,timing_implementation:payroll_effective_date,non_safety,4,6,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,pressure_channel:none_identified,non_safety,4,6,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,institutional_channel:none_identified,non_safety,4,5,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:retroactive_pay,non_safety,4,4,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:step_progression,non_safety,2,2,compensation_outcome:step_progression,EPSG:5070_50km_fixed
