municipality_id,municipality,state,state_fips,county_fips,place_fips,county_subdivision_fips,latitude,longitude,coordinate_source,coordinate_reference_year,coordinate_match_method,coordinate_match_confidence,coordinate_conflict_flag,lower_48_flag,alaska_flag,hawaii_flag,coordinate_missing_flag
cog_2025_176161,Abernathy,TX,48,48189,00160,,33.826811,-101.85205,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_193721,Acworth,NH,33,33019,,00260,43.213923,-72.287033,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_193998,Adams,PA,42,42019,,00300,40.717313,-80.006372,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_202835,Adams,WI,55,55045,,00325,42.726794,-89.778894,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_194691,Addison,IL,17,17043,00243,,41.930782,-88.008987,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_127192,Afton,KS,20,20173,,00425,37.611978,-97.652831,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_167028,Alaiedon,MI,26,26065,,00800,42.632866,-84.4256,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_191873,Alban,WI,55,55097,,00725,44.633644,-89.276679,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_207959,Albion,IN,18,18113,00820,,41.396592,-85.418694,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_131402,Albion,NY,36,36075,,01055,43.489292,-76.030916,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_194891,Alburtis,PA,42,42077,00660,,40.506632,-75.600226,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_170800,Alden,NY,36,36029,,01099,42.907261,-78.520616,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_170299,Alexandria,NJ,34,34019,,00550,40.594532,-75.026566,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_170697,Alfred,NY,36,36003,,01209,42.233277,-77.795082,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_166790,Algonac,MI,26,26147,01180,,42.620867,-82.533915,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_166842,Allegan,MI,26,26005,,01280,42.557754,-85.833845,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_209428,Allegheny,PA,42,42129,,00892,40.614925,-79.639675,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_164776,Altamont,KS,20,20099,01550,,37.185207,-95.291909,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_131201,Altamont,NY,36,36001,01517,,42.705345,-74.033633,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_172701,American,OH,39,39003,,01756,40.769378,-84.17822,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_205132,Amherst,OH,39,39093,01798,,41.405329,-82.231725,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_212073,Amsterdam,NY,36,36057,02066,,42.941628,-74.190566,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_131334,Ancram,NY,36,36021,,02099,42.035959,-73.580146,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_172895,Anderson,OH,39,39061,,01980,39.08822,-84.354208,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_161508,Andover,CT,09,09110,,01080,41.732982,-72.374658,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_190414,Andover,ME,23,23017,,01325,44.591234,-70.772424,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_190200,Andrew,IA,19,19097,02125,,42.153194,-90.592277,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_170489,Angola,NY,36,36029,02198,,42.637885,-79.029516,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
cog_2025_170900,Annsville,NY,36,36065,,02253,43.345241,-75.614699,U.S. Census Bureau 2024 National Gazetteer,2024,stable state/county/local-geography FIPS join,high,false,true,false,false,false
