municipality_id,municipality,state,urbanicity,urban_land_share,classification_method,reference_year,suburban_classification_created
cog_2025_176161,Abernathy,TX,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193721,Acworth,NH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193998,Adams,PA,unknown,0.473748,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_202835,Adams,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194691,Addison,IL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_127192,Afton,KS,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167028,Alaiedon,MI,unknown,0.059378,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_191873,Alban,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_207959,Albion,IN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131402,Albion,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194891,Alburtis,PA,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170800,Alden,NY,unknown,0.038964,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170299,Alexandria,NJ,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170697,Alfred,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166790,Algonac,MI,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166842,Allegan,MI,unknown,0.080353,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209428,Allegheny,PA,unknown,0.160401,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_164776,Altamont,KS,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131201,Altamont,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172701,American,OH,urban,0.509592,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_205132,Amherst,OH,urban,0.918746,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_212073,Amsterdam,NY,urban,0.9165,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131334,Ancram,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172895,Anderson,OH,urban,0.744429,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161508,Andover,CT,unknown,,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_190414,Andover,ME,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_190200,Andrew,IA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170489,Angola,NY,urban,0.659942,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170900,Annsville,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_136703,Antigo,WI,unknown,0.015625,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167304,Antrim,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194802,Arcade,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161571,Archer,FL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170675,Ardsley,NY,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209790,Arena,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_128552,Arlington,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161950,Arnoldsville,GA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208652,Arrow Rock,MO,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_160575,Ashland,AL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
