hex_cell_id,geography_panel,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude,institutional_channel,compensation_outcome,timing_channel,pressure_channel,mechanism_view_name,side,implementation_status_scope,implementation_event_count,root_compensation_event_count,unique_municipality_count,unique_cycle_count,corroborated_event_count,recurring_event_count,one_time_event_count,urban_event_count,rural_event_count,unknown_urbanicity_count,confidence_high_count,confidence_moderate_count,disclosure_flags
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,ordinance_council_adoption,,,,institutional_channel:ordinance_council_adoption,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,,retroactive_pay,,,compensation_outcome:retroactive_pay,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,,,ordinance_adoption,,timing_implementation:ordinance_adoption,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,,,payroll_effective_date,,timing_implementation:payroll_effective_date,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,,,retroactive,,timing_implementation:retroactive,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_160809,alaska_inset,0.0,0.0,56.29518,-158.391784,,,,none_identified,pressure_channel:none_identified,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,0,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_122702,alaska_inset,0.0,0.0,61.573919,-159.246921,ordinance_council_adoption,,,,institutional_channel:ordinance_council_adoption,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,1,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_122702,alaska_inset,0.0,0.0,61.573919,-159.246921,,across_the_board_raise,,,compensation_outcome:across_the_board_raise,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,1,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_122702,alaska_inset,0.0,0.0,61.573919,-159.246921,,,recurring,,timing_implementation:recurring,remains_unclear,formally_adopted|implemented|paid_or_observed,1,1,1,1,0,1,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
ALASKA_INSET-cog_2025_122702,alaska_inset,0.0,0.0,61.573919,-159.246921,,,,none_identified,pressure_channel:none_identified,remains_unclear,formally_adopted|implemented|paid_or_observed,1,2,1,1,0,1,0,0,1,0,1,0,event_counts_are_documentary_not_prevalence
