search_target_id,missingness_id,search_priority,search_family,municipality,state,compensation_cycle_or_year,side,target_query_hints,expected_claim_upgrade,checkpoint_status,lane_id,external_search_executed
EXTTARGET-493914af4730faa15f168204,EXTMISS-e9560100d478d347f0240556,Tier 1,payroll_and_earnings,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_004,false
EXTTARGET-211fe64ad3075bd0a6da0895,EXTMISS-4d17b421557af5694f3c0d6c,Tier 1,staffing_and_headcount,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_003,false
EXTTARGET-e1f155ebe99cdaa898c0a8ca,EXTMISS-238a0ba22372dbcb5383e4ec,Tier 1,recruitment_and_retention,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_002,false
EXTTARGET-0188f5c6972e4f91f825d22b,EXTMISS-5eeb8ab532a32301ac80ce39,Tier 2,tenure_and_progression,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_003,false
EXTTARGET-621e831eb8b0f4623adde551,EXTMISS-63bcb8646f502c31f516d7a2,Tier 1,implementation,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_001,false
EXTTARGET-f8eda1665e10774eddcb66b4,EXTMISS-d63db3b5740d1a2c740cf5c9,Tier 2,benefits_and_total_compensation,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_004,false
EXTTARGET-9307bfd155e1b200b702141f,EXTMISS-9893220c0614b7fbd14e33d3,Tier 2,urbanicity_and_context,Abernathy,TX,2022,unclear,Abernathy TX 2022 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_001,false
EXTTARGET-d4bc9d884677d7f7ee8b2443,EXTMISS-d49703edf95fc19f2d93a773,Tier 1,payroll_and_earnings,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_005,false
EXTTARGET-40c6da17f1ae752dc842181a,EXTMISS-fdf6802b677d755bb5439613,Tier 1,staffing_and_headcount,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_003,false
EXTTARGET-ad90919b8df5381fd08ed706,EXTMISS-e602eb50bf17dbec080aea30,Tier 1,recruitment_and_retention,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_001,false
EXTTARGET-732cbee68552bb1a2c0cfdd2,EXTMISS-c08bd2bca62a4ade6653443f,Tier 2,tenure_and_progression,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_005,false
EXTTARGET-e9404658cb490feb084cb0ae,EXTMISS-69b0b047218035ed046c4798,Tier 1,implementation,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_002,false
EXTTARGET-0f84a6a89e51918691996006,EXTMISS-28415c0be4540e119b45a800,Tier 2,benefits_and_total_compensation,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_001,false
EXTTARGET-9beeefa9eddb29dbb57a3e48,EXTMISS-b23a8f3538c62947289c7462,Tier 2,urbanicity_and_context,Acworth,NH,undated-source-B4X2500LIVE-20260729-006176,unclear,Acworth NH undated-source-B4X2500LIVE-20260729-006176 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_003,false
EXTTARGET-68b2c58904403e43762706ad,EXTMISS-2d4a5d5fe40b90a1cb7aac67,Tier 1,payroll_and_earnings,Adams,PA,2026,police,Adams PA 2026 police actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_002,false
EXTTARGET-cfe92f1a324495d53e0a836f,EXTMISS-bb187f2a49b2ba417d213863,Tier 1,staffing_and_headcount,Adams,PA,2026,police,Adams PA 2026 police authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_005,false
EXTTARGET-5606e73d54c240cf25691331,EXTMISS-f30aed3cd1b39e74f4b3a3c3,Tier 1,recruitment_and_retention,Adams,PA,2026,police,Adams PA 2026 police applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_001,false
EXTTARGET-15805e054d60f214f7ea157a,EXTMISS-31027d0a0304ad7954b71d91,Tier 2,tenure_and_progression,Adams,PA,2026,police,Adams PA 2026 police employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_004,false
EXTTARGET-b9e191de295ac1fe92f9772a,EXTMISS-49af80c97801b478be9bd61e,Tier 1,implementation,Adams,PA,2026,police,Adams PA 2026 police payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_005,false
EXTTARGET-aca8ec962b98cf0f46f78a97,EXTMISS-061cfa7bd46c148073ef2639,Tier 2,benefits_and_total_compensation,Adams,PA,2026,police,Adams PA 2026 police pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_001,false
EXTTARGET-f62a29d54d1c31c2ebc0abff,EXTMISS-8d2819788074c2e4bc50b294,Tier 2,urbanicity_and_context,Adams,PA,2026,police,Adams PA 2026 police authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_003,false
EXTTARGET-3ca6ce8de63acc34ba662d6e,EXTMISS-c3907fd1ac4c9550857412fb,Tier 1,payroll_and_earnings,Adams,WI,2024,non_safety,Adams WI 2024 non_safety actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_002,false
EXTTARGET-9a470edbc2fa9e37f75fab35,EXTMISS-1e147e5e3689448b544277c2,Tier 1,staffing_and_headcount,Adams,WI,2024,non_safety,Adams WI 2024 non_safety authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_004,false
