duplicate_candidate_id,canonical_candidate_id,duplicate_basis,confidence,search_target_id
EXTCAND-0a72026e1cfba5f4b5f0d3f9,EXTCAND-0a72026e1cfba5f4b5f0d3f9,canonical URL and normalized title,high,EXTSEARCH-537e75ff807ab9f71b83765e
EXTCAND-b96b2b0ecb8b0d8a4c44643e,EXTCAND-b96b2b0ecb8b0d8a4c44643e,canonical URL and normalized title,high,EXTSEARCH-86754b1e8dd9873196a07fb2
EXTCAND-270c3631644174ed584fb0ff,EXTCAND-270c3631644174ed584fb0ff,canonical URL and normalized title,high,EXTSEARCH-86754b1e8dd9873196a07fb2
EXTCAND-ad0aac068422b6cfd23c7ccd,EXTCAND-ad0aac068422b6cfd23c7ccd,canonical URL and normalized title,high,EXTSEARCH-86754b1e8dd9873196a07fb2
EXTCAND-90994522771d4b652b15b937,EXTCAND-90994522771d4b652b15b937,canonical URL and normalized title,high,EXTSEARCH-86754b1e8dd9873196a07fb2
EXTCAND-aec0a961d005564e7b7ff634,EXTCAND-aec0a961d005564e7b7ff634,canonical URL and normalized title,high,EXTSEARCH-42c6291331c8b2c267217669
EXTCAND-08fe0fe2a0b36cea5292f2fd,EXTCAND-08fe0fe2a0b36cea5292f2fd,canonical URL and normalized title,high,EXTSEARCH-42c6291331c8b2c267217669
EXTCAND-1c95bd1a688a9659f813d406,EXTCAND-1c95bd1a688a9659f813d406,canonical URL and normalized title,high,EXTSEARCH-42c6291331c8b2c267217669
EXTCAND-d74c98b59140613772727e4b,EXTCAND-d74c98b59140613772727e4b,canonical URL and normalized title,high,EXTSEARCH-42c6291331c8b2c267217669
EXTCAND-21e94bc25232f40d03a95dfd,EXTCAND-21e94bc25232f40d03a95dfd,canonical URL and normalized title,high,EXTSEARCH-42c6291331c8b2c267217669
EXTCAND-e09b0a3e4ef43f470b220065,EXTCAND-e09b0a3e4ef43f470b220065,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-e3593c241d0a7242c525a20a,EXTCAND-e3593c241d0a7242c525a20a,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-1ed01bd3a61003527a9d5a17,EXTCAND-1ed01bd3a61003527a9d5a17,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-1acb25b67987139f3532af43,EXTCAND-1acb25b67987139f3532af43,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-d67f473295a1b4420481e9bc,EXTCAND-d67f473295a1b4420481e9bc,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-fe6b1c7b619d6e395da55e2b,EXTCAND-fe6b1c7b619d6e395da55e2b,canonical URL and normalized title,high,EXTSEARCH-b43a574a80a079de45e4f09c
EXTCAND-bf0b5cec790c45e60bbdaf5e,EXTCAND-fe6b1c7b619d6e395da55e2b,canonical URL and normalized title,high,EXTSEARCH-4a611d888f573c1ba5fef06c
EXTCAND-db6539df4392332633e0e7a8,EXTCAND-46047787799800e77d7f3613,canonical URL and normalized title,high,EXTSEARCH-4a611d888f573c1ba5fef06c
EXTCAND-bf0b5cec790c45e60bbdaf5e,EXTCAND-fe6b1c7b619d6e395da55e2b,canonical URL and normalized title,high,EXTSEARCH-4a611d888f573c1ba5fef06c
EXTCAND-fc5350cf919c1b59cd9247a4,EXTCAND-fc5350cf919c1b59cd9247a4,canonical URL and normalized title,high,EXTSEARCH-8817d680fe1063b0fcfe77b2
EXTCAND-cc86d42257a6f2901ad154b6,EXTCAND-cc86d42257a6f2901ad154b6,canonical URL and normalized title,high,EXTSEARCH-8817d680fe1063b0fcfe77b2
EXTCAND-234e912017a151160ca7b2a4,EXTCAND-234e912017a151160ca7b2a4,canonical URL and normalized title,high,EXTSEARCH-8817d680fe1063b0fcfe77b2
EXTCAND-f5d4a260c6ee7739c4220504,EXTCAND-3116c9e0a8f4e1c2fd2842bf,canonical URL and normalized title,high,EXTSEARCH-5cba036243bef3b3dc715c87
EXTCAND-0ffcaf78ba8e971f5f7853f0,EXTCAND-08be53f49edf021cc9decd98,canonical URL and normalized title,high,EXTSEARCH-a3764d2fea626653d2303be1
EXTCAND-4c2ea4ffb007552a7e8b6cee,EXTCAND-0e252d6376ad9dbc88175bea,canonical URL and normalized title,high,EXTSEARCH-a3764d2fea626653d2303be1
EXTCAND-e25571d244af1b0377f56ef2,EXTCAND-e25571d244af1b0377f56ef2,canonical URL and normalized title,high,EXTSEARCH-a3764d2fea626653d2303be1
EXTCAND-e2557e1b2d0292c984b2ac6f,EXTCAND-e2557e1b2d0292c984b2ac6f,canonical URL and normalized title,high,EXTSEARCH-a3764d2fea626653d2303be1
EXTCAND-0ffcaf78ba8e971f5f7853f0,EXTCAND-08be53f49edf021cc9decd98,canonical URL and normalized title,high,EXTSEARCH-a3764d2fea626653d2303be1
EXTCAND-e138acd1451aedd5d12e1e57,EXTCAND-e138acd1451aedd5d12e1e57,canonical URL and normalized title,high,EXTSEARCH-b8c0c3be116a136a8d749ae0
EXTCAND-a5014ebcbc8c763e0d4a2ca4,EXTCAND-e138acd1451aedd5d12e1e57,canonical URL and normalized title,high,EXTSEARCH-1f40737709e9291a0388268c
EXTCAND-a0bb55a0c21446bfee64f0a8,EXTCAND-e138acd1451aedd5d12e1e57,canonical URL and normalized title,high,EXTSEARCH-d9256612618cf5c54707edd2
EXTCAND-7695c3dbcedced59355793b0,EXTCAND-f43b96e56761ddb8836f818a,canonical URL and normalized title,high,EXTSEARCH-d9256612618cf5c54707edd2
EXTCAND-87b9e83b3576afdc7915d209,EXTCAND-ddb5fdffddf6f91dfa09dd27,canonical URL and normalized title,high,EXTSEARCH-d9256612618cf5c54707edd2
EXTCAND-afc061e90bd52ef1e841c3b0,EXTCAND-afc061e90bd52ef1e841c3b0,canonical URL and normalized title,high,EXTSEARCH-fe1ff96aa6430099a9531e23
EXTCAND-d8a4bf08f8887c6ca4326a2f,EXTCAND-d8a4bf08f8887c6ca4326a2f,canonical URL and normalized title,high,EXTSEARCH-fe1ff96aa6430099a9531e23
EXTCAND-7f7520647ef72d976a4f2564,EXTCAND-7f7520647ef72d976a4f2564,canonical URL and normalized title,high,EXTSEARCH-fe1ff96aa6430099a9531e23
EXTCAND-8d882a825c1b439e92639ed5,EXTCAND-8d882a825c1b439e92639ed5,canonical URL and normalized title,high,EXTSEARCH-fe1ff96aa6430099a9531e23
EXTCAND-1b4f66455bb0349d36ecbb05,EXTCAND-1b4f66455bb0349d36ecbb05,canonical URL and normalized title,high,EXTSEARCH-fe1ff96aa6430099a9531e23
EXTCAND-64d0f98eee75a5b4fa2591fd,EXTCAND-658e0a961b5c160c8e772b3f,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-1aea877fd8a46ae7abdcfb77,EXTCAND-1aea877fd8a46ae7abdcfb77,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-5522fd0583d461f7a0e269c9,EXTCAND-5522fd0583d461f7a0e269c9,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-34e2b23c2158d4736bb7cbb3,EXTCAND-34e2b23c2158d4736bb7cbb3,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-976ee9978957448bab9357f7,EXTCAND-976ee9978957448bab9357f7,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-d5dc2043e33038dfaefae5f0,EXTCAND-d5dc2043e33038dfaefae5f0,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
