search_target_id,municipality_id,municipality,state,period_start,period_end,period_label,side_scope,department_or_unit_scope,external_data_family,search_priority,expected_claim_upgrade,expected_public_availability,likely_source_families,query_primary,query_repair,linked_root_event_count,linked_mechanism_exposure_event_count,linked_claim_count,linked_external_gap_count,existing_source_reuse_count,compacted_from_raw_target_count,lane_id,lineage_raw_target_ids
EXTSEARCH-9949e55153c62e871e511a49,cog_2025_122702,Chuathbaluk,AK,,,undated,side_independent,side_independent,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Chuathbaluk"" ""AK"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Chuathbaluk"" ""AK"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",3,14,0,6,0,18,external_search_lane_002,EXTTARGET-16a9862ddcd54a2b21d79659|EXTTARGET-16a9862ddcd54a2b21d79659|EXTTARGET-16a9862ddcd54a2b21d79659|EXTTARGET-451e323cb6259a9b9d50cda2|EXTTARGET-451e323cb6259a9b9d50cda2|EXTTARGET-451e323cb6259a9b9d50cda2|EXTTARGET-76b79d843f87a952051f3d46|EXTTARGET-76b79d843f87a952051f3d46|EXTTARGET-76b79d843f87a952051f3d46|EXTTARGET-83b2225b3d1f524c082446c3|EXTTARGET-83b2225b3d1f524c082446c3|EXTTARGET-83b2225b3d1f524c082446c3|EXTTARGET-ba73a144e5af10d04efe290e|EXTTARGET-ba73a144e5af10d04efe290e|EXTTARGET-ba73a144e5af10d04efe290e|EXTTARGET-d4bc242be74b61a0b9814c35|EXTTARGET-d4bc242be74b61a0b9814c35|EXTTARGET-d4bc242be74b61a0b9814c35
EXTSEARCH-1665a1f548aeb749cca6c587,cog_2025_203929,Egegik,AK,,,undated,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Egegik"" ""AK"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Egegik"" ""AK"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-1b8e7a3c35a4efdc55149c72|EXTTARGET-230636eccd45bf47f60990ad|EXTTARGET-5e02d305fcade1800b65e9f0|EXTTARGET-8030c3952a47ae936c95e985|EXTTARGET-9c6aa6348231f8eafd726b9b|EXTTARGET-c69be88c3277669dda03cc13
EXTSEARCH-8bef017feae653d1075aa94e,cog_2025_122710,Togiak,AK,,,undated,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Togiak"" ""AK"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Togiak"" ""AK"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,4,0,6,0,6,external_search_lane_002,EXTTARGET-079521a2cc9d8d4cb9ea1d73|EXTTARGET-57827e42ec1ad1987513db3c|EXTTARGET-7445634e4d17cb50bda21a43|EXTTARGET-7df28c6eaa05e858fb9af0e5|EXTTARGET-c185809d9bd0dd7688b0e74a|EXTTARGET-c5301e8a7d724698772e7b35
EXTSEARCH-acd86968aeafb7c8c563977e,cog_2025_160575,Ashland,AL,2017,2017,2017,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Ashland"" ""AL"" ""2017"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Ashland"" ""AL"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-3b9ee0034e4ff5b6e4c6543c|EXTTARGET-4d193d9e1c1f41428b2a7c20|EXTTARGET-5e21bc36e4a893e89ddc3979|EXTTARGET-d578526f2d0544e56076068e|EXTTARGET-e675a325e7011fc46b586140|EXTTARGET-fb3ff065afe45f31a64b8e17
EXTSEARCH-b197396c66f750c477a69a97,cog_2025_161048,Cammack Village,AR,2023,2023,2023,police,police,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Cammack Village"" ""AR"" ""2023"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Cammack Village"" ""AR"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-0dedc10130bcc19e67806d1a|EXTTARGET-2b9d881860a1086b59337835|EXTTARGET-446afd674804e8b2164b82d5|EXTTARGET-47126d6625e03dde8b661cc7|EXTTARGET-636673dabe65c16030f9b003|EXTTARGET-8299a4ec666c8743a7c91bdf
EXTSEARCH-de0f1ea08ffbed538e200022,cog_2025_189642,Buellton,CA,2026,2026,2026,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Buellton"" ""CA"" ""2026"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Buellton"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,6,0,6,0,6,external_search_lane_002,EXTTARGET-173345d42f2e91c6626377a8|EXTTARGET-18c22f0091e15f7cd44b4092|EXTTARGET-1d33302cc35e82a4b6d55c6a|EXTTARGET-6693c5ac06bc6a3a7d4dab5e|EXTTARGET-8ccee68ff9d99af3730d5ae7|EXTTARGET-bdcb1448d1ad24d4c0fe5fe0
EXTSEARCH-3601e23f8fe83b135e47c6b8,cog_2025_100715,Colfax,CA,2018,2018,2018,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Colfax"" ""CA"" ""2018"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Colfax"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-507eaa86abe0ae0d61b1c75b|EXTTARGET-59208af733b51c280518a0b5|EXTTARGET-593e64c789ed953295053255|EXTTARGET-6ee3f1e0dd22fadf9993c497|EXTTARGET-a8453c2f78c377e43328e1bb|EXTTARGET-fe3cc0db9f8f4813a4c24b1e
EXTSEARCH-2c63c6e343227f7390129ef3,cog_2025_100715,Colfax,CA,2021,2021,2021,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Colfax"" ""CA"" ""2021"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Colfax"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",2,7,0,6,0,12,external_search_lane_002,EXTTARGET-23a65f87bf6c5a3b91371075|EXTTARGET-23a65f87bf6c5a3b91371075|EXTTARGET-5e0b106baf56e097d5b831a0|EXTTARGET-5e0b106baf56e097d5b831a0|EXTTARGET-83c5e4d5eeac36c465cebfdc|EXTTARGET-83c5e4d5eeac36c465cebfdc|EXTTARGET-9ce2dfc92d5aa297506bca4f|EXTTARGET-9ce2dfc92d5aa297506bca4f|EXTTARGET-c9e00293f276045ad4b01cde|EXTTARGET-c9e00293f276045ad4b01cde|EXTTARGET-fd5fc6b67b80b13caf0cf1ac|EXTTARGET-fd5fc6b67b80b13caf0cf1ac
EXTSEARCH-e1a4ed4a93facfd568d032c2,cog_2025_183845,Colma,CA,2022,2022,2022,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Colma"" ""CA"" ""2022"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Colma"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-3c19477e5b7c23ffd04021c2|EXTTARGET-5f0ed558f0f17d7fbcb2dfae|EXTTARGET-a73789d3b880866450c6fe32|EXTTARGET-b35b2dc780eca3c3d6346922|EXTTARGET-b5f27805cf9353a62b35dde0|EXTTARGET-ea5441846aa58a157dfbed7e
EXTSEARCH-a2d995d39e716da397bfe08c,cog_2025_194910,Dos Palos,CA,2025,2025,2025,police,police,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Dos Palos"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Dos Palos"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_002,EXTTARGET-428f3da56aa38c5a577bd6c3|EXTTARGET-45f68cf4470514f17fd3c368|EXTTARGET-7d4fa136b7b199b9d481e76f|EXTTARGET-cb3985574ac8d5cf87ed2452|EXTTARGET-ccc42fceef8da4b4eae5a6e3|EXTTARGET-eaf991fe67f7ba4f7c8dbb9b
