root_compensation_event_id,source_implementation_event_id,municipality,state,compensation_cycle_id,side,beneficiary_unit,implementation_status,evidence_excerpt,human_readable_citation,root_action_summary,technical_lineage
ROOTCOMP-d6fefb719f3dacf660eaa5e1,IMPEVT-07bfe424d3b14183fe4f3cac,Chignik,AK,undated-source-B4X2500LIVE-20260729-009821,remains_unclear,unclear,formally_adopted,An ordinance which has been approved by the city council shall be effective 24 hours after adoption.,"Chignik, AK, Civil-Service Or Hr Pay Plan, period not explicit.",formally adopted mechanism only for remains unclear,"[""WCM-62ab03d4a876b33b63946265""]"
ROOTCOMP-1270a740fa570d096bb60983,IMPEVT-6d78fb38a339720ca7e1afd0,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,remains_unclear,unclear,implemented,Each member of the council shall receive compensation at the rate of ($20) dollars for each,"Chuathbaluk, AK, Wage Schedule, period not explicit.",implemented across the board raise for remains unclear,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
ROOTCOMP-31925e7a7b94d67d6bba46c3,IMPEVT-d5ad1bbc0818eeeb86a47f20,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,side_independent,unclear,formally_adopted,"increase to the next step in the salary schedule adopted by the City Council, if city finances allow.","Chuathbaluk, AK, Wage Schedule, period not explicit.",formally adopted step progression for side independent,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
ROOTCOMP-66773447e6a05796c9613a66,IMPEVT-e5bebb842d55a26f391d6f20,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,remains_unclear,unclear,implemented,"the probationary period an employee begins to accrue leave, retroactive to the date","Chuathbaluk, AK, Wage Schedule, period not explicit.",implemented retroactive pay for remains unclear,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
ROOTCOMP-e76ba8adc52be1515bc9c465,IMPEVT-7d89b462bef702ba67ed3206,Cold Bay,AK,2015,remains_unclear,unclear,implemented,"The Mayor of the City shall receive compensation at the rate of $1,500.00 per","Cold Bay, AK, Personnel Policy, 2015.",implemented across the board raise for remains unclear,"[""WCM-9a0f795650d7dbf24838460a""]"
ROOTCOMP-204b446134bf9cb11c02cc43,IMPEVT-83522275162c0ab98a254859,Egegik,AK,undated-source-B4X2500LIVE-20260729-009822,remains_unclear,unclear,implemented,"days, retroactive to the first day of delinquency.","Egegik, AK, Wage Schedule, period not explicit.",implemented retroactive pay for remains unclear,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
ROOTCOMP-b54559e6c56aa7e4635de327,IMPEVT-cbe175c67b94079889f75f54,Newhalen,AK,2020,remains_unclear,unclear,implemented,The operator shall receive $10 per hour to maintain the city water and sewer system.,"Newhalen, AK, Budget Or Pay Plan, 2020.",implemented across the board raise for remains unclear,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
ROOTCOMP-6bf31b7372232ed035c12381,IMPEVT-c0dda42dd68abfe377a26336,Port Lions,AK,undated-source-B4X2500LIVE-20260729-002309,safety_combined,safety_combined,implemented,The Mayor of the City of Port Lions shall receive a stipend of ($200.00) $500.00 per month,"Port Lions, AK, Collective Bargaining Agreement, period not explicit.",implemented stipend or premium for safety combined,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
ROOTCOMP-1f2c469433c46c526f950716,IMPEVT-8345479fefb0571ab51743aa,Port Lions,AK,undated-source-B4X2500LIVE-20260729-002309,safety_combined,safety_combined,implemented,"Effective March 13, 1983,","Port Lions, AK, Collective Bargaining Agreement, period not explicit.",implemented mechanism only for safety combined,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
ROOTCOMP-df127a7827589ca659be5a16,IMPEVT-cb967b66b133c71114071245,Togiak,AK,undated-source-CBSRD-20260728-6dbe81366092e535caca,remains_unclear,unclear,formally_adopted,,"Togiak, AK, Arbitration Award, period not explicit.",formally adopted mechanism only for remains unclear,"[""WCM-9dbe287ee1b1418399a47b2c""]"
ROOTCOMP-a50b90b39d2fad8b60c7012a,IMPEVT-68793e521d7103d1b0a1713e,Whale Pass,AK,undated-source-B4X2500LIVE-20260729-002312,remains_unclear,unclear,implemented,"hardships the Alaska Legislature amended the Title 29, effective January 1, 1986, and","Whale Pass, AK, Personnel Policy, period not explicit.",implemented mechanism only for remains unclear,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
ROOTCOMP-619853891ac75c5d60ca57d7,IMPEVT-27b66460969c33b75539eaea,Ashland,AL,2017,remains_unclear,unclear,implemented,"Records Manager/ Communications Supervisor effective November 01, 2017.","Ashland, AL, Council Packet Or Minutes, 2017.",implemented mechanism only for remains unclear,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
ROOTCOMP-4bf8e0842357958edb258979,IMPEVT-6212a7e7f72e4fe92acfd82c,Brundidge,AL,2025,remains_unclear,unclear,implemented,"employees to Tier I status effective October 1, 2025.","Brundidge, AL, Council Packet Or Minutes, 2025.",implemented mechanism only for remains unclear,"[""WCM-20a631d9c0de37aed4d0904a""]"
ROOTCOMP-af3c5cdfd4b057b50f87727e,IMPEVT-553f16535e8c0b7bf9887e05,Graysville,AL,2016,remains_unclear,unclear,implemented,"This Resolution shall become effective on November 7, 2016.","Graysville, AL, Wage Schedule, 2016.",implemented mechanism only for remains unclear,"[""WCM-a47e2950de5a3ecce227a477""]"
ROOTCOMP-72235c06cc403d6cea3b6108,IMPEVT-1470a5b10fe6c225cb2fac05,Loachapoka,AL,2022,remains_unclear,unclear,implemented,"a 5.75% Cost Of Living Adjustment effective October 8, 2022 for all eligible county employees.","Loachapoka, AL, Council Packet Or Minutes, 2022.",implemented mechanism only for remains unclear,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]"
ROOTCOMP-8579bd70344616ba47d5c4e0,IMPEVT-7889d35ec490944699b69ade,Stevenson,AL,undated-source-B4X2500LIVE-20260729-009226,side_independent,unclear,formally_adopted,exceed the amount approved by City Council. City Council must approve rates higher than the State Per Diem.,"Stevenson, AL, Budget Or Pay Plan, period not explicit.",formally adopted budget or pay plan for side independent,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
ROOTCOMP-cd2dd58ddfb43b62d0ba45f8,IMPEVT-7174c7896e0bf5d281a4b484,Valley Grande,AL,2020,remains_unclear,unclear,implemented,"This resolution shall become effective November 2, 2020.","Valley Grande, AL, Wage Schedule, 2020.",implemented mechanism only for remains unclear,"[""WCM-a70c297ef779576e63ac7009""]"
ROOTCOMP-226c66c47fffae6c84293edf,IMPEVT-466cc8879841b60362a6f372,Batesville,AR,undated-source-CBSRD-20260728-229e87b6cec1a609381b,remains_unclear,unclear,formally_adopted,,"Batesville, AR, Arbitration Award, period not explicit.",formally adopted across the board raise for remains unclear,"[""WCM-c840cf3435c0f6e8f6fe78ea""]"
ROOTCOMP-ad06d93710f6ad3ce533ac78,IMPEVT-d661fab5716ee631cdad4086,Cammack Village,AR,2023,police,police,implemented,"Treasurer effective December 31, 2023 and","Cammack Village, AR, Wage Schedule, 2023.",implemented mechanism only for police,"[""WCM-6e267fbf76b2c47a36172d0c""]"
ROOTCOMP-6aaf42989f0e08cfa5317f84,IMPEVT-572c4a601f51998c05158c44,Cammack Village,AR,2024,police,police,implemented,SECTION 2: The rate set forth in Section 1 of this ordinance shall become effective on January,"Cammack Village, AR, Wage Schedule, 2024.",implemented mechanism only for police,"[""WCM-5bec336493ea98dd689f59b1""]"
ROOTCOMP-87947013413c80c3384df066,IMPEVT-a58bd6dab0fabfdc516ca6b0,Hazen,AR,2020,police,police,implemented,"marriage provision shall be retroactive to January 1, 2020.","Hazen, AR, Other Local Government Pay Policy, 2020.",implemented retroactive pay for police,"[""WCM-6533fc6199fcb1389c208757""]"
ROOTCOMP-e9fb536041986c9ead2da26e,IMPEVT-e1103304ea3cfbf2a13ec429,Hazen,AR,2023,police,police,implemented,"life of at least one year retroactive to January 1, 2023.","Hazen, AR, Other Local Government Pay Policy, 2023.",implemented retroactive pay for police,"[""WCM-6ba1b0c7e88e5ae28047f408""]"
ROOTCOMP-1262eb380252cc321a5399ba,IMPEVT-7986fe5a0c0f1e7a5b07e312,Hazen,AR,undated-source-B4X2500LIVE-20260729-006727,police,police,implemented,"effective January 1, 1983, at which time ordinance No.","Hazen, AR, Other Local Government Pay Policy, period not explicit.",implemented mechanism only for police,"[""WCM-961a470fc8373e3b048e1eae"",""WCM-d5a0161ad77d4e185474af39""]"
ROOTCOMP-c3de95e9cf6bf33e7194be44,IMPEVT-2a5d2d8157dc9af61b7244b1,Hot Springs,AR,2024,non_safety,non_safety,formally_adopted,"A) All new employees covered by this Agreement shall be paid in accordance to the salary schedule adopted by the Board of Education as set out in Appendix A. B) Current Hot Springs classified staff shall receive a $0.75 per hour pay increase effective June 11, 2024 to June 10, 2024, except for persons who had reached the Salary cap. Salary increases are retroactive. In addition, the hiring schedule will be increased by $0.25 per hour. In addition, the Salary","Hot Springs, AR, Collective Bargaining Agreement Or Moa Or Wage Schedule, 2024.",formally adopted retroactive pay for non safety,"[""WCM-fc808071f49a88c72d3e0476""]"
ROOTCOMP-b486f061948be93581557e31,IMPEVT-e959b21046a5da1c1b988e04,Big Bear Lake,CA,2015,non_safety,non_safety,implemented,"Effective July 1, 2015, ""new members"" hired on or after January 1, 2013 shall contribute from","Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",implemented mechanism only for non safety,"[""WCM-0e013f37fdbe835a8b23458e""]"
ROOTCOMP-77a009d60f6be726a9525f32,IMPEVT-269a68ff053e14d5fa36abcf,Big Bear Lake,CA,2023,non_safety,non_safety,implemented,"EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026","Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",implemented mechanism only for non safety,"[""WCM-07320828baa6abf5cfd3efa9"",""WCM-c0ad165933c29101fc894405""]"
