search_target_id,lane_id,terminal_target_status,primary_call_completed,repair_call_used,candidate_count,failure_class,completed_at
EXTSEARCH-831ebc36ce16e5c28c4d7571,external_search_lane_005,candidate_found,true,false,25,,2026-08-04T23:36:11.992951+00:00
EXTSEARCH-6808774878479b629863aa1b,external_search_lane_005,candidate_found,true,false,18,,2026-08-04T23:36:18.270324+00:00
EXTSEARCH-0db00e157b20e7bee83a0c0f,external_search_lane_005,candidate_found,true,false,24,,2026-08-04T23:36:25.790015+00:00
EXTSEARCH-4535acf1d4bfb7d52ea4c4f2,external_search_lane_005,candidate_found,true,false,30,,2026-08-04T23:36:32.426727+00:00
EXTSEARCH-cb66f846139baf0d2f284b16,external_search_lane_005,candidate_found,true,false,21,,2026-08-04T23:36:40.204300+00:00
EXTSEARCH-9d3d391f79afcde02e689f18,external_search_lane_005,candidate_found,true,false,28,,2026-08-04T23:36:47.942719+00:00
EXTSEARCH-5c820c2b2f18885b1dbede15,external_search_lane_005,candidate_found,true,false,20,,2026-08-04T23:36:55.356890+00:00
EXTSEARCH-ccc2de019db5146412bf963f,external_search_lane_005,candidate_found,true,false,22,,2026-08-04T23:37:02.659644+00:00
EXTSEARCH-4cf1c7c1a7832b0ad524b50f,external_search_lane_005,candidate_found,true,false,26,,2026-08-04T23:37:09.329708+00:00
EXTSEARCH-a2d228636ddeb1e5264ad6e4,external_search_lane_005,candidate_found,true,false,17,,2026-08-04T23:37:16.037888+00:00
EXTSEARCH-7c36237a6aead73fa5d5ff0e,external_search_lane_005,candidate_found,true,false,23,,2026-08-04T23:37:23.181125+00:00
EXTSEARCH-dc9cdb72b0bfb8361789e183,external_search_lane_005,candidate_found,true,false,24,,2026-08-04T23:37:30.583720+00:00
EXTSEARCH-bd82420713b07d6795e39cf1,external_search_lane_005,candidate_found,true,false,23,,2026-08-04T23:37:37.274155+00:00
EXTSEARCH-8f0579d2e0d2302ba4f405d2,external_search_lane_005,candidate_found,true,false,27,,2026-08-04T23:37:45.415869+00:00
EXTSEARCH-e9a7b067c7790cd01cd216ea,external_search_lane_005,candidate_found,true,false,22,,2026-08-04T23:37:53.379658+00:00
EXTSEARCH-cdc30e85cd348baac5bd0a96,external_search_lane_005,candidate_found,true,false,18,,2026-08-04T23:38:00.491959+00:00
EXTSEARCH-7b0f95f168399314329c9a95,external_search_lane_005,candidate_found,true,false,17,,2026-08-04T23:38:07.657663+00:00
EXTSEARCH-2902c0cb10a6ac213b2f0af1,external_search_lane_005,candidate_found,true,false,22,,2026-08-04T23:38:14.381572+00:00
EXTSEARCH-9d9f8cc4c38f61f15c463f16,external_search_lane_005,candidate_found,true,false,6,,2026-08-04T23:38:21.889372+00:00
EXTSEARCH-417d4edb638086fdb39f8e77,external_search_lane_005,candidate_found,true,false,28,,2026-08-04T23:38:32.463796+00:00
EXTSEARCH-4de1e961a0dfedf8eec3e01f,external_search_lane_005,candidate_found,true,false,7,,2026-08-04T23:38:39.127497+00:00
EXTSEARCH-70fee41296aea1e678c26c0b,external_search_lane_005,candidate_found,true,false,26,,2026-08-04T23:38:48.237968+00:00
EXTSEARCH-ac953584e057675004bc8bb8,external_search_lane_005,candidate_found,true,false,17,,2026-08-04T23:38:54.139166+00:00
EXTSEARCH-c7a983734625004c0bf0c52f,external_search_lane_005,candidate_found,true,false,15,,2026-08-04T23:38:59.261871+00:00
